annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	68	0.015836050302748	1.66413582035362	7.79910883398483e-05
UTR5	46406	0.00284084213467316	43	0.0100139729855612	3.52500157025211	5.25318991682541e-12
downstream	184076	0.0112686044214562	41	0.00954820680018631	0.847328244303781	0.311476701116833
exonic	157410	0.00963618843293758	63	0.0146716348393107	1.52255582603194	0.00167825616639238
intergenic	7340829	0.449384483183869	534	0.124359571495109	0.276733123079879	0
intronic	6228556	0.38129432234994	2138	0.497904052165813	1.30582603249165	3.25878154054597e-54
ncRNA_exonic	164533	0.0100722380499112	84	0.0195621797857476	1.94218799126973	2.644940577456e-08
ncRNA_intronic	1884461	0.115361294012591	1268	0.295295761527713	2.55974730567328	3.59285959972428e-221
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	2	0.000465766185374942	4.79120212257981	0.0662571968331304
upstream	171164	0.0104781688389259	53	0.012342803912436	1.17795428783157	0.229735762817739
