# MEAN_SAMPLE_SIZE = 19644
# TOTAL_GENES = 17165
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17165     0.015535     0.030962     0.010594     0.071273 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17165    0.0039719    0.0077033      0.01097      0.35865 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17165    -0.015347    -0.029589    0.0099602      0.93832 Adrenal_Gland
Artery_Aorta                        COVAR   17165     0.025063     0.051083     0.010077    0.0064423 Artery_Aorta
Artery_Coronary                     COVAR   17165     0.019341     0.038444     0.011645     0.048386 Artery_Coronary
Artery_Tibial                       COVAR   17165      0.02902     0.059681    0.0098138    0.0015554 Artery_Tibial
Bladder                             COVAR   17165     0.016115      0.03135     0.012856      0.10501 Bladder
Brain_Amygdala                      COVAR   17165   -0.0085918    -0.014613    0.0077169      0.86722 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17165   -0.0067131     -0.01184    0.0071162      0.82724 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17165    -0.011437    -0.019723    0.0077528      0.92991 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17165    0.0073147     0.014666     0.005966       0.1101 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17165     0.008935      0.01772     0.006142     0.072881 Brain_Cerebellum
Brain_Cortex                        COVAR   17165   -0.0034496   -0.0062809     0.007025       0.6883 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17165   -0.0053592   -0.0098596    0.0067759       0.7855 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17165   -0.0093043    -0.015729    0.0078384      0.88238 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17165   -0.0094336    -0.016209    0.0079586      0.88205 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17165   -0.0090459    -0.015669    0.0074899      0.88642 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17165    -0.011096    -0.018852    0.0078042      0.92245 Brain_Putamen_basal_ganglia
