# MEAN_SAMPLE_SIZE = 19644
# TOTAL_GENES = 17165
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17165     0.012161     0.023841      0.01321      0.17865
Adrenal_Gland       COVAR   17165    -0.017276    -0.033306     0.010267      0.95376
Bladder             COVAR   17165     0.019361     0.037663     0.015866      0.11119
Blood               COVAR   17165    -0.020724    -0.037211    0.0060511      0.99969
Blood_Vessel        COVAR   17165     0.032386      0.06563     0.011578    0.0025809
Brain               COVAR   17165  -0.00061381   -0.0010643    0.0067721      0.53611
Breast              COVAR   17165     0.023414     0.044948     0.015719     0.068179
Cervix_Uteri        COVAR   17165     0.025434     0.049876     0.013986     0.034505
Colon               COVAR   17165     0.031122     0.058159     0.015699     0.023726
Esophagus           COVAR   17165     0.029357     0.055208     0.016937     0.041531
Fallopian_Tube      COVAR   17165   -0.0025496   -0.0049367     0.013713      0.57375
Heart               COVAR   17165    0.0036828    0.0063305    0.0094067      0.34771
Kidney              COVAR   17165    -0.021644    -0.038028    0.0093547      0.98965
Liver               COVAR   17165    -0.010347    -0.018621    0.0064552      0.94551
Lung                COVAR   17165     -0.01474    -0.028443     0.010405       0.9217
Muscle              COVAR   17165    0.0075002     0.014185    0.0067389      0.13287
Nerve               COVAR   17165     0.019787     0.039756     0.010308     0.027462
Ovary               COVAR   17165    0.0063922     0.012941     0.010209      0.26562
Pancreas            COVAR   17165    -0.013654     -0.02281    0.0085961      0.94389
Pituitary           COVAR   17165    0.0086872     0.016166    0.0081774      0.14405
Prostate            COVAR   17165   -0.0089018    -0.016855     0.013673      0.74249
Salivary_Gland      COVAR   17165    -0.010329    -0.019187     0.010662      0.83366
Skin                COVAR   17165    0.0034313    0.0065307    0.0098512      0.36381
Small_Intestine     COVAR   17165    -0.010855    -0.019925      0.01071      0.84458
Spleen              COVAR   17165    -0.023163    -0.045843    0.0077491       0.9986
Stomach             COVAR   17165    0.0034881    0.0063268     0.013371       0.3971
Testis              COVAR   17165     0.013608     0.023442    0.0054599    0.0063488
Thyroid             COVAR   17165    0.0082105     0.016233     0.010751      0.22252
Uterus              COVAR   17165     0.020936     0.042595     0.011826     0.038344
Vagina              COVAR   17165    0.0052716     0.010061     0.012461      0.33613
