symbol	ensg	entrez
AGBL5	ENSG00000084693	60509
ARL17A	ENSG00000185829	51326
ARL17B	ENSG00000228696	100506084
C16orf3	ENSG00000221819	750
C16orf95	ENSG00000260456	100506581
CDK10	ENSG00000185324	8558
CENPBD1	ENSG00000177946	92806
CGREF1	ENSG00000138028	10669
CHMP1A	ENSG00000131165	5119
CMPK1	ENSG00000162368	51727
COL15A1	ENSG00000204291	1306
COL18A1	ENSG00000182871	80781
CPNE7	ENSG00000178773	27132
CRHR1	ENSG00000120088	1394
DAAM1	ENSG00000100592	23002
DACT1	ENSG00000165617	51339
DBNDD1	ENSG00000003249	79007
DEF8	ENSG00000140995	54849
DHH	ENSG00000139549	50846
DLX6	ENSG00000006377	1750
DNAJC22	ENSG00000178401	79962
DPYSL2	ENSG00000092964	1808
DPYSL5	ENSG00000157851	56896
EMILIN1	ENSG00000138080	11117
EPHA3	ENSG00000044524	2042
FANCA	ENSG00000187741	2175
FBXO11	ENSG00000138081	80204
FBXO31	ENSG00000103264	79791
FMNL3	ENSG00000161791	91010
FOXC2	ENSG00000176692	2303
FOXD2	ENSG00000186564	2306
FOXL1	ENSG00000176678	2300
FOXN2	ENSG00000170802	3344
GALNT12	ENSG00000119514	79695
GAS8	ENSG00000141013	2622
ITIH5	ENSG00000123243	80760
KANSL1	ENSG00000120071	284058
KHK	ENSG00000138030	3795
KMT2D	ENSG00000167548	8085
LMBR1L	ENSG00000139636	55716
LRRC37A	ENSG00000176681	9884
LRRC37A2	ENSG00000238083	474170
LYPD6	ENSG00000187123	130574
LYPD6B	ENSG00000150556	130576
MAPRE3	ENSG00000084764	22924
MAPT	ENSG00000186868	4137
MC1R	ENSG00000258839	4157
MEIS1	ENSG00000143995	4211
NSF	ENSG00000073969	4905
OST4	ENSG00000228474	100128731
PLEKHM1	ENSG00000225190	9842
PNMA2	ENSG00000240694	10687
POFUT2	ENSG00000186866	23275
PREB	ENSG00000138073	10113
PRKAG1	ENSG00000181929	5571
QPCT	ENSG00000115828	25797
RASGRP1	ENSG00000172575	10125
RHEBL1	ENSG00000167550	121268
RP11-368I7.4	ENSG00000260259	105371416
RTN1	ENSG00000139970	6252
SHFM1	ENSG00000127922	7979
SLA	ENSG00000155926	6503
SLC25A13	ENSG00000004864	10165
SPATA33	ENSG00000167523	124045
SPATS2	ENSG00000123352	65244
SPIRE2	ENSG00000204991	84501
SPRED2	ENSG00000198369	200734
STRN	ENSG00000115808	6801
TCF25	ENSG00000141002	22980
TENM4	ENSG00000149256	26011
THBS1	ENSG00000137801	7057
TIMM9	ENSG00000100575	26520
TMBIM6	ENSG00000139644	7009
TMEM214	ENSG00000119777	54867
TRABD2B	ENSG00000269113	388630
TROAP	ENSG00000135451	10024
TUBA1A	ENSG00000167552	7846
TUBA1B	ENSG00000123416	10376
TUBA1C	ENSG00000167553	84790
TUBB3	ENSG00000198211	10381
VIT	ENSG00000205221	5212
WISP1	ENSG00000104415	8840
WNT3	ENSG00000108379	7473
ZNF276	ENSG00000158805	92822
