ensg	entrezID	symbol	hgnc_symbol	OMIM	uniprotID	DrugBank
ENSG00000162368	51727	CMPK1	CMPK1	191710	P30085	DB00441:DB03403:DB03435:DB03664:DB04444
ENSG00000186564	2306	FOXD2	FOXD2	602211	O60548	NA
ENSG00000269113	388630	TRABD2B	TRABD2B	614913	A6NFA1	NA
ENSG00000198879	57713	SFMBT2	SFMBT2	615392	Q5VUG0	NA
ENSG00000123243	80760	ITIH5	ITIH5	609783	Q86UX2	NA
ENSG00000107902	64077	LHPP	LHPP	NA	Q9H008	NA
ENSG00000189319	9679	FAM53B	FAM53B	NA	Q14153	NA
ENSG00000203791	399818	METTL10	METTL10	NA	Q5JPI9	NA
ENSG00000165660	23172	FAM175B	FAM175B	611144	Q15018	NA
ENSG00000130037	3741	KCNA5	KCNA5	176267	P22460	DB06217:DB06637:DB11633
ENSG00000185652	4908	NTF3	NTF3	162660	P20783	NA
ENSG00000131966	55860	ACTR10	ACTR10	NA	Q9NZ32	NA
ENSG00000196860	387990	TOMM20L	TOMM20L	NA	Q6UXN7	NA
ENSG00000100575	26520	TIMM9	TIMM9	607384	Q9Y5J7	NA
ENSG00000165617	51339	DACT1	DACT1	607861	Q9NYF0	NA
ENSG00000100592	23002	DAAM1	DAAM1	606626	Q9Y4D1	NA
ENSG00000126790	112849	L3HYPDH	L3HYPDH	614811	Q96EM0	DB00172
ENSG00000139970	6252	RTN1	RTN1	600865	Q16799	NA
ENSG00000178773	27132	CPNE7	CPNE7	605689	Q9UBL6	NA
ENSG00000131165	5119	CHMP1A	CHMP1A	164010	Q9HD42	NA
ENSG00000167523	124045	SPATA33	SPATA33	615409	Q96N06	NA
ENSG00000185324	8558	CDK10	CDK10	603464	Q15131	NA
ENSG00000260259	105371416	RP11-368I7.4	LOC105371416	NA	NA	NA
ENSG00000075399	9605	VPS9D1	VPS9D1	NA	Q9Y2B5	NA
ENSG00000158805	92822	ZNF276	ZNF276	608460	Q8N554	NA
ENSG00000187741	2175	FANCA	FANCA	607139	O15360	NA
ENSG00000204991	84501	SPIRE2	SPIRE2	609217	Q8WWL2	DB08080
ENSG00000141002	22980	TCF25	TCF25	612326	Q9BQ70	NA
ENSG00000258839	4157	MC1R	MC1R	155555	Q01726	DB04931:DB05479:DB11653
ENSG00000198211	10381	TUBB3	TUBB3	602661	Q13509	DB01873:DB03010:DB04845:DB05147:DB06042:DB12695
ENSG00000140995	54849	DEF8	DEF8	NA	Q6ZN54	NA
ENSG00000177946	92806	CENPBD1	CENPBD1	NA	B2RD01	NA
ENSG00000003249	79007	DBNDD1	DBNDD1	NA	Q9H9R9	NA
ENSG00000141013	2622	GAS8	GAS8	605178	O95995	NA
ENSG00000221819	750	C16orf3	GAS8-AS1	605179	O95177	NA
ENSG00000184922	752	FMNL1	FMNL1	604656	O95466	NA
ENSG00000159314	201176	ARHGAP27	ARHGAP27	610591	Q6ZUM4	NA
ENSG00000225190	9842	PLEKHM1	PLEKHM1	611466	Q9Y4G2	NA
ENSG00000120088	1394	CRHR1	CRHR1	122561	P34998	DB09067
ENSG00000185294	162540	SPPL2C	SPPL2C	608284	Q8IUH8	NA
ENSG00000186868	4137	MAPT	MAPT	157140	P10636	DB00448:DB00637:DB01229:DB01248
ENSG00000256762	246744	STH	STH	607067	Q8IWL8	NA
ENSG00000120071	284058	KANSL1	KANSL1	612452	Q7Z3B3	NA
ENSG00000228696	100506084	ARL17B	ARL17B	NA	Q8IVW1	NA
ENSG00000176681	9884	LRRC37A	LRRC37A	616555	A6NMS7	NA
ENSG00000238083	474170	LRRC37A2	LRRC37A2	616556	A6NM11	NA
ENSG00000185829	51326	ARL17A	ARL17A	NA	Q8IVW1	NA
ENSG00000073969	4905	NSF	NSF	601633	P46459	DB01902
ENSG00000108379	7473	WNT3	WNT3	165330	P56703	NA
ENSG00000176809	374819	LRRC37A3	LRRC37A3	616557	O60309	NA
ENSG00000186665	284018	C17orf58	C17orf58	NA	Q2M2W7	NA
ENSG00000157851	56896	DPYSL5	DPYSL5	608383	Q9BPU6	NA
ENSG00000084764	22924	MAPRE3	MAPRE3	605788	Q9UPY8	NA
ENSG00000119777	54867	TMEM214	TMEM214	615301	Q6NUQ4	NA
ENSG00000084693	60509	AGBL5	AGBL5	615900	Q8NDL9	NA
ENSG00000228474	100128731	OST4	OST4	NA	P0C6T2	NA
ENSG00000138080	11117	EMILIN1	EMILIN1	130660	Q9Y6C2	NA
ENSG00000138030	3795	KHK	KHK	614058	P50053	NA
ENSG00000138028	10669	CGREF1	CGREF1	606137	Q99674	NA
ENSG00000138073	10113	PREB	PREB	606395	Q9HCU5	NA
ENSG00000115226	64838	FNDC4	FNDC4	611905	Q9H6D8	NA
ENSG00000138039	3973	LHCGR	LHCGR	152790	P22888	DB00014:DB00032:DB00044:DB00050:DB00097:DB06719:DB09126
ENSG00000170820	2492	FSHR	FSHR	136435	P23945	DB00032:DB00066:DB00094:DB00097:DB04786:DB09066
ENSG00000044524	2042	EPHA3	EPHA3	179611	P29320	DB12010
ENSG00000175745	7025	NR2F1	NR2F1	132890	P10589	DB06732
ENSG00000119514	79695	GALNT12	GALNT12	610290	Q8IXK2	NA
ENSG00000204291	1306	COL15A1	COL15A1	120325	P39059	NA
