Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Subcutaneous	2127	1	0.975103505242453	1	ENSG00000123243
DEG.up	Adipose_Visceral_Omentum	1774	1	0.95319136453547	1	ENSG00000123243
DEG.up	Adrenal_Gland	1549	0	1	1	
DEG.up	Artery_Aorta	2768	4	0.692565171461132	1	ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000123243
DEG.up	Artery_Coronary	2052	4	0.452879453593814	1	ENSG00000100592:ENSG00000165617:ENSG00000138080:ENSG00000044524
DEG.up	Artery_Tibial	2717	5	0.482183936100785	1	ENSG00000165617:ENSG00000138080:ENSG00000044524:ENSG00000113391:ENSG00000123243
DEG.up	Bladder	843	5	0.0132278664500962	0.714304788305193	ENSG00000084693:ENSG00000138080:ENSG00000044524:ENSG00000119514:ENSG00000123243
DEG.up	Brain_Amygdala	1825	8	0.0104631813197773	0.565011791267973	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969
DEG.up	Brain_Anterior_cingulate_cortex_BA24	2376	9	0.0162265732898489	0.87623495765184	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000204991
DEG.up	Brain_Caudate_basal_ganglia	2216	7	0.0750716183290842	1	ENSG00000138028:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000204991
DEG.up	Brain_Cerebellar_Hemisphere	6335	21	0.000786346768607331	0.0424627255047959	ENSG00000221819:ENSG00000138028:ENSG00000120088:ENSG00000165617:ENSG00000003249:ENSG00000140995:ENSG00000157851:ENSG00000113391:ENSG00000189319:ENSG00000119514:ENSG00000141013:ENSG00000120071:ENSG00000138030:ENSG00000186868:ENSG00000258839:ENSG00000203791:ENSG00000073969:ENSG00000204991:ENSG00000256762:ENSG00000075399:ENSG00000158805
DEG.up	Brain_Cerebellum	6198	22	0.000196700761877675	0.0106218411413944	ENSG00000221819:ENSG00000138028:ENSG00000120088:ENSG00000165617:ENSG00000003249:ENSG00000140995:ENSG00000157851:ENSG00000113391:ENSG00000189319:ENSG00000187741:ENSG00000119514:ENSG00000141013:ENSG00000120071:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000256762:ENSG00000075399:ENSG00000158805
DEG.up	Brain_Cortex	2803	12	0.00192709592544162	0.104063179973848	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000003249:ENSG00000157851:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000158792:ENSG00000204991:ENSG00000075399
DEG.up	Brain_Frontal_Cortex_BA9	3142	11	0.0135841883936855	0.733546173259016	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000003249:ENSG00000157851:ENSG00000138030:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000204991:ENSG00000075399
DEG.up	Brain_Hippocampus	1970	8	0.016038717961587	0.866090769925696	ENSG00000138028:ENSG00000178773:ENSG00000120088:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969
DEG.up	Brain_Hypothalamus	2539	9	0.0239417070027463	1	ENSG00000138028:ENSG00000178773:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000204991:ENSG00000108379
DEG.up	Brain_Nucleus_accumbens_basal_ganglia	2460	7	0.11463460729774	1	ENSG00000138028:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969:ENSG00000204991
DEG.up	Brain_Putamen_basal_ganglia	1745	6	0.0703579914139268	1	ENSG00000138028:ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868:ENSG00000073969
DEG.up	Brain_Spinal_cord_cervical_c-1	2235	4	0.520631477325356	1	ENSG00000157851:ENSG00000189319:ENSG00000107902:ENSG00000186868
DEG.up	Brain_Substantia_nigra	1650	4	0.298316347926668	1	ENSG00000003249:ENSG00000157851:ENSG00000107902:ENSG00000186868
DEG.up	Breast_Mammary_Tissue	1978	1	0.967470444559543	1	ENSG00000123243
