Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Adipose_Tissue	1919	1	0.769566763652413	1	ENSG00000140299
DEG.up	Adrenal_Gland	1549	0	1	1	
DEG.up	Bladder	843	0	1	1	
DEG.up	Blood	2296	1	0.829239951631517	1	ENSG00000187741
DEG.up	Blood_Vessel	2703	2	0.607012340954577	1	ENSG00000140299:ENSG00000167553
DEG.up	Brain	3221	5	0.0828148885732076	1	ENSG00000078018:ENSG00000186868:ENSG00000073969:ENSG00000204991:ENSG00000144406
DEG.up	Breast	1978	0	1	1	
DEG.up	Cervix_Uteri	3029	2	0.671187373549245	1	ENSG00000120071:ENSG00000139636
DEG.up	Colon	1580	2	0.328205573936062	1	ENSG00000140297:ENSG00000204991
DEG.up	Esophagus	1264	2	0.24024877740392	1	ENSG00000140297:ENSG00000167553
DEG.up	Fallopian_Tube	490	0	1	1	
DEG.up	Heart	614	0	1	1	
DEG.up	Kidney	1363	0	1	1	
DEG.up	Liver	1536	1	0.688784462039391	1	ENSG00000108379
DEG.up	Lung	4262	1	0.966526764862276	1	ENSG00000140299
DEG.up	Muscle	1143	1	0.578074614475622	1	ENSG00000186868
DEG.up	Nerve	5911	2	0.950242043603162	1	ENSG00000139549:ENSG00000139636
DEG.up	Ovary	5714	4	0.633837333436378	1	ENSG00000140995:ENSG00000120071:ENSG00000139636:ENSG00000258839
DEG.up	Pancreas	747	0	1	1	
DEG.up	Pituitary	5188	7	0.0756675537870886	1	ENSG00000139636:ENSG00000078018:ENSG00000186868:ENSG00000258839:ENSG00000073969:ENSG00000204991:ENSG00000144406
DEG.up	Prostate	3333	1	0.926656917185387	1	ENSG00000258839
DEG.up	Salivary_Gland	1899	2	0.414892584461574	1	ENSG00000140297:ENSG00000167553
DEG.up	Skin	3140	3	0.415317238795581	1	ENSG00000187741:ENSG00000167553:ENSG00000108379
DEG.up	Small_Intestine	2786	3	0.341175025642979	1	ENSG00000187741:ENSG00000140297:ENSG00000204991
DEG.up	Spleen	4308	2	0.84851517396683	1	ENSG00000187741:ENSG00000139636
DEG.up	Stomach	1109	1	0.566899372582533	1	ENSG00000140297
DEG.up	Testis	12379	10	0.438536708944477	1	ENSG00000139549:ENSG00000187741:ENSG00000140307:ENSG00000120071:ENSG00000139636:ENSG00000176681:ENSG00000258839:ENSG00000204991:ENSG00000144406:ENSG00000108379
DEG.up	Thyroid	5722	3	0.823628078767225	1	ENSG00000120071:ENSG00000258839:ENSG00000204991
DEG.up	Uterus	5589	3	0.810090989632785	1	ENSG00000140299:ENSG00000120071:ENSG00000139636
DEG.up	Vagina	2864	3	0.357574993958516	1	ENSG00000140297:ENSG00000120071:ENSG00000167553
DEG.down	Adipose_Tissue	1601	6	0.000879566821013435	0.026387004630403	ENSG00000139549:ENSG00000187741:ENSG00000078018:ENSG00000258839:ENSG00000204991:ENSG00000108379
