Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	8_pcw	3145	1	0.997180331895561	1	ENSG00000167523
DEG.up	9_pcw	2670	1	0.992587215849424	1	ENSG00000120071
DEG.up	12_pcw	2310	3	0.768119569135211	1	ENSG00000186665:ENSG00000100592:ENSG00000120071
DEG.up	13_pcw	1757	2	0.812011741525066	1	ENSG00000100592:ENSG00000120071
DEG.up	16_pcw	1215	3	0.33769924463344	1	ENSG00000100592:ENSG00000120071:ENSG00000137801
DEG.up	17_pcw	899	4	0.0626291440681825	1	ENSG00000100592:ENSG00000258839:ENSG00000167523:ENSG00000204991
DEG.up	19_pcw	937	5	0.019057606931552	0.552670601015008	ENSG00000100592:ENSG00000258839:ENSG00000167523:ENSG00000204991:ENSG00000075399
DEG.up	21_pcw	823	3	0.16017371409712	1	ENSG00000186665:ENSG00000100592:ENSG00000204991
DEG.up	24_pcw	754	2	0.365885821328719	1	ENSG00000186665:ENSG00000100592
DEG.up	26_pcw	10	0	1	1	
DEG.up	37_pcw	2066	2	0.879510405941093	1	ENSG00000186665:ENSG00000137801
DEG.up	4_mos	550	0	1	1	
DEG.up	10_mos	258	0	1	1	
DEG.up	1_yrs	920	1	0.797701190987979	1	ENSG00000073969
DEG.up	2_yrs	754	0	1	1	
DEG.up	3_yrs	1411	0	1	1	
DEG.up	4_yrs	262	0	1	1	
DEG.up	8_yrs	845	1	0.768780805103099	1	ENSG00000073969
DEG.up	11_yrs	648	1	0.672516535059037	1	ENSG00000073969
DEG.up	13_yrs	751	0	1	1	
DEG.up	15_yrs	150	1	0.224782003185186	1	ENSG00000073969
DEG.up	18_yrs	825	0	1	1	
DEG.up	19_yrs	995	1	0.823113720392394	1	ENSG00000073969
DEG.up	21_yrs	1128	1	0.860799119778765	1	ENSG00000073969
DEG.up	23_yrs	936	0	1	1	
DEG.up	30_yrs	1389	4	0.203873961754548	1	ENSG00000003249:ENSG00000140995:ENSG00000073969:ENSG00000075399
DEG.up	36_yrs	746	2	0.360934700353253	1	ENSG00000238083:ENSG00000073969
