annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	22	0.0225641025641026	2.37115509316992	0.000332287234552515
UTR5	46406	0.00284084213467316	7	0.00717948717948718	2.52723905065326	0.0230193028092347
downstream	184076	0.0112686044214562	10	0.0102564102564103	0.910175730091416	1
exonic	157410	0.00963618843293758	37	0.037948717948718	3.93814610546686	5.38423462734464e-12
intergenic	7340829	0.449384483183869	209	0.214358974358974	0.477005732018717	6.12623991286515e-53
intronic	6228556	0.38129432234994	505	0.517948717948718	1.35839609348644	6.19670783070079e-18
ncRNA_exonic	164533	0.0100722380499112	10	0.0102564102564103	1.01828513241907	0.872260307054001
ncRNA_intronic	1884461	0.115361294012591	160	0.164102564102564	1.42250973783853	5.95856822611827e-06
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	0	0	0	1
upstream	171164	0.0104781688389259	15	0.0153846153846154	1.4682541979532	0.152475478858482
