# MEAN_SAMPLE_SIZE = 16342
# TOTAL_GENES = 14123
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14123   0.00040577     0.012012   0.00038623      0.14674
9_pcw        COVAR   14123    0.0010933     0.026642   0.00046439    0.0092895
12_pcw       COVAR   14123   0.00077048     0.021568   0.00044283     0.040953
13_pcw       COVAR   14123   0.00077741     0.022781    0.0004198     0.032036
16_pcw       COVAR   14123    0.0010383     0.027323    0.0005128     0.021453
17_pcw       COVAR   14123    0.0011043     0.028171   0.00056436     0.025201
19_pcw       COVAR   14123    0.0003267     0.010434   0.00040472      0.20978
21_pcw       COVAR   14123    0.0011758     0.030051   0.00058601     0.022418
24_pcw       COVAR   14123   0.00073694      0.02183   0.00050775     0.073353
26_pcw       COVAR   14123   8.4153e-05    0.0017692   0.00089828      0.46268
37_pcw       COVAR   14123    -0.000872    -0.026967   0.00051512      0.95474
4_mos        COVAR   14123   -0.0027944    -0.074643    0.0010733      0.99538
10_mos       COVAR   14123   -4.398e-05   -0.0013266   0.00063026      0.52782
1_yrs        COVAR   14123   0.00066359     0.015345   0.00076991      0.19438
2_yrs        COVAR   14123  -0.00076126    -0.016176   0.00053492      0.92263
3_yrs        COVAR   14123   -0.0010091    -0.025398   0.00061844      0.94862
4_yrs        COVAR   14123   -0.0014996      -0.0516   0.00048688      0.99896
8_yrs        COVAR   14123   -0.0016673    -0.049026   0.00073289      0.98854
11_yrs       COVAR   14123   -0.0001938   -0.0050673   0.00070184      0.60877
13_yrs       COVAR   14123  -0.00014958   -0.0033962   0.00085381      0.56953
15_yrs       COVAR   14123   0.00088021     0.020377    0.0007298       0.1139
18_yrs       COVAR   14123   -0.0013207    -0.028238   0.00074416      0.96201
19_yrs       COVAR   14123   0.00029156    0.0074543   0.00067797      0.33358
21_yrs       COVAR   14123   0.00059347     0.013833   0.00072175      0.20548
23_yrs       COVAR   14123  -5.8174e-05   -0.0012807   0.00087351      0.52655
30_yrs       COVAR   14123    -0.000247   -0.0071397   0.00056941      0.66777
36_yrs       COVAR   14123   0.00036378    0.0076772   0.00084661      0.33371
37_yrs       COVAR   14123   0.00057956     0.012422   0.00081835      0.23942
40_yrs       COVAR   14123  -0.00095321    -0.027167   0.00062986      0.93489
