# MEAN_SAMPLE_SIZE = 16342
# TOTAL_GENES = 17368
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17368    -0.019305     -0.03856     0.010151      0.97139 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17368     -0.01812    -0.035223     0.010495      0.95786 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17368    -0.021603     -0.04173    0.0095615      0.98806 Adrenal_Gland
Artery_Aorta                        COVAR   17368   0.00055035    0.0011239    0.0097258      0.47744 Artery_Aorta
Artery_Coronary                     COVAR   17368   -0.0034936   -0.0069603     0.011316      0.62123 Artery_Coronary
Artery_Tibial                       COVAR   17368  -0.00036874  -0.00075972    0.0095205      0.51545 Artery_Tibial
Bladder                             COVAR   17368    -0.013115    -0.025585     0.012341      0.85603 Bladder
Brain_Amygdala                      COVAR   17368    0.0091521     0.015604    0.0074967      0.11109 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17368    0.0061637     0.010896    0.0069037      0.18599 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17368     0.010101     0.017462    0.0074869     0.088659 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17368  -0.00052781   -0.0010599    0.0058346      0.53604 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17368    0.0010299    0.0020461    0.0060151      0.43202 Brain_Cerebellum
Brain_Cortex                        COVAR   17368    0.0076134     0.013895    0.0067615      0.13009 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17368    0.0056117     0.010349     0.006547      0.19569 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17368    0.0092845     0.015736    0.0075899      0.11062 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17368    0.0072822     0.012547     0.007747      0.17362 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17368    0.0054403    0.0094466    0.0072508      0.22654 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17368      0.01048     0.017845    0.0075559     0.082736 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17368     0.012744     0.022926    0.0081314     0.058539 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17368     0.012102      0.02085    0.0081335     0.068397 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17368    -0.016101     -0.03099     0.011767      0.91439 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17368   -0.0068393    -0.014662     0.006295      0.86135 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17368   -0.0021881   -0.0047752    0.0046937      0.67945 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17368   -0.0065719    -0.012892     0.011514      0.71592 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17368   -0.0037165   -0.0073648     0.010984      0.63245 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17368    0.0094284     0.018462     0.011813       0.2124 Colon_Sigmoid
Colon_Transverse                    COVAR   17368     0.017313     0.031859     0.011164     0.060487 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17368     0.001059    0.0020865     0.012153      0.46528 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17368   -0.0026984   -0.0052196     0.007477      0.64091 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17368  -0.00054888   -0.0010835     0.011775      0.51859 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17368   -0.0051041   -0.0099122     0.011304      0.67419 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17368   0.00061765    0.0011096    0.0091608      0.47312 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17368   -0.0065703    -0.010972    0.0086993      0.77495 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17368    -0.010104    -0.017768    0.0085799      0.88052 Kidney_Cortex
Kidney_Medulla                      COVAR   17368   -0.0066931    -0.012386    0.0088159      0.77613 Kidney_Medulla
Liver                               COVAR   17368   -0.0015624   -0.0028144    0.0061196      0.60075 Liver
Lung                                COVAR   17368   -0.0058666    -0.011353    0.0086347      0.75156 Lung
Minor_Salivary_Gland                COVAR   17368   -0.0010819    -0.002015    0.0092188      0.54671 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17368    -0.012433    -0.023527    0.0066132      0.96994 Muscle_Skeletal
Nerve_Tibial                        COVAR   17368    0.0086292     0.017385    0.0094855      0.18149 Nerve_Tibial
Ovary                               COVAR   17368    0.0028961    0.0058753    0.0093013      0.37776 Ovary
Pancreas                            COVAR   17368     0.004031     0.006744    0.0082174      0.31188 Pancreas
Pituitary                           COVAR   17368      0.01412     0.026354    0.0086031     0.050378 Pituitary
Prostate                            COVAR   17368    0.0018961     0.003601     0.011378      0.43383 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17368   -0.0053337    -0.010293    0.0074309      0.76355 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17368   -0.0042452   -0.0082438    0.0074325      0.71605 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17368     0.010914     0.020088    0.0091752      0.11712 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17368   -0.0043468   -0.0086198    0.0070623      0.73088 Spleen
Stomach                             COVAR   17368    0.0079796     0.014509     0.011487      0.24364 Stomach
Testis                              COVAR   17368    0.0044368    0.0076677    0.0053949      0.20543 Testis
Thyroid                             COVAR   17368    -0.012221    -0.024223    0.0093311      0.90483 Thyroid
Uterus                              COVAR   17368   -0.0044378   -0.0090496     0.010442      0.66458 Uterus
Vagina                              COVAR   17368  -0.00021864  -0.00041849     0.010622      0.50821 Vagina
Whole_Blood                         COVAR   17368   -0.0076723    -0.013868     0.005491      0.91882 Whole_Blood
