# MEAN_SAMPLE_SIZE = 16342
# TOTAL_GENES = 17368
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17368    -0.023983    -0.047126     0.012693      0.97057
Adrenal_Gland       COVAR   17368    -0.019631    -0.037922    0.0098987      0.97632
Bladder             COVAR   17368     -0.01318    -0.025713     0.015219      0.80676
Blood               COVAR   17368   -0.0074213    -0.013333    0.0060445      0.89022
Blood_Vessel        COVAR   17368    0.0039377    0.0079959     0.011294      0.36367
Brain               COVAR   17368    0.0094485     0.016425    0.0065699     0.075208
Breast              COVAR   17368    -0.019401    -0.037342     0.014689       0.9067
Cervix_Uteri        COVAR   17368   -0.0016471   -0.0032388     0.013551      0.54837
Colon               COVAR   17368     0.031341     0.058717     0.015038     0.018582
Esophagus           COVAR   17368    0.0042156     0.007948     0.016651      0.40007
Fallopian_Tube      COVAR   17368   -0.0020649   -0.0040101     0.013366      0.56139
Heart               COVAR   17368   -0.0003537  -0.00060899    0.0092369      0.51527
Kidney              COVAR   17368    -0.008659    -0.015247    0.0090053      0.83185
Liver               COVAR   17368  -0.00085975   -0.0015487    0.0063146      0.55415
Lung                COVAR   17368   -0.0057803    -0.011186    0.0099528       0.7193
Muscle              COVAR   17368    -0.010905    -0.020634    0.0066256      0.95009
Nerve               COVAR   17368     0.012869     0.025927    0.0097976     0.094519
Ovary               COVAR   17368    0.0066816     0.013555    0.0099198       0.2503
Pancreas            COVAR   17368    0.0061527     0.010294    0.0085651      0.23628
Pituitary           COVAR   17368       0.0154     0.028742    0.0079636     0.026579
Prostate            COVAR   17368    0.0074807     0.014207     0.013201      0.28547
Salivary_Gland      COVAR   17368    0.0010613    0.0019766     0.010449      0.45955
Skin                COVAR   17368   -0.0076303    -0.014561    0.0096867      0.78456
Small_Intestine     COVAR   17368     0.016228     0.029868     0.010364     0.058719
Spleen              COVAR   17368   -0.0037119   -0.0073607     0.007572        0.688
Stomach             COVAR   17368     0.014978     0.027233     0.013027      0.12513
Testis              COVAR   17368    0.0051651    0.0089263    0.0054128      0.16999
Thyroid             COVAR   17368    -0.012564    -0.024904     0.010528      0.88363
Uterus              COVAR   17368  -0.00096785   -0.0019737     0.011593      0.53327
Vagina              COVAR   17368    0.0037853     0.007245     0.012296       0.3791
