# MEAN_SAMPLE_SIZE = 19644
# TOTAL_GENES = 14121
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   14121   0.00052899     0.015662   0.00037904     0.081431
9_pcw        COVAR   14121   0.00090456     0.022045   0.00046173     0.025065
12_pcw       COVAR   14121   0.00084479      0.02365   0.00043806     0.026911
13_pcw       COVAR   14121   0.00065976     0.019335   0.00041711     0.056872
16_pcw       COVAR   14121    0.0010365     0.027278   0.00051314     0.021707
17_pcw       COVAR   14121   0.00092465      0.02359   0.00056464     0.050767
19_pcw       COVAR   14121   0.00017114    0.0054662   0.00040926      0.33792
21_pcw       COVAR   14121    0.0012389     0.031668    0.0005886     0.017662
24_pcw       COVAR   14121    0.0010055     0.029787   0.00051009     0.024368
26_pcw       COVAR   14121    -0.002021    -0.042493   0.00088083      0.98911
37_pcw       COVAR   14121  -0.00034342    -0.010621   0.00051558      0.74731
4_mos        COVAR   14121   -0.0033287    -0.088925     0.001049      0.99924
10_mos       COVAR   14121  -2.3092e-06  -6.9663e-05   0.00065101      0.50142
1_yrs        COVAR   14121  -5.2671e-05   -0.0012181   0.00078795      0.52665
2_yrs        COVAR   14121   -0.0012624    -0.026828   0.00053077       0.9913
3_yrs        COVAR   14121    -0.001681     -0.04231   0.00062548      0.99639
4_yrs        COVAR   14121  -0.00031442     -0.01082   0.00048245       0.7427
8_yrs        COVAR   14121    -0.001065    -0.031318   0.00073608      0.92601
11_yrs       COVAR   14121  -0.00029577   -0.0077344   0.00071632      0.66016
13_yrs       COVAR   14121  -0.00083994    -0.019072   0.00086975       0.8329
15_yrs       COVAR   14121    0.0005487     0.012704   0.00075372      0.23332
18_yrs       COVAR   14121   -0.0021936    -0.046907   0.00072573      0.99874
19_yrs       COVAR   14121   7.1551e-05    0.0018295   0.00069095      0.45876
21_yrs       COVAR   14121   0.00013757     0.003207   0.00075385       0.4276
23_yrs       COVAR   14121   -0.0010614    -0.023369   0.00087767      0.88671
30_yrs       COVAR   14121   3.3247e-05   0.00096114   0.00057475      0.47694
36_yrs       COVAR   14121   0.00011866    0.0025043   0.00087115      0.44583
37_yrs       COVAR   14121  -0.00012735   -0.0027299   0.00083905      0.56032
40_yrs       COVAR   14121  -0.00041083     -0.01171   0.00063135      0.74238
