# MEAN_SAMPLE_SIZE = 19644
# TOTAL_GENES = 17165
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17165    0.0091915     0.018319     0.010397      0.18835 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17165   0.00095239    0.0018471     0.010766      0.46476 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17165    -0.001772   -0.0034163     0.009776      0.57192 Adrenal_Gland
Artery_Aorta                        COVAR   17165     0.013204     0.026913    0.0098911     0.090951 Artery_Aorta
Artery_Coronary                     COVAR   17165     0.018862     0.037492     0.011429     0.049448 Artery_Coronary
Artery_Tibial                       COVAR   17165     0.020228     0.041601    0.0096329     0.017876 Artery_Tibial
Bladder                             COVAR   17165   0.00059786     0.001163     0.012618       0.4811 Bladder
Brain_Amygdala                      COVAR   17165    0.0036475    0.0062038    0.0075739      0.31505 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17165     0.002616    0.0046138    0.0069843        0.354 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17165    0.0031856    0.0054936    0.0076093      0.33774 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17165      0.00236    0.0047317    0.0058555      0.34346 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17165     0.003197    0.0063404    0.0060284      0.29794 Brain_Cerebellum
Brain_Cortex                        COVAR   17165    0.0030569    0.0055659    0.0068946      0.32875 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17165    0.0016368    0.0030113    0.0066502      0.40279 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17165    0.0030745    0.0051974    0.0076932      0.34471 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17165   -0.0011809    -0.002029    0.0078112      0.56008 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17165    0.0027356    0.0047385    0.0073512       0.3549 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17165    0.0016439     0.002793    0.0076598      0.41504 Brain_Putamen_basal_ganglia
Brain_Spinal_cord_cervical_c...     COVAR   17165  -4.5468e-05  -8.1604e-05    0.0083021      0.50218 Brain_Spinal_cord_cervical_c-1
Brain_Substantia_nigra              COVAR   17165   -0.0012675   -0.0021785    0.0082535      0.56102 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   17165    0.0014583    0.0027994     0.012235      0.45256 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   17165    0.0060096     0.012865    0.0063126      0.17056 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   17165   -0.0061717    -0.013465    0.0047111      0.90489 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   17165     0.017835     0.034898     0.011645     0.062835 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   17165     0.018452     0.036463     0.011133     0.048733 Cervix_Endocervix
Colon_Sigmoid                       COVAR   17165     0.025533     0.049881     0.012128     0.017642 Colon_Sigmoid
Colon_Transverse                    COVAR   17165   -0.0060343    -0.011075     0.011187      0.70519 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   17165     0.020193     0.039697     0.012388     0.051562 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   17165    -0.005133   -0.0099079    0.0072976      0.75909 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   17165     0.018425     0.036296     0.012014     0.062566 Esophagus_Muscularis
Fallopian_Tube                      COVAR   17165     0.010484       0.0203     0.011426      0.17943 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   17165  -7.8671e-05  -0.00014108    0.0091736      0.50342 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   17165  -0.00056494  -0.00094214    0.0087595      0.52571 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   17165    -0.031107    -0.054582     0.008696      0.99983 Kidney_Cortex
Kidney_Medulla                      COVAR   17165    -0.029692    -0.054818    0.0089725      0.99953 Kidney_Medulla
Liver                               COVAR   17165    -0.013171    -0.023703    0.0061272       0.9842 Liver
Lung                                COVAR   17165    -0.014233    -0.027465    0.0088377      0.94635 Lung
Minor_Salivary_Gland                COVAR   17165    -0.012173    -0.022613    0.0092534      0.90582 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   17165   -0.0028956   -0.0054762    0.0066318       0.6688 Muscle_Skeletal
Nerve_Tibial                        COVAR   17165     0.011524     0.023154    0.0097574       0.1188 Nerve_Tibial
Ovary                               COVAR   17165    0.0021168    0.0042854     0.009396      0.41088 Ovary
Pancreas                            COVAR   17165   -0.0046949   -0.0078432    0.0080636      0.71979 Pancreas
Pituitary                           COVAR   17165     0.004224    0.0078605    0.0086119       0.3119 Pituitary
Prostate                            COVAR   17165    -0.003721   -0.0070456     0.011549      0.62634 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   17165   -0.0060207     -0.01159    0.0073765       0.7928 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   17165   -0.0065657    -0.012717    0.0073918      0.81279 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   17165    -0.016479    -0.030248    0.0092819      0.96207 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   17165   -0.0080495    -0.015931    0.0070749      0.87238 Spleen
Stomach                             COVAR   17165    0.0028733    0.0052117     0.011546      0.40174 Stomach
Testis                              COVAR   17165    0.0085786     0.014777    0.0053541     0.054561 Testis
Thyroid                             COVAR   17165     0.006587     0.013024    0.0094032      0.24181 Thyroid
Uterus                              COVAR   17165     0.022293     0.045356     0.010514     0.016997 Uterus
Vagina                              COVAR   17165    0.0032538    0.0062099     0.010592      0.37935 Vagina
Whole_Blood                         COVAR   17165   -0.0071133    -0.012852    0.0053839      0.90678 Whole_Blood
