# MEAN_SAMPLE_SIZE = 19644
# TOTAL_GENES = 17165
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17165   -0.0085347    -0.016732     0.013017      0.74397
Adrenal_Gland       COVAR   17165   -0.0098523    -0.018995     0.010118       0.8349
Bladder             COVAR   17165  -0.00065864   -0.0012813     0.015634       0.5168
Blood               COVAR   17165   -0.0051967   -0.0093307    0.0059647      0.80818
Blood_Vessel        COVAR   17165    0.0061215     0.012405     0.011412      0.29583
Brain               COVAR   17165    0.0012318    0.0021358    0.0066731      0.42678
Breast              COVAR   17165    0.0040517    0.0077781      0.01549      0.39683
Cervix_Uteri        COVAR   17165     0.011029     0.021628     0.013783      0.21181
Colon               COVAR   17165     0.018033       0.0337     0.015471      0.12189
Esophagus           COVAR   17165   -0.0014793    -0.002782     0.016691      0.53531
Fallopian_Tube      COVAR   17165    0.0042056    0.0081431     0.013512      0.37781
Heart               COVAR   17165   -0.0089539    -0.015391    0.0092689      0.83297
Kidney              COVAR   17165    -0.012852    -0.022581    0.0092189      0.91834
Liver               COVAR   17165   -0.0091352     -0.01644    0.0063609      0.92451
Lung                COVAR   17165    -0.019862    -0.038326     0.010252      0.97364
Muscle              COVAR   17165    0.0061067     0.011549    0.0066405      0.17889
Nerve               COVAR   17165    0.0074995     0.015068     0.010158      0.23017
Ovary               COVAR   17165    0.0039994    0.0080965      0.01006      0.34548
Pancreas            COVAR   17165   -0.0038061   -0.0063584    0.0084711      0.67339
Pituitary           COVAR   17165    0.0054627     0.010166     0.008058      0.24891
Prostate            COVAR   17165    -0.012174    -0.023051     0.013473      0.81689
Salivary_Gland      COVAR   17165    0.0050486    0.0093787     0.010506      0.31542
Skin                COVAR   17165      0.02348     0.044689    0.0097053    0.0077816
Small_Intestine     COVAR   17165   -0.0098878    -0.018149     0.010554      0.82559
Spleen              COVAR   17165    -0.017014    -0.033673    0.0076367      0.98705
Stomach             COVAR   17165     -0.01945    -0.035279     0.013175      0.93006
Testis              COVAR   17165     0.017653     0.030409    0.0053793   0.00051703
Thyroid             COVAR   17165   -0.0048024   -0.0094951     0.010593      0.67484
Uterus              COVAR   17165    0.0090743     0.018462     0.011654       0.2181
Vagina              COVAR   17165     0.010845     0.020697     0.012278      0.18855
