# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 17162
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17162    0.0027421    0.0053754     0.012979      0.41634
Adrenal_Gland       COVAR   17162     -0.01859    -0.035831    0.0099987      0.96849
Bladder             COVAR   17162     0.012363     0.024064     0.015657      0.21488
Blood               COVAR   17162    -0.016985    -0.030435    0.0061495      0.99712
Blood_Vessel        COVAR   17162     0.023615     0.047856     0.011472     0.019783
Brain               COVAR   17162    0.0073795     0.012798     0.006797      0.13882
Breast              COVAR   17162    0.0090395     0.017356     0.015219      0.27627
Cervix_Uteri        COVAR   17162     0.013057     0.025613     0.014142      0.17795
Colon               COVAR   17162    0.0081409     0.015216     0.015584       0.3007
Esophagus           COVAR   17162     0.023724     0.044622     0.017015     0.081627
Fallopian_Tube      COVAR   17162     0.018135     0.035132     0.013952     0.096847
Heart               COVAR   17162     0.011951     0.020543     0.009499      0.10418
Kidney              COVAR   17162    -0.014542    -0.025538    0.0091588      0.94381
Liver               COVAR   17162    -0.010284    -0.018502    0.0065301      0.94235
Lung                COVAR   17162     0.010149     0.019586     0.010352      0.16346
Muscle              COVAR   17162   -0.0063457    -0.012002    0.0068186      0.82397
Nerve               COVAR   17162     0.015476     0.031106     0.010204     0.064687
Ovary               COVAR   17162    0.0092105     0.018649       0.0101      0.18091
Pancreas            COVAR   17162    -0.017908    -0.029911    0.0087318      0.97985
Pituitary           COVAR   17162     0.014003     0.026052    0.0081967     0.043798
Prostate            COVAR   17162    0.0087351      0.01654       0.0137      0.26187
Salivary_Gland      COVAR   17162    -0.006077    -0.011293     0.010583      0.71708
Skin                COVAR   17162   -0.0030362   -0.0057818      0.01009      0.61825
Small_Intestine     COVAR   17162   -0.0005524   -0.0010141     0.010552      0.52087
Spleen              COVAR   17162    -0.013001    -0.025724    0.0078022      0.95216
Stomach             COVAR   17162   -0.0062331    -0.011306     0.013384      0.67928
Testis              COVAR   17162    0.0041476    0.0071559    0.0055921      0.22915
Thyroid             COVAR   17162   -0.0012929   -0.0025567     0.010776      0.54775
Uterus              COVAR   17162     0.015721     0.031994     0.011926     0.093723
Vagina              COVAR   17162     0.013967     0.026666     0.012731      0.13631
