annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	5	0.00598086124401914	0.628500493649594	0.37277937930281
UTR5	46406	0.00284084213467316	7	0.00837320574162679	2.94743788802264	0.0108806613047818
downstream	184076	0.0112686044214562	4	0.00478468899521531	0.424603510449345	0.0971925832739721
exonic	157410	0.00963618843293758	12	0.0143540669856459	1.48960007222172	0.15507397412165
intergenic	7340829	0.449384483183869	351	0.419856459330144	0.934292293217334	0.0884902168873215
intronic	6228556	0.38129432234994	352	0.421052631578947	1.10427196760753	0.0187588611689607
ncRNA_exonic	164533	0.0100722380499112	22	0.0263157894736842	2.61270527396999	6.2390191279085e-05
ncRNA_intronic	1884461	0.115361294012591	67	0.0801435406698565	0.694717767825223	0.00112878767983846
ncRNA_splicing	826	5.05653493780982e-05	1	0.00119617224880383	23.6559672486301	0.0413936627957574
splicing	1588	9.72128024363438e-05	2	0.00239234449760766	24.6093563568872	0.00312370518373223
upstream	171164	0.0104781688389259	13	0.0155502392344498	1.48406076228523	0.168968199619146
