# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 13876
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE      TYPE  NGENES         BETA     BETA_STD           SE            P
8_pcw        COVAR   13876   0.00039169     0.011571   0.00039425      0.16024
9_pcw        COVAR   13876    0.0013966     0.033868   0.00048194    0.0018824
12_pcw       COVAR   13876   0.00082943     0.023167   0.00047502     0.040412
13_pcw       COVAR   13876   0.00076901     0.022459   0.00045392     0.045134
16_pcw       COVAR   13876    0.0013094     0.034359    0.0005552    0.0091863
17_pcw       COVAR   13876   0.00083257     0.021183   0.00059835     0.082063
19_pcw       COVAR   13876   5.7759e-05    0.0018427   0.00042688      0.44619
21_pcw       COVAR   13876    0.0013486     0.034392   0.00061437     0.014089
24_pcw       COVAR   13876    0.0012345     0.036441   0.00054255     0.011453
26_pcw       COVAR   13876   3.0155e-05   0.00063667   0.00088416       0.4864
37_pcw       COVAR   13876   0.00057434     0.017744   0.00052524       0.1371
4_mos        COVAR   13876    -0.002056    -0.054937    0.0010859      0.97083
10_mos       COVAR   13876  -0.00045634    -0.013665    0.0006876      0.74654
1_yrs        COVAR   13876  -0.00082616    -0.019105   0.00080601       0.8473
2_yrs        COVAR   13876  -0.00028953   -0.0062219   0.00053765      0.70488
3_yrs        COVAR   13876  -0.00028077   -0.0071094   0.00062809      0.67256
4_yrs        COVAR   13876  -0.00057321    -0.019759   0.00046467      0.89131
8_yrs        COVAR   13876   -0.0012198    -0.035906   0.00076731      0.94404
11_yrs       COVAR   13876   -0.0012185    -0.031863   0.00073353      0.95164
13_yrs       COVAR   13876  -0.00074349    -0.016967   0.00091183      0.79257
15_yrs       COVAR   13876  -0.00065032    -0.015078    0.0007871      0.79565
18_yrs       COVAR   13876   -0.0011202    -0.024162   0.00077433      0.92599
19_yrs       COVAR   13876  -0.00088378    -0.022657    0.0007123      0.89263
21_yrs       COVAR   13876  -0.00062377    -0.014594   0.00076503      0.79256
23_yrs       COVAR   13876  -0.00086069    -0.019069   0.00091155      0.82746
30_yrs       COVAR   13876  -0.00085582    -0.024798   0.00059589      0.92451
36_yrs       COVAR   13876  -0.00098121    -0.020766   0.00089584      0.86329
37_yrs       COVAR   13876   -0.0011297    -0.024328   0.00085704      0.90625
40_yrs       COVAR   13876   -0.0011578     -0.03309   0.00066953      0.95811
