# MEAN_SAMPLE_SIZE = 35986
# TOTAL_GENES = 17162
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Adipose_Subcutaneous                COVAR   17162   -0.0013409   -0.0026724    0.0099446      0.55363 Adipose_Subcutaneous
Adipose_Visceral_Omentum            COVAR   17162    -0.010559    -0.020476     0.010289       0.8476 Adipose_Visceral_Omentum
Adrenal_Gland                       COVAR   17162    -0.019803    -0.038169    0.0092789      0.98358 Adrenal_Gland
Artery_Aorta                        COVAR   17162   -0.0047222   -0.0096241    0.0095356      0.68977 Artery_Aorta
Artery_Coronary                     COVAR   17162   -0.0045253   -0.0089942     0.011049      0.65894 Artery_Coronary
Artery_Tibial                       COVAR   17162  -0.00055576   -0.0011431    0.0093124      0.52379 Artery_Tibial
Bladder                             COVAR   17162   -0.0053106    -0.010337     0.012115      0.66944 Bladder
Brain_Amygdala                      COVAR   17162    0.0099841     0.016988    0.0074039     0.088761 Brain_Amygdala
Brain_Anterior_cingulate_cor...     COVAR   17162     0.011295     0.019929    0.0068284      0.04907 Brain_Anterior_cingulate_cortex_BA24
Brain_Caudate_basal_ganglia         COVAR   17162    0.0082887     0.014298    0.0073861       0.1309 Brain_Caudate_basal_ganglia
Brain_Cerebellar_Hemisphere         COVAR   17162    0.0095303     0.019105    0.0057154     0.047724 Brain_Cerebellar_Hemisphere
Brain_Cerebellum                    COVAR   17162    0.0098436     0.019518    0.0058968     0.047542 Brain_Cerebellum
Brain_Cortex                        COVAR   17162    0.0086794     0.015809    0.0066985     0.097548 Brain_Cortex
Brain_Frontal_Cortex_BA9            COVAR   17162    0.0091671     0.016872    0.0064653     0.078124 Brain_Frontal_Cortex_BA9
Brain_Hippocampus                   COVAR   17162    0.0080967     0.013693    0.0075049      0.14034 Brain_Hippocampus
Brain_Hypothalamus                  COVAR   17162    0.0072485     0.012454    0.0075801      0.16948 Brain_Hypothalamus
Brain_Nucleus_accumbens_basa...     COVAR   17162    0.0069858     0.012105    0.0071593       0.1646 Brain_Nucleus_accumbens_basal_ganglia
Brain_Putamen_basal_ganglia         COVAR   17162    0.0072185     0.012268    0.0074584      0.16657 Brain_Putamen_basal_ganglia
