                                                                                         p1                                                                                               p2     rg      se       z           p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  0.508  0.0548  9.2668  1.9178e-20  0.2457     0.0351  1.0072     0.0069    0.0241       0.0039
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  0.6815  0.0546  12.4891  8.5633e-36  0.2502     0.0333  1.0035     0.0068    0.0723        0.004
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  0.3872  0.0961  4.0299  5.5810e-05  0.0988     0.0301  1.0017      0.006    0.0939       0.0035
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.675  0.0673  10.028  1.1484e-23   0.169     0.0304  1.0103     0.0065    0.1602       0.0034
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.7255  0.061  11.8903  1.3292e-32  0.1972     0.0309  0.9928     0.0061    0.1315       0.0037
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.6606  0.2133  3.0971  0.002  0.0427     0.0282  1.0047     0.0058    0.1305       0.0033
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.6684  0.1145  5.8368  5.3226e-09  0.0889     0.0288   0.999      0.006    0.1705       0.0035
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.7016  0.0682  10.2852  8.2151e-25  0.1555     0.0296  1.0132     0.0065    0.1711       0.0035
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.6768  0.1253  5.4034  6.5407e-08  0.1103     0.0297  1.0053     0.0062    0.1846       0.0036
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.8506  0.1006  8.4584  2.7108e-17  0.1305     0.0306  1.0013      0.006    0.1613       0.0041
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.635  0.0791  8.0239  1.0246e-15  0.1411     0.0307  0.9974     0.0061    0.1801       0.0034
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.4413  0.116  3.8059  0.0001  0.0782     0.0293  1.0004     0.0059    0.1466       0.0032
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  NA  NA  NA  NA -0.0016     0.0257  0.9987     0.0058    0.1851       0.0033
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.6786  0.1248  5.4356  5.4610e-08  0.0792     0.0299  1.0006     0.0061     0.178       0.0036
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  NA  NA  NA  NA -0.0141      0.026  1.0089     0.0062    0.1817       0.0033
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.7502  0.1244  6.0286  1.6538e-09  0.0776     0.0288  1.0184     0.0066     0.184       0.0038
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.8395  0.0682  12.3097  8.0297e-35  0.1861     0.0287  1.0059     0.0063    0.1772       0.0037
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par18.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par18.sumstats.gz  0.5622  0.1164  4.8297  1.3672e-06  0.1099       0.03  1.0022     0.0064    0.1846       0.0034
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par19.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par19.sumstats.gz  0.5216  0.1638  3.184  0.0015  0.0632     0.0295  1.0024     0.0061    0.1789       0.0032
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par20.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par20.sumstats.gz  0.6835  0.0638  10.7176  8.4139e-27  0.1849     0.0309  0.9978     0.0062     0.179       0.0037
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par21.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par21.sumstats.gz  1.0277  0.2752  3.7343  0.0002  0.0477     0.0289  1.0032     0.0059    0.1755       0.0039
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par22.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par22.sumstats.gz  0.6411  0.0571  11.2275  2.9873e-29  0.2242     0.0324  0.9862     0.0061    0.1835       0.0034
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par23.sumstats.gz  0.8355  0.5227  1.5984  0.11  0.0216     0.0281  1.0028     0.0061    0.1818       0.0032
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par24.sumstats.gz  0.7545  0.1367  5.5199  3.3912e-08  0.0706     0.0297  1.0094     0.0057    0.1701       0.0033
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par25.sumstats.gz  NA  NA  NA  NA     NA        NA     NA        NA       NA          NA
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par26.sumstats.gz  NA  NA  NA  NA -0.0017     0.0264  0.9972     0.0059    0.1856       0.0034
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par27.sumstats.gz  NA  NA  NA  NA -0.0116     0.0255  1.0099     0.0058    0.1823       0.0032
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par28.sumstats.gz  0.5106  0.0959  5.3236  1.0174e-07   0.108      0.031  0.9933     0.0057    0.1788       0.0033
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par29.sumstats.gz  0.7967  0.3112  2.5602  0.0105  0.0319     0.0273  1.0037     0.0067    0.1819       0.0035
 ../results/asymmetry/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  ../results/asymmetry/ldsc/BATCH2_2021_DATA/mean_imputed/not_subsampled/munged/par30.sumstats.gz  1.6174  3.4853  0.464  0.6426  0.0071     0.0273  1.0036     0.0061    0.1728       0.0034
