Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Oligodendrocyte	1.282648571e-08	7.85735218014e-09	0.0512956953398	1
Neuron	8.66609511824e-09	8.33717661024e-09	0.149297279333	1
Astrocyte	-6.98713996455e-09	6.17522142423e-09	0.871073456228	1
Oligodendrocyte	1.34577649031e-08	8.0169186448e-09	0.0466081382606	2
Neuron	3.71069713203e-09	8.40745225854e-09	0.329476886319	2
Astrocyte	-5.73307675211e-09	6.94074572739e-09	0.795598803319	2
Neuron	7.72579865534e-09	6.17200372465e-09	0.105330694183	3
Oligodendrocyte	4.20360161618e-09	6.29640127182e-09	0.252188185228	3
Astrocyte	-1.90716102521e-11	5.48342246875e-09	0.501387537872	3
Oligodendrocyte	1.57030651074e-08	6.69073895996e-09	0.00946300405812	4
Neuron	3.45194037615e-09	6.30677893039e-09	0.292073237662	4
Astrocyte	-3.77879908999e-09	5.71725416167e-09	0.745676685916	4
Neuron	9.81037973775e-09	7.68160492411e-09	0.100778829103	5
Oligodendrocyte	3.38716484581e-09	7.29454051798e-09	0.321201206021	5
Astrocyte	-7.99932490183e-09	6.80242520769e-09	0.880192952798	5
Oligodendrocyte	4.60805482387e-09	5.24312892013e-09	0.189734533039	6
Neuron	6.94134149809e-10	5.01881286813e-09	0.444999117313	6
Astrocyte	-1.45121850477e-09	5.04083365147e-09	0.613285508927	6
Neuron	1.66050046265e-08	6.07095929355e-09	0.00311756108331	7
Astrocyte	2.00849744164e-09	4.90037566927e-09	0.340952118807	7
Oligodendrocyte	-3.52714953358e-10	5.87038350663e-09	0.523955554138	7
Oligodendrocyte	9.58030148522e-09	6.0298104659e-09	0.056050180828	8
Neuron	6.41209896103e-09	5.68752525697e-09	0.129787331635	8
Astrocyte	-7.12048651199e-09	5.01208355611e-09	0.92229276382	8
Oligodendrocyte	6.20278793248e-09	5.82195979729e-09	0.143344682779	9
Astrocyte	-2.43138859568e-10	5.02463035029e-09	0.519297047435	9
Neuron	-5.88749986914e-09	5.35366831844e-09	0.864271455337	9
Neuron	5.32136125758e-09	7.15994726564e-09	0.228676562694	10
Oligodendrocyte	-1.62565036246e-09	6.47540489539e-09	0.599112271668	10
Astrocyte	-4.55249395658e-09	6.33797473126e-09	0.763710270523	10
Neuron	4.66639724437e-09	6.2017497732e-09	0.225895544884	11
Astrocyte	1.72058026239e-09	5.69860726765e-09	0.381352728217	11
Oligodendrocyte	-2.549825381e-09	5.88603199308e-09	0.667565033572	11
Oligodendrocyte	4.37914621185e-09	5.34644483714e-09	0.206371443691	12
Astrocyte	-1.8055984494e-10	5.44672864794e-09	0.513222572648	12
Neuron	-5.22574644811e-09	5.16881576256e-09	0.843995197853	12
Oligodendrocyte	4.75231252414e-09	5.02834477469e-09	0.172302700632	13
Neuron	3.4774572284e-09	5.29125043593e-09	0.255523280597	13
Astrocyte	-4.92737295728e-09	4.85392448254e-09	0.844978490687	13
Neuron	1.20227753588e-08	6.08259798838e-09	0.024044247782	14
Oligodendrocyte	4.5548334758e-09	5.75418850635e-09	0.21430620512	14
Astrocyte	2.33047855207e-09	4.83334864266e-09	0.314843854356	14
Neuron	6.5256376814e-09	5.12411305086e-09	0.101417578015	15
Oligodendrocyte	1.54456520579e-09	5.77432722614e-09	0.394546595176	15
Astrocyte	-3.95189486347e-09	5.20892695936e-09	0.775977203135	15
Oligodendrocyte	4.68566794244e-09	5.46322108744e-09	0.195535984476	16
Neuron	2.67618250058e-09	6.00797157872e-09	0.328001408091	16
Astrocyte	-4.27666426733e-09	5.02714109464e-09	0.802536151855	16
Astrocyte	7.8300445292e-09	5.70412673673e-09	0.0849230938224	17
Oligodendrocyte	6.0429610102e-09	6.03771861309e-09	0.158445248133	17
Neuron	2.1729047038e-09	5.99908108882e-09	0.358598952256	17
Oligodendrocyte	3.77115516345e-09	5.22436070344e-09	0.235196271865	18
Neuron	-2.87764176144e-09	5.41596484515e-09	0.702403479166	18
Astrocyte	-3.10068693527e-09	5.24065093025e-09	0.722961074136	18
Oligodendrocyte	4.75581261724e-09	5.15913225043e-09	0.178310158449	19
Astrocyte	9.13654590559e-10	5.52756669245e-09	0.434357644574	19
Neuron	-6.07623944462e-09	5.17405138779e-09	0.879876135336	19
Neuron	7.38645217018e-09	7.40189531274e-09	0.159160622679	20
Astrocyte	5.8549479894e-09	5.9565623948e-09	0.162818296847	20
Oligodendrocyte	-5.56943147243e-09	7.35823735312e-09	0.775444364	20
Oligodendrocyte	-4.72377927399e-10	5.07477570929e-09	0.537081390534	21
Astrocyte	-3.13273682381e-09	5.17345877118e-09	0.727589910855	21
