Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Brain_Amygdala	1.15848239166e-08	5.88533152401e-09	0.0245096744769	1
Brain_Cerebellum	8.41548570199e-09	7.4901335754e-09	0.130603515404	1
Brain_Spinal_cord_(cervical_c-1)	2.9060269885e-09	7.2947232144e-09	0.345177314571	1
Brain_Putamen_(basal_ganglia)	2.21632703087e-09	6.46996617653e-09	0.365966178665	1
Brain_Cerebellar_Hemisphere	2.08788601688e-09	7.12776887822e-09	0.384790580528	1
Brain_Cortex	2.52328529351e-11	6.26891346835e-09	0.498394231351	1
Brain_Anterior_cingulate_cortex_(BA24)	-2.32121516852e-10	5.73472414856e-09	0.516143375878	1
Brain_Frontal_Cortex_(BA9)	-1.78146144224e-09	5.7280122099e-09	0.622102983597	1
Brain_Hypothalamus	-2.89868022089e-09	6.05627953991e-09	0.683896898879	1
Brain_Substantia_nigra	-3.8378039363e-09	7.06418746741e-09	0.706530127699	1
Brain_Hippocampus	-3.54780834528e-09	6.12745350524e-09	0.71870611629	1
Brain_Caudate_(basal_ganglia)	-4.71671018987e-09	6.29482844844e-09	0.773161567949	1
Brain_Nucleus_accumbens_(basal_ganglia)	-1.09451513122e-08	6.47599267211e-09	0.954496711378	1
Brain_Cerebellum	6.04985220142e-09	7.51473086584e-09	0.210390878631	2
Brain_Amygdala	2.71692700433e-09	6.32508162718e-09	0.333762186714	2
Brain_Putamen_(basal_ganglia)	-7.6449193313e-10	6.1757975413e-09	0.549258581223	2
Brain_Cerebellar_Hemisphere	-8.74277666917e-10	6.95658054781e-09	0.550005939176	2
Brain_Cortex	-1.55752528302e-09	6.33058786674e-09	0.597171152523	2
Brain_Spinal_cord_(cervical_c-1)	-2.13544450974e-09	7.68636316989e-09	0.609425684728	2
Brain_Hypothalamus	-1.72993712815e-09	5.77415160329e-09	0.617758944305	2
Brain_Frontal_Cortex_(BA9)	-3.86207818516e-09	5.71894537489e-09	0.750261538364	2
Brain_Anterior_cingulate_cortex_(BA24)	-4.02399818211e-09	5.77456621737e-09	0.75705121523	2
Brain_Substantia_nigra	-6.9514550102e-09	7.20974226839e-09	0.832520963126	2
Brain_Caudate_(basal_ganglia)	-8.54441210736e-09	6.39517010391e-09	0.909237241889	2
Brain_Hippocampus	-8.58328616984e-09	6.25733118728e-09	0.914924188238	2
Brain_Nucleus_accumbens_(basal_ganglia)	-1.1332792686e-08	6.79427725982e-09	0.952341234021	2
Brain_Amygdala	1.12909354122e-08	4.92212070489e-09	0.0108976389062	3
Brain_Hippocampus	5.83265698009e-09	4.92307126549e-09	0.118056213448	3
Brain_Anterior_cingulate_cortex_(BA24)	5.50114294274e-09	5.12637021127e-09	0.141611591002	3
Brain_Putamen_(basal_ganglia)	5.36487645397e-09	5.32888478147e-09	0.157026485197	3
Brain_Cerebellum	5.6248758584e-09	5.60479398334e-09	0.157789830397	3
Brain_Spinal_cord_(cervical_c-1)	5.02357933496e-09	5.78462416397e-09	0.192577683225	3
Brain_Frontal_Cortex_(BA9)	3.00031113651e-09	4.85899739001e-09	0.268460616121	3
Brain_Cortex	2.72808132299e-09	5.19343628871e-09	0.299689387033	3
