Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Brain_Anterior_cingulate_cortex_(BA24)	6.62344253418e-09	4.63678804898e-09	0.0765804857796
Brain_Cerebellum	6.8912573417e-09	5.46596530807e-09	0.103698095882
Brain_Hypothalamus	3.61294430485e-09	4.98979567715e-09	0.23451242954
Brain_Amygdala	1.68253229861e-09	5.03068545422e-09	0.369018541514
Brain_Cerebellar_Hemisphere	-4.58456076797e-10	4.86003272948e-09	0.537577241175
Brain_Cortex	-1.84206719161e-09	5.15529064787e-09	0.639572326781
Brain_Putamen_(basal_ganglia)	-2.74737725582e-09	5.25469758001e-09	0.699457939316
Brain_Frontal_Cortex_(BA9)	-2.81965365166e-09	4.03868893719e-09	0.757461630681
Brain_Spinal_cord_(cervical_c-1)	-4.3252367093e-09	5.97444686899e-09	0.765453628518
Brain_Caudate_(basal_ganglia)	-4.7502808578e-09	5.14846070833e-09	0.821907897742
Brain_Nucleus_accumbens_(basal_ganglia)	-5.71497658136e-09	5.35283595442e-09	0.857161686517
Brain_Hippocampus	-5.3850658278e-09	4.75180019808e-09	0.871449257382
Brain_Substantia_nigra	-7.26353333836e-09	5.43369693316e-09	0.909349043181
