Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
Fetal_Brain_Female__H3K4me3	1.38640823093e-06	2.83055452732e-07	4.84062347802e-07	1
Brain_Germinal_Matrix__H3K4me3	1.42351364511e-06	3.09377320398e-07	2.1001002104e-06	1
Cortex_derived_primary_cultured_neurospheres__H3K4me3	1.27670957806e-06	2.80221098913e-07	2.60586203863e-06	1
Ganglion_Eminence_derived_primary_cultured_neurospheres__H3K4me3	1.01562178285e-06	2.23527432361e-07	2.76492840643e-06	1
Artery-Coronary_ENTEX__H3K27ac	2.31291968786e-07	5.59284799604e-08	1.77094894037e-05	1
Fetal_Brain_Male__H3K4me1	2.97724260293e-07	7.4838811279e-08	3.47184985717e-05	1
Artery-Coronary_ENTEX__H3K4me3	4.46793418376e-07	1.13938921052e-07	4.40286828783e-05	1
Fetal_Brain_Female__DNase	5.90545755407e-07	1.51835891722e-07	5.02526763785e-05	1
Fetal_Brain_Female__H3K4me1	4.50080067275e-07	1.20093110847e-07	8.92106913644e-05	1
Fetal_Intestine_Large__H3K36me3	2.00229928078e-07	5.94212262109e-08	0.000376291154886	1
Nerve-Tibial_ENTEX__H3K4me1	1.7819822343e-07	5.53497214768e-08	0.000642080092599	1
Nerve-Tibial_ENTEX__H3K27ac	1.13001566101e-07	3.75960502022e-08	0.00132495360003	1
Cortex_derived_primary_cultured_neurospheres__H3K36me3	3.88267041939e-07	1.29314289929e-07	0.0013388297148	1
Aorta__H3K4me3	9.05699967447e-07	3.03289730779e-07	0.00141209291052	1
Cortex_derived_primary_cultured_neurospheres__H3K4me1	1.86891437407e-07	6.30832863777e-08	0.00152519336355	1
Fetal_Brain_Male__DNase	4.24968507392e-07	1.44163243252e-07	0.00160007307694	1
NHLF_Lung_Fibroblast_Primary_Cells__DNase	4.3323675814e-07	1.50555722236e-07	0.00200366515021	1
Brain_Germinal_Matrix__H3K4me1	3.62900344421e-07	1.28734474425e-07	0.00240880059153	1
Fetal_Brain_Female__H3K36me3	3.96575073283e-07	1.43114154506e-07	0.00279387651047	1
Fetal_Muscle_Leg__H3K36me3	1.92503138245e-07	7.00861142991e-08	0.00301022170154	1
Brain_Angular_Gyrus__H3K4me3	6.65853011306e-07	2.48829723213e-07	0.00372601702418	1
Fetal_Muscle_Trunk__H3K36me3	2.14032979674e-07	8.09476503658e-08	0.00409552770538	1
Brain_Germinal_Matrix__H3K36me3	5.03982370554e-07	1.91261233278e-07	0.0042062796338	1
Brain_Hippocampus_Middle__H3K4me3	4.76951584527e-07	1.84272450126e-07	0.00482260758136	1
Aorta_ENTEX__H3K4me3	2.41610979218e-07	9.68516504304e-08	0.00630406947923	1
Ganglion_Eminence_derived_primary_cultured_neurospheres__H3K4me1	2.27935312376e-07	9.17092506562e-08	0.00647007081341	1
Brain_Inferior_Temporal_Lobe__H3K4me3	4.93300245536e-07	1.99862108502e-07	0.00678966529216	1
Brain_Cingulate_Gyrus__H3K9ac	4.81698688091e-07	1.96100648898e-07	0.00701713606454	1
Brain_Angular_Gyrus__H3K27ac	1.84513523713e-07	7.62052507138e-08	0.00773318231683	1
Aorta_ENTEX__H3K27ac	8.30015681703e-08	3.4910425186e-08	0.00871384591294	1
Fetal_Stomach__H3K36me3	1.32512772716e-07	5.57869967978e-08	0.00876652886461	1
Fetal_Lung__H3K4me1	1.23602806824e-07	5.34895997348e-08	0.0104224482911	1
Brain_Dorsolateral_Prefrontal_Cortex__H3K27ac	1.87762362794e-07	8.19271055291e-08	0.0109579512934	1
Brain_Inferior_Temporal_Lobe__H3K27ac	1.28912587046e-07	5.64357909752e-08	0.0111788732442	1
Aorta_ENTEX__H3K4me1	8.07237381654e-08	3.54489691716e-08	0.0113876935491	1
Aorta__H3K4me1	3.60287471867e-07	1.6106568315e-07	0.0126465102805	1
Fetal_Brain_Male__H3K4me3	1.0566476197e-06	4.85071169315e-07	0.0146905438732	1
Ganglion_Eminence_derived_primary_cultured_neurospheres__H3K36me3	2.54112687442e-07	1.17305154579e-07	0.0151459150931	1
Fetal_Thymus__H3K36me3	1.0668492157e-07	5.06543842902e-08	0.0175963566087	1
