Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Fetal_Brain_Female__H3K4me3	5.9284368508e-07	1.5130800423e-07	4.46202005842e-05
Osteoblast_Primary_Cells__H3K4me1	1.28860853988e-07	4.45269368361e-08	0.0019018545782
Fetal_Brain_Female__H3K4me1	1.88252029562e-07	6.90797339418e-08	0.00321369958344
Brain_Germinal_Matrix__H3K4me3	4.02309822778e-07	1.59375736975e-07	0.00579669063314
Stomach_ENTEX__H3K36me3	9.95139894598e-08	4.10912190232e-08	0.00772229860796
Foreskin_Fibroblast_Primary_Cells_skin02__H3K36me3	1.06058499226e-07	4.40146509043e-08	0.00798461347034
Aorta__H3K27ac	1.44948925556e-07	6.35141374899e-08	0.0112401794395
Fetal_Brain_Female__DNase	2.18034774519e-07	1.0094004984e-07	0.0153846986704
Brain_Dorsolateral_Prefrontal_Cortex__H3K27ac	1.13270492859e-07	5.43795369455e-08	0.0186273572788
Primary_neutrophils_from_peripheral_blood__H3K4me3	1.96272553442e-07	9.77616845098e-08	0.0223395375505
Spleen_ENTEX__H3K4me3	1.44797924994e-07	7.28475864775e-08	0.023423368145
Osteoblast_Primary_Cells__H3K27ac	1.02848305266e-07	5.23813822539e-08	0.0247968654734
Pancreatic_Islets__H3K27ac	2.84823595746e-07	1.46243180557e-07	0.0257312674163
Thyroid_gland_ENTEX__H3K4me1	6.56837979702e-08	3.38915382967e-08	0.0263080175302
Brain_Angular_Gyrus__H3K27ac	9.83631482197e-08	5.13496819409e-08	0.0277108708308
Esoph-GJ_ENTEX__H3K4me1	8.7924832446e-08	4.59821798539e-08	0.027928468501
Foreskin_Keratinocyte_Primary_Cells_skin02__H3K4me3	3.64333952592e-07	1.91832575451e-07	0.0287671996418
Brain_Inferior_Temporal_Lobe__H3K27ac	7.54895654626e-08	3.99431891387e-08	0.0293841066903
Fetal_Brain_Male__H3K4me1	8.44826351473e-08	4.4742589991e-08	0.0295000377221
Aorta__H3K4me1	2.12818677114e-07	1.14650003554e-07	0.0317092096872
Brain_Cingulate_Gyrus__H3K9ac	2.32439285979e-07	1.25323177391e-07	0.0318181776385
Brain_Angular_Gyrus__H3K4me3	2.96436384219e-07	1.65249152861e-07	0.0364165322389
Aorta_ENTEX__H3K4me3	1.29373496472e-07	7.29443987411e-08	0.0380654507586
Primary_neutrophils_from_peripheral_blood__H3K4me1	6.20894240933e-08	3.60904830556e-08	0.0426814965754
Fetal_Stomach__H3K36me3	5.84818457589e-08	3.44945768306e-08	0.0450004968634
Fetal_Brain_Male__DNase	1.69213065337e-07	9.99855639907e-08	0.0452872513219
Foreskin_Fibroblast_Primary_Cells_skin01__H3K36me3	6.397675933e-08	3.84653841228e-08	0.0481332582459
Fetal_Muscle_Trunk__H3K4me3	4.22534660752e-07	2.66285642423e-07	0.0562821210422
Ovary__H3K4me1	1.1501471026e-07	7.29279055408e-08	0.0573860844275
NHLF_Lung_Fibroblast_Primary_Cells__DNase	1.74360779517e-07	1.11009517052e-07	0.0581281308418
Lung_ENTEX__H3K36me3	7.62318639639e-08	4.87745226772e-08	0.0590328440543
Foreskin_Keratinocyte_Primary_Cells_skin03__H3K36me3	4.77782761326e-08	3.06235064453e-08	0.0593583132733
Stomach_Smooth_Muscle__H3K4me1	7.35339508849e-08	4.72441010882e-08	0.0597983744689
Fetal_Muscle_Trunk__H3K36me3	9.15341651732e-08	5.92133777457e-08	0.0610721020305
Primary_monocytes_from_peripheral_blood__H3K27ac	1.08437364626e-07	7.02533345905e-08	0.0613524369857
Brain_Hippocampus_Middle__H3K27ac	6.21893421907e-08	4.04138508846e-08	0.0619250287724
Artery-Coronary_ENTEX__H3K4me3	1.53711425919e-07	1.00363473341e-07	0.0628170691207
Esoph-Muscularis_ENTEX__H3K27ac	8.40294388561e-08	5.53102877135e-08	0.0643514180858
Primary_Natural_Killer_cells_from_peripheral_blood__H3K4me1	8.24405166041e-08	5.43285604659e-08	0.0645773841894
Fetal_Muscle_Leg__H3K36me3	8.0141103408e-08	5.29379564891e-08	0.0650296006961
Brain_Cingulate_Gyrus__H3K27ac	6.55569093099e-08	4.37190847212e-08	0.0668715640459
Brain_Anterior_Caudate__H3K9ac	1.64893782511e-07	1.10255729228e-07	0.0673845029519
Esoph-Muscularis_ENTEX__H3K36me3	7.57691585892e-08	5.10868464959e-08	0.0690180552582
Brain_Dorsolateral_Prefrontal_Cortex__H3K4me3	2.3303853886e-07	1.57568859735e-07	0.0695750804486
Ovary__DNase	1.74706972331e-07	1.18415022161e-07	0.0700554123356
Thyroid_gland_ENTEX__H3K27ac	4.44345515965e-08	3.03380674306e-08	0.0715086612696
Colon-Sigm_ENTEX__H3K27ac	8.6439568361e-08	6.04536146317e-08	0.076380114741
Primary_hematopoietic_stem_cells__H3K4me3	3.1054238518e-07	2.19634979043e-07	0.0786953065396
Brain_Inferior_Temporal_Lobe__H3K9ac	1.41326177441e-07	1.00661020723e-07	0.0801622287292
Brain_Cingulate_Gyrus__H3K4me3	2.23861564454e-07	1.61722110544e-07	0.0831431045598
Esophagus__H3K36me3	1.0699930933e-07	7.78569141682e-08	0.0846731827108
Brain_Substantia_Nigra__H3K4me3	2.10628187858e-07	1.54150531375e-07	0.0859098769206
Fetal_Stomach__H3K4me1	5.98574999477e-08	4.50372226755e-08	0.091912883677
Fetal_Kidney__H3K36me3	2.00896881665e-07	1.52548408018e-07	0.0939296089941
Brain_Angular_Gyrus__H3K4me1	7.02794780656e-08	5.41323532985e-08	0.0970938979596
NHLF_Lung_Fibroblast_Primary_Cells__H3K4me1	1.20339892135e-07	9.27325828815e-08	0.0971937032063
NHDF-Ad_Adult_Dermal_Fibroblast_Primary_Cells__DNase	1.43515400451e-07	1.10792430278e-07	0.0975990963034
Foreskin_Keratinocyte_Primary_Cells_skin02__H3K36me3	6.56884159162e-08	5.09088772592e-08	0.0984709010283
Small_Intestine__H3K36me3	1.74839820408e-07	1.35646657792e-07	0.0987102200193
Primary_monocytes_from_peripheral_blood__H3K4me1	4.84294024975e-08	3.75985863525e-08	0.0988617642946
Artery-Tibial_ENTEX__H3K36me3	6.38720216483e-08	4.96684242063e-08	0.0992270534062
Fetal_Adrenal_Gland__H3K36me3	5.47434191665e-08	4.25765394544e-08	0.0992625651377
Mammary_ENTEX__H3K36me3	6.27827482707e-08	4.90849276649e-08	0.100437315889
HMEC_Mammary_Epithelial_Primary_Cells__H3K4me3	3.2329433919e-07	2.54856175169e-07	0.102303227219
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Male__H3K4me3	1.23498653344e-07	9.76159528116e-08	0.102909091963
Brain_Angular_Gyrus__H3K9ac	1.37665314712e-07	1.09379240715e-07	0.104086428474
Rectal_Smooth_Muscle__H3K36me3	1.44850974087e-07	1.16188638857e-07	0.106255972444
Pancreatic_Islets__H3K4me1	6.25321887919e-08	5.11542195514e-08	0.110773504709
Osteoblast_Primary_Cells__H3K36me3	4.92254006247e-08	4.03812018276e-08	0.111418733279
Uterus_ENTEX__H3K27ac	4.29960836144e-08	3.53567065139e-08	0.111979917763
Brain_Inferior_Temporal_Lobe__H3K4me1	7.59964930664e-08	6.26432166589e-08	0.11253356926
Breast_Myoepithelial_Primary_Cells__H3K4me3	2.2422914834e-07	1.85363969012e-07	0.113202859971
Artery-Tibial_ENTEX__H3K4me1	1.87490736699e-07	1.55932013599e-07	0.114606674352
Esoph-GJ_ENTEX__H3K27ac	6.09856304254e-08	5.15022965537e-08	0.118179973131
Fetal_Muscle_Leg__H3K4me3	3.06609862717e-07	2.65954789367e-07	0.124482981372
Fetal_Kidney__DNase	1.71939305732e-07	1.50476820765e-07	0.126596155261
Brain_Hippocampus_Middle__H3K4me1	4.17913844423e-08	3.71409006515e-08	0.130249619824
Aorta__H3K36me3	1.80261718216e-07	1.63971276698e-07	0.135807854852
HMEC_Mammary_Epithelial_Primary_Cells__H3K27ac	7.64737355026e-08	6.97223544405e-08	0.136357337774
Brain_Inferior_Temporal_Lobe__H3K4me3	1.51376198276e-07	1.40772283521e-07	0.141114238095
Brain_Dorsolateral_Prefrontal_Cortex__H3K9ac	1.58623103677e-07	1.50274218088e-07	0.145585174125
Stomach_Smooth_Muscle__H3K27ac	4.34866145564e-08	4.17623202837e-08	0.148870887776
Primary_hematopoietic_stem_cells_G-CSF-mobilized_Female__H3K36me3	4.31432113875e-08	4.14525098855e-08	0.148987330693
Cortex_derived_primary_cultured_neurospheres__H3K4me3	1.99685923908e-07	1.95400828144e-07	0.153407069946
Fetal_Muscle_Trunk__H3K27ac	6.84355772502e-08	6.7868586134e-08	0.156642213968
Nerve-Tibial_ENTEX__H3K4me1	4.46845600908e-08	4.43612421068e-08	0.156898125611
Stomach_Smooth_Muscle__H3K4me3	1.05610942988e-07	1.07154327498e-07	0.162165548687
