Name	Coefficient	Coefficient_std_error	Coefficient_P_value	partition
A09.371.729.Retina	2.82874086605e-08	7.28056469175e-09	5.10951370003e-05	1
Brain_Cortex	2.14302865148e-08	6.2815448175e-09	0.000322882319424	1
A08.186.211.730.885.287.249.487.Corpus.Striatum	2.35876484625e-08	7.01618472564e-09	0.000387053335774	1
Brain_Frontal_Cortex_(BA9)	1.81578704527e-08	6.22029288727e-09	0.00175502471801	1
Brain_Putamen_(basal_ganglia)	1.72701996824e-08	6.05693896858e-09	0.00217698731821	1
A08.186.211.730.885.287.249.Basal.Ganglia	2.07521293336e-08	7.30272715993e-09	0.00224371412038	1
Brain_Hippocampus	1.63166945895e-08	5.77666565078e-09	0.00236707984095	1
A08.186.211.730.317.Diencephalon	2.62265396708e-08	9.54021669855e-09	0.00298840676517	1
Brain_Substantia_nigra	1.48436294585e-08	5.50724455724e-09	0.0035163537819	1
Brain_Cerebellar_Hemisphere	1.75901469348e-08	6.53109495634e-09	0.00353751192643	1
Brain_Amygdala	1.54668100282e-08	5.97321680704e-09	0.004807722462	1
Brain_Cerebellum	1.6852874721e-08	6.65248567394e-09	0.0056493883582	1
A03.556.875.Upper.Gastrointestinal.Tract	2.20473498798e-08	9.4609576784e-09	0.0098938100935	1
Brain_Anterior_cingulate_cortex_(BA24)	1.45838286495e-08	6.25976067638e-09	0.00990904538045	1
A11.118.637.555.567.562.B.Lymphocytes	1.93607895856e-08	8.35405364764e-09	0.0102373752537	1
Brain_Spinal_cord_(cervical_c-1)	1.32608348888e-08	5.73680070194e-09	0.010401568425	1
A08.186.211.730.317.357.Hypothalamus	2.42706463331e-08	1.0548934898e-08	0.0107023888432	1
A11.872.653.Neural.Stem.Cells	2.02628695928e-08	8.91551872133e-09	0.011520204124	1
A03.556.875.875.Stomach	2.08619701488e-08	9.46514194671e-09	0.0137592103131	1
A08.186.211.Brain	1.52370684359e-08	6.93487203633e-09	0.0140042790191	1
A02.165.Cartilage	1.39650362638e-08	6.3591843287e-09	0.0140444664642	1
A08.186.211.464.710.225.Entorhinal.Cortex	1.63051450376e-08	7.50023428307e-09	0.0148543915471	1
A08.186.211.730.885.287.500.571.735.Visual.Cortex	1.64231799795e-08	7.74298380661e-09	0.0169592094839	1
Brain_Caudate_(basal_ganglia)	1.17823682223e-08	5.66541795552e-09	0.0187765411997	1
Artery_Tibial	1.36579553805e-08	6.59718068341e-09	0.019213461813	1
Brain_Nucleus_accumbens_(basal_ganglia)	1.13946232889e-08	5.70053706593e-09	0.0228112983953	1
A08.186.211.653.Mesencephalon	1.57098536767e-08	7.87938970839e-09	0.0230874678729	1
A11.872.580.Mesenchymal.Stem.Cells	1.5492431098e-08	7.82000058488e-09	0.0237883961219	1
A11.329.629.Osteoblasts	1.60737476794e-08	8.20787707374e-09	0.0250955387315	1
A08.186.211.464.Limbic.System	1.30316627977e-08	6.78014904395e-09	0.0273008715186	1
Artery_Coronary	1.58630336493e-08	8.38570722348e-09	0.0292671406747	1
A08.186.211.730.885.287.500.Cerebral.Cortex	1.23576889387e-08	6.61058362006e-09	0.0307850232296	1
A08.186.211.132.810.428.200.Cerebellum	1.18215837814e-08	6.41887861887e-09	0.0327602628068	1
A08.186.211.464.405.Hippocampus	1.20789411893e-08	6.57662746259e-09	0.0331310335142	1
A07.231.114.Arteries	1.42656216215e-08	7.91049181295e-09	0.0356642891549	1
A08.186.211.132.Brain.Stem	1.16619772683e-08	6.72901189332e-09	0.04153991536	1
A03.556.875.500.Esophagus	1.17327783922e-08	6.81255936554e-09	0.0425141401653	1
A08.186.211.865.428.Metencephalon	1.08190533219e-08	6.34281524844e-09	0.0440303103437	1
Brain_Hypothalamus	1.11233860289e-08	6.52368718738e-09	0.0440900744436	1
A11.329.171.Chondrocytes	1.07179105407e-08	6.41372285576e-09	0.047351913982	1
A08.186.211.730.885.287.500.670.Parietal.Lobe	1.15855668813e-08	6.98921255706e-09	0.0486955294572	1
A03.556.249.249.356.Colon	1.26224340465e-08	7.77410555448e-09	0.052225160037	1
A15.145.300.Fetal.Blood	1.56894347707e-08	9.66422476251e-09	0.0522460793867	1
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	1.14836095949e-08	7.10677610174e-09	0.0530614656777	1
A08.186.211.730.317.357.352.435.Hypothalamo.Hypophyseal.System	1.52203439381e-08	9.87606336338e-09	0.0616420031909	1
Esophagus_Gastroesophageal_Junction	9.59629482183e-09	6.53232020358e-09	0.0709098251916	1
A03.556.Gastrointestinal.Tract	1.0056506231e-08	7.05267151942e-09	0.0769465189146	1
A11.872.040.Adult.Stem.Cells	1.05330289619e-08	7.56713000334e-09	0.0819695230007	1
A03.556.124.Intestines	9.72746631115e-09	7.24558186292e-09	0.0897108686725	1
A11.872.700.500.Induced.Pluripotent.Stem.Cells	9.23200622661e-09	7.30564832859e-09	0.103172341497	1
A11.443.Erythroid.Cells	9.60278743197e-09	7.79445910058e-09	0.108974210897	1
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	8.59355741233e-09	7.13087458014e-09	0.114078548486	1
A11.872.Stem.Cells	9.8309623887e-09	8.21681626034e-09	0.115761625278	1
A11.436.275.Endothelial.Cells	1.02949802697e-08	8.73578178478e-09	0.119301826075	1
A02.835.232.834.151.Cervical.Vertebrae	1.06228154691e-08	9.0824757005e-09	0.121082055011	1
A10.615.789.Serous.Membrane	9.30809900299e-09	8.17437295896e-09	0.127415669496	1
Esophagus_Muscularis	8.73721715875e-09	7.76013919418e-09	0.130101839752	1
Colon_Sigmoid	8.70736952582e-09	8.01132966018e-09	0.138544494301	1
A06.407.900.Thyroid.Gland	7.15438853156e-09	7.12236914651e-09	0.157569893392	1
A11.872.190.Embryonic.Stem.Cells	8.46114416498e-09	8.42579206369e-09	0.157642147012	1
A07.231.908.Veins	8.5952268149e-09	8.59304579643e-09	0.158593846643	1
Artery_Aorta	7.78471268715e-09	7.95879104039e-09	0.164005624684	1
A15.145.229.637.555.567.562.725.Plasma.Cells	6.89421788973e-09	7.07380602204e-09	0.1648763214	1
A14.549.Mouth	6.81683273293e-09	7.03666714625e-09	0.166332790932	1
A08.186.211.730.885.287.500.270.Frontal.Lobe	6.58030725183e-09	6.98388610982e-09	0.17304183755	1
A07.231.908.670.874.Umbilical.Veins	7.0771523114e-09	7.59233000119e-09	0.17563080208	1
A03.556.249.249.356.668.Colon..Sigmoid	6.76463525354e-09	7.36125257375e-09	0.179060429248	1
A05.360.319.114.373.Fallopian.Tubes	7.3222078448e-09	8.0482789344e-09	0.181467809362	1
