Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Artery_Coronary	2.03999578686e-08	5.86158463163e-09	0.000250444666682
Artery_Tibial	1.50726706695e-08	5.14326226702e-09	0.00169172435226
Artery_Aorta	1.42763155056e-08	5.59667959094e-09	0.00537295834868
A11.872.580.Mesenchymal.Stem.Cells	1.66246728601e-08	6.71299934943e-09	0.00663407511717
A07.231.114.Arteries	1.41721850144e-08	5.91529758751e-09	0.0082908635678
A11.329.629.Osteoblasts	1.59656215254e-08	6.8250535571e-09	0.00966081364968
Esophagus_Gastroesophageal_Junction	1.2239449949e-08	6.03359617084e-09	0.0212520860485
Nerve_Tibial	8.73780459512e-09	4.77036544967e-09	0.0334992174174
Ovary	1.04214244931e-08	5.75201363211e-09	0.0350095442459
A02.835.232.834.151.Cervical.Vertebrae	1.18361156867e-08	6.62301796904e-09	0.0369591964804
A11.872.040.Adult.Stem.Cells	1.15890469714e-08	6.68669068535e-09	0.0415343859428
A11.872.190.260.Embryoid.Bodies	1.10528312924e-08	6.7220367734e-09	0.0500604076646
A15.145.229.637.555.567.562.725.Plasma.Cells	1.19944980948e-08	7.30037832109e-09	0.0501917994519
A15.382.Immune.System	1.05469323166e-08	6.76602982166e-09	0.0595210742596
A09.371.729.Retina	7.24435350616e-09	4.89683315255e-09	0.0695173053523
A14.549.167.Dentition	1.0390304225e-08	7.08788336275e-09	0.0713343830986
A15.145.229.637.555.Leukocytes..Mononuclear	8.76594275861e-09	6.07822946473e-09	0.0746248310722
A11.329.171.Chondrocytes	9.33331444739e-09	6.53430900396e-09	0.0765948190462
A10.690.467.Muscle..Smooth	7.8729615586e-09	5.78868732469e-09	0.0869054831747
A05.360.444.492.362.Foreskin	7.96478197061e-09	6.26780351953e-09	0.101909634065
A15.378.316.Bone.Marrow.Cells	8.35063869928e-09	6.711573439e-09	0.106710267435
A11.620.520.Myocytes..Smooth.Muscle	7.05075117254e-09	5.71683722704e-09	0.10872619402
A11.872.190.Embryonic.Stem.Cells	8.24770815784e-09	6.73565209885e-09	0.110384571246
A02.165.Cartilage	7.50060793276e-09	6.14987304624e-09	0.11130140423
A11.118.637.555.567.562.440.Precursor.Cells..B.Lymphoid	7.00494746243e-09	5.78365538098e-09	0.112916534317
A10.272.497.Epidermis	8.36966034928e-09	7.12146780672e-09	0.119942994696
A11.118.637.Leukocytes	7.86544754795e-09	6.84302073658e-09	0.125193145492
A17.815.Skin	8.11874589305e-09	7.16402327001e-09	0.128551227019
A05.810.890.Urinary.Bladder	8.49566433449e-09	7.5130460141e-09	0.129072108267
A11.118.637.555.567.562.B.Lymphocytes	7.73737474793e-09	6.86457818266e-09	0.129840597005
A05.360.319.679.690.Myometrium	6.47262116341e-09	5.75640361469e-09	0.130417231661
Esophagus_Muscularis	6.78825086368e-09	6.15239096363e-09	0.13493723737
Uterus	5.9739951802e-09	5.51046468646e-09	0.139156192158
A15.382.680.Phagocytes	7.24007494069e-09	6.80671710755e-09	0.143739970018
A02.835.583.443.800.800.Synovial.Fluid	6.63471219027e-09	6.3645402437e-09	0.148601649145
Cells_Transformed_fibroblasts	6.65497785536e-09	6.41593382185e-09	0.149807847077
A15.382.490.315.583.Neutrophils	6.67846528757e-09	6.88222095501e-09	0.165925092078
A05.360.319.679.490.Endometrium	5.45848069505e-09	5.70908375648e-09	0.169509719678
A05.360.319.679.Uterus	5.22042470575e-09	5.57364377176e-09	0.17447525413
A11.872.Stem.Cells	6.53532714172e-09	7.11672210156e-09	0.179229397334
A08.186.211.730.885.287.500.571.735.Visual.Cortex	4.61017272964e-09	5.0778640915e-09	0.18196657349
A11.329.114.Adipocytes	5.81886707906e-09	6.47123938882e-09	0.184276007288
A10.549.400.Lymph.Nodes	4.66607572167e-09	5.25097006446e-09	0.18710578343
Colon_Transverse	5.24982935211e-09	5.9665211464e-09	0.189461854804
A11.872.653.Neural.Stem.Cells	5.78982406596e-09	6.64458666746e-09	0.191778931649
A14.549.885.Tongue	5.24569975044e-09	6.0442910741e-09	0.192730901503
A11.872.700.500.Induced.Pluripotent.Stem.Cells	5.17063305221e-09	6.04016855172e-09	0.195987499214
A05.360.319.887.Vulva	5.61740601449e-09	6.77087099484e-09	0.20337031661
A05.360.319.114.630.Ovary	5.99651571219e-09	7.2913625943e-09	0.20542077271
Colon_Sigmoid	4.75451611976e-09	5.97877019415e-09	0.213238952475
Bladder	3.6813007377e-09	4.63891034998e-09	0.213722860635
Skin_Not_Sun_Exposed_(Suprapubic)	5.46338648363e-09	7.23965154565e-09	0.225230193491
A11.436.329.Granulosa.Cells	3.77514309275e-09	5.2154418728e-09	0.23458212301
A05.360.319.114.373.Fallopian.Tubes	4.9619005923e-09	6.99363635064e-09	0.239010868867
A15.145.229.Blood.Cells	4.62445635435e-09	6.71863956899e-09	0.245631156558
Skin_Sun_Exposed_(Lower_leg)	4.99674655458e-09	7.30030904923e-09	0.246843363186
A15.382.490.555.567.Lymphocytes	4.36041398632e-09	6.57704075364e-09	0.253673263678
A06.407.312.Gonads	4.49809792088e-09	7.04593901607e-09	0.261608030013
A03.556.249.249.356.Colon	4.14476790364e-09	6.5181897811e-09	0.262428250396
A03.556.249.249.356.668.Colon..Sigmoid	3.79002944902e-09	6.14103613164e-09	0.26856311668
A03.556.124.526.767.Rectum	4.0803350723e-09	6.61173714362e-09	0.26857280892
A10.165.450.300.425.Keloid	3.13313149595e-09	5.2286327007e-09	0.274511167602
A10.615.284.473.Chorion	3.79638180286e-09	6.46400344751e-09	0.278497350803
A10.615.550.599.Mouth.Mucosa	3.594112624e-09	6.2830542864e-09	0.283649904452
A05.360.319.Genitalia..Female	3.74531654495e-09	6.75528314176e-09	0.289643063848
A11.627.624.249.Monocyte.Macrophage.Precursor.Cells	3.45316959935e-09	6.46040798672e-09	0.296493460261
A11.872.378.590.817.Megakaryocyte.Erythroid.Progenitor.Cells	2.84674789299e-09	5.42414771187e-09	0.299851171153
A08.186.211.730.885.287.249.487.Corpus.Striatum	2.48511707441e-09	5.07633169211e-09	0.3122262596
A11.329.228.Fibroblasts	2.59199198768e-09	5.97515576673e-09	0.33221869943
A03.556.124.Intestines	2.69909926211e-09	6.31326462486e-09	0.334497290246
A06.407.Endocrine.Glands	2.91505341264e-09	6.98583348103e-09	0.338236555619
A06.407.900.Thyroid.Gland	2.20235428526e-09	5.35506272345e-09	0.340438813204
A03.556.875.875.Stomach	2.70755718039e-09	6.66052135519e-09	0.342184581663
A15.145.Blood	2.59217579795e-09	6.88585510882e-09	0.353291425399
A03.556.124.369.Intestinal.Mucosa	2.04249610118e-09	6.21700149173e-09	0.371253986874
Stomach	1.93202061741e-09	6.31792100933e-09	0.379878441772
Cervix_Ectocervix	1.45162974231e-09	5.33636372957e-09	0.392801009401
A11.118.637.555.567.569.T.Lymphocytes	1.66955598773e-09	6.44568906975e-09	0.397810287352
A11.872.378.590.635.Granulocyte.Macrophage.Progenitor.Cells	1.18209631309e-09	5.80299683998e-09	0.419292230006
A11.329.830.Stromal.Cells	1.17629515318e-09	5.79222069207e-09	0.419535511366
A10.165.450.300.Cicatrix	1.08786010477e-09	5.6855417839e-09	0.424130401799
Small_Intestine_Terminal_Ileum	7.56996518031e-10	5.86431918576e-09	0.448645136389
A03.556.249.124.Ileum	7.78608764801e-10	6.77950499761e-09	0.454283024735
A03.556.875.500.Esophagus	6.47395050375e-10	6.32330483158e-09	0.459226581169
A15.382.812.260.Dendritic.Cells	5.96754470927e-10	5.9946435495e-09	0.46035160953
A11.627.340.360.Granulocyte.Precursor.Cells	5.41080740559e-10	5.65618936541e-09	0.461894626625
A03.556.875.Upper.Gastrointestinal.Tract	6.28302466014e-10	6.61359764207e-09	0.462156771526
