                                                                                            p1                                                     p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par01.sumstats.gz  0.6027  0.0198  30.4152  3.4587e-203  2.4659     0.1335  0.9326     0.0164    0.0172       0.0071
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par02.sumstats.gz  0.5859  0.0198  29.5969  1.6371e-192  1.5422     0.0883  0.9722     0.0113    0.0185       0.0060
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par03.sumstats.gz  0.6070  0.0207  29.2585  3.5027e-188  1.8856     0.1062  0.9561     0.0139    0.0228       0.0067
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par04.sumstats.gz  0.6253  0.0267  23.4068  3.6475e-121  0.5685     0.0356  1.0005     0.0074    0.0246       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par05.sumstats.gz  0.5808  0.0197  29.5558  5.5281e-192  1.4473     0.0860  0.9716     0.0115    0.0195       0.0059
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par06.sumstats.gz  0.6159  0.0239  25.7625  2.3335e-146  0.9381     0.0578  0.9845     0.0077    0.0300       0.0055
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par07.sumstats.gz  0.5862  0.0223  26.2716  4.0497e-152  1.6408     0.1004  0.9722     0.0143    0.0206       0.0066
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par08.sumstats.gz  0.6787  0.0354  19.1547   8.8501e-82  0.3170     0.0293  1.0171     0.0065    0.0278       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par09.sumstats.gz  0.6182  0.0313  19.7312   1.1632e-86  0.4602     0.0296  0.9949     0.0065    0.0267       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz   ../results/brain_shape/ldsc/munged/par10.sumstats.gz  0.5734  0.0223  25.6826  1.8296e-145  1.2763     0.0676  0.9716     0.0096    0.0230       0.0060
