                                                                                            p1                                                              p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz -0.1017  0.0353 -2.8844  0.0039   0.276      0.021   1.007     0.0071   -0.0342       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.0612  0.0419  1.4623  0.1437   0.276      0.021   1.007     0.0071   -0.1185       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.2432  0.0587  4.1412  3.4547e-05   0.276      0.021   1.007     0.0071   -0.1248       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.3501  0.0597  5.8631  4.5436e-09   0.276      0.021   1.007     0.0071   -0.1994        0.004
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.2421  0.0558  4.3414  1.4161e-05   0.276      0.021   1.007     0.0071   -0.1783       0.0044
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.5654  0.115  4.9169  8.7908e-07   0.276      0.021   1.007     0.0071   -0.1688       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.4888  0.0882  5.5408  3.0113e-08   0.276      0.021   1.007     0.0071    -0.205       0.0041
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.3581  0.0574  6.2352  4.5115e-10   0.276      0.021   1.007     0.0071   -0.2083       0.0043
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.5901  0.0973  6.0648  1.3208e-09   0.276      0.021   1.007     0.0071   -0.2143       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.3467  0.0698  4.9662  6.8289e-07   0.276      0.021   1.007     0.0071   -0.2015       0.0044
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.4357  0.0757  5.7519  8.8249e-09   0.276      0.021   1.007     0.0071   -0.2148       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par12.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.5057  0.0981  5.157  2.5096e-07   0.276      0.021   1.007     0.0071   -0.1796       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par13.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  1.4928  0.6633  2.2506  0.0244   0.276      0.021   1.007     0.0071   -0.2138       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par14.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.5773  0.102  5.6623  1.4933e-08   0.276      0.021   1.007     0.0071   -0.2138        0.004
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par15.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  1.04  0.2874  3.6184  0.0003   0.276      0.021   1.007     0.0071   -0.2102        0.004
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par16.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.5  0.0724  6.9048  5.0278e-12   0.276      0.021   1.007     0.0071   -0.2172        0.004
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par17.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.371  0.0585  6.3408  2.2864e-10   0.276      0.021   1.007     0.0071   -0.2204       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par18.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.6259  0.1014  6.1722  6.7365e-10   0.276      0.021   1.007     0.0071   -0.2156       0.0041
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par19.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.8842  0.1869  4.7315  2.2285e-06   0.276      0.021   1.007     0.0071   -0.2143       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par20.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.3718  0.0591  6.2864  3.2499e-10   0.276      0.021   1.007     0.0071   -0.2172       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par21.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.6643  0.14  4.7448  2.0868e-06   0.276      0.021   1.007     0.0071   -0.2132       0.0041
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par22.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.3332  0.0549  6.0695  1.2828e-09   0.276      0.021   1.007     0.0071    -0.222       0.0041
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par23.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  1.1912  0.377  3.1592  0.0016   0.276      0.021   1.007     0.0071   -0.2167       0.0041
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par24.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  0.5579  0.0935  5.9638  2.4639e-09   0.276      0.021   1.007     0.0071   -0.2108       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par25.sumstats.gz  ../SAMPLE_DATA/OTHER_ASYMMETRY_GWAS/SHA2021/munged.sumstats.gz  1.0323  0.3416  3.0222  0.0025   0.276      0.021   1.007     0.0071   -0.2036       0.0038
