                                                                                            p1                                                                                  p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0247  0.0344  0.7161  0.4739  0.2372     0.0155  1.0318     0.0105   -0.0066       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz -0.0440  0.0371 -1.1867  0.2353  0.1939     0.0168  1.0086     0.0096   -0.0016       0.0045
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz -0.0197  0.0248 -0.7958  0.4261  0.0699     0.0029  1.0329     0.0112    0.0002       0.0043
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0343  0.0496  0.6917  0.4891  0.0126     0.0016  1.0325     0.0073   -0.0019       0.0036
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz -0.0095  0.0288 -0.3310  0.7406  1.5194     0.0831  1.0097     0.0082    0.0024       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz -0.0662  0.0343 -1.9302  0.0536  0.3863     0.0261  1.0106     0.0076   -0.0170       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz -0.0107  0.0582 -0.1844  0.8537  0.3131     0.0489  0.9950     0.0067   -0.0048       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0037  0.0219  0.1675  0.8670  0.4414     0.0179  1.0412     0.0122   -0.0039       0.0045
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0023  0.0361  0.0641  0.9489  0.2372     0.0155  1.0318     0.0105   -0.0121       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.0132  0.0390  0.3378  0.7355  0.1939     0.0168  1.0086     0.0096   -0.0143       0.0050
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0116  0.0241  0.4815  0.6301  0.0699     0.0029  1.0329     0.0112   -0.0128       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0601  0.0515  1.1683  0.2427  0.0126     0.0016  1.0325     0.0073   -0.0013       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0065  0.0295  0.2195  0.8262  1.5194     0.0831  1.0097     0.0082    0.0029       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz -0.0003  0.0354 -0.0081  0.9936  0.3863     0.0261  1.0106     0.0076   -0.0649       0.0039
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  0.0304  0.0547  0.5544  0.5793  0.3131     0.0489  0.9950     0.0067   -0.0109       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0349  0.0229  1.5235  0.1276  0.4414     0.0179  1.0412     0.0122   -0.0201       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0503  0.0487  1.0324  0.3019  0.2372     0.0155  1.0318     0.0105   -0.0140       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.0755  0.0581  1.2985  0.1941  0.1939     0.0168  1.0086     0.0096   -0.0196       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0211  0.0344  0.6154  0.5383  0.0699     0.0029  1.0329     0.0112   -0.0169       0.0044
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0546  0.0677  0.8072  0.4195  0.0126     0.0016  1.0325     0.0073    0.0025       0.0033
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz  0.0297  0.0422  0.7030  0.4821  1.5194     0.0831  1.0097     0.0082   -0.0029       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.0508  0.0360  1.4135  0.1575  0.3863     0.0261  1.0106     0.0076   -0.0649       0.0034
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  0.0208  0.0844  0.2460  0.8057  0.3131     0.0489  0.9950     0.0067   -0.0092       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0168  0.0303  0.5554  0.5786  0.4414     0.0179  1.0412     0.0122   -0.0151       0.0044
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0331  0.0470  0.7044  0.4812  0.2372     0.0155  1.0318     0.0105   -0.0230       0.0051
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.0709  0.0480  1.4757  0.1400  0.1939     0.0168  1.0086     0.0096   -0.0255       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0592  0.0295  2.0050  0.0450  0.0699     0.0029  1.0329     0.0112   -0.0309       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0216  0.0624  0.3466  0.7289  0.0126     0.0016  1.0325     0.0073   -0.0006       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz -0.0195  0.0387 -0.5047  0.6137  1.5194     0.0831  1.0097     0.0082    0.0066       0.0045
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.0512  0.0391  1.3073  0.1911  0.3863     0.0261  1.0106     0.0076   -0.1018       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  0.0729  0.0658  1.1082  0.2678  0.3131     0.0489  0.9950     0.0067   -0.0131       0.0038
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz  0.0531  0.0270  1.9633  0.0496  0.4414     0.0179  1.0412     0.0122   -0.0314       0.0051
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  3.6334e-02  0.0387  0.9398  0.3473  0.2372     0.0155  1.0318     0.0105 -1.9448e-02       0.0047
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  9.5481e-02  0.0459  2.0810  0.0374  0.1939     0.0168  1.0086     0.0096 -2.6174e-02       0.0050
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  5.9779e-02  0.0286  2.0887  0.0367  0.0699     0.0029  1.0329     0.0112 -2.9005e-02       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  6.4372e-02  0.0598  1.0769  0.2815  0.0126     0.0016  1.0325     0.0073  6.8519e-05       0.0037
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz -6.0770e-05  0.0307 -0.0020  0.9984  1.5194     0.0831  1.0097     0.0082  3.0420e-03       0.0036
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  3.8409e-02  0.0405  0.9483  0.3430  0.3863     0.0261  1.0106     0.0076 -9.3944e-02       0.0040
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  7.6983e-02  0.0659  1.1680  0.2428  0.3131     0.0489  0.9950     0.0067 -1.4361e-02       0.0042
