CHR,PART,removedNum,filteredNum,removedBonfNum,filteredBonfNum,removedPMean,removedPMin,filteredPMean,filteredPMin
1,1,5,1,5,1,2.47055475597038e-10,4.3104713005382e-25,4.55674911003034e-11,4.55674911003034e-11
2,1,175,74,134,63,4.56900600457631e-09,1.79926239384792e-20,3.22173611202302e-09,4.30413997781008e-18
3,1,34,11,29,10,2.9625593600214e-09,3.48030892523389e-15,1.7062305135486e-09,1.25640564290184e-15
7,1,48,6,1,1,6.15274709242431e-09,1.75650288949373e-10,1.2034641579263e-08,1.13463744874931e-09
8,1,31,16,11,4,1.43180522210507e-08,1.96506101366101e-10,1.76130296992372e-08,1.80402002965439e-10
9,1,28,10,14,5,5.28877053290698e-09,1.40414340945337e-25,4.17202217767132e-09,1.80674461688629e-24
12,1,79,20,75,16,6.62434110845658e-10,1.7057499939089e-13,3.46285012428753e-09,4.88817233973446e-13
14,1,51,16,43,12,1.18587141363603e-09,1.0928029310519e-25,1.56274002223558e-09,3.57796466259348e-28
15,1,46,9,26,6,9.92709674078629e-09,2.08739343557009e-50,3.10646095425189e-09,3.93744320766964e-50
16,1,467,56,391,44,2.06160191315362e-09,3.77987638446525e-21,3.30984617689259e-09,1.04237405803006e-15
17,1,99,5,84,5,3.6977636489247e-09,3.90979672383396e-44,3.66164879441942e-12,8.19775575780037e-31
21,1,5,2,0,0,1.4256386227751e-08,3.00721579309867e-09,1.73947195298165e-08,7.88979077964661e-09
