annot	ref.count	ref.prop	count	prop	enrichment	fisher.P
UTR3	155448	0.0095160804238821	70	0.0155313956068338	1.63212109555688	0.000114445880159342
UTR5	46406	0.00284084213467316	39	0.00865320612380741	3.04600034552887	2.78976184547223e-09
downstream	184076	0.0112686044214562	42	0.00931883736410029	0.826973511143632	0.230362906786653
exonic	157410	0.00963618843293758	63	0.0139782560461504	1.45060011470626	0.0046257108134752
intergenic	7340829	0.449384483183869	708	0.157088972709119	0.349564745974651	0
intronic	6228556	0.38129432234994	2197	0.487463944974484	1.27844532792992	1.76780082200109e-47
ncRNA_exonic	164533	0.0100722380499112	83	0.018415797648103	1.82837196230338	4.42277233305112e-07
ncRNA_intronic	1884461	0.115361294012591	1249	0.277124473041935	2.40223096848834	5.01132351500665e-192
ncRNA_splicing	826	5.05653493780982e-05	0	0	0	1
splicing	1588	9.72128024363438e-05	2	0.000443754160195252	4.56477078197419	0.0720309172380561
upstream	171164	0.0104781688389259	54	0.0119813623252718	1.14345955953311	0.305652691653543
