# MEAN_SAMPLE_SIZE = 19644
# TOTAL_GENES = 17165
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE             TYPE  NGENES         BETA     BETA_STD           SE            P
Adipose_Tissue      COVAR   17165     0.008582     0.016825     0.013336      0.25994
Adrenal_Gland       COVAR   17165    -0.012145    -0.023415     0.010365      0.87934
Bladder             COVAR   17165     0.011721     0.022801     0.016016      0.23215
Blood               COVAR   17165    -0.014486     -0.02601    0.0061097      0.99112
Blood_Vessel        COVAR   17165     0.030589     0.061989     0.011688    0.0044384
Brain               COVAR   17165   0.00059144    0.0010255    0.0068363      0.46553
Breast              COVAR   17165     0.010968     0.021056     0.015869      0.24473
Cervix_Uteri        COVAR   17165     0.016516     0.032388      0.01412      0.12107
Colon               COVAR   17165     0.033926     0.063398     0.015847     0.016154
Esophagus           COVAR   17165     0.035428     0.066624     0.017097     0.019133
Fallopian_Tube      COVAR   17165   -0.0016395   -0.0031744     0.013843      0.54714
Heart               COVAR   17165    0.0084331     0.014496    0.0094957      0.18725
Kidney              COVAR   17165    -0.026684    -0.046884    0.0094426      0.99764
Liver               COVAR   17165    -0.013015    -0.023421    0.0065161       0.9771
Lung                COVAR   17165   -0.0067394    -0.013005     0.010504      0.73943
Muscle              COVAR   17165    0.0064755     0.012247    0.0068029      0.17059
Nerve               COVAR   17165     0.017486     0.035134     0.010406     0.046442
Ovary               COVAR   17165  -0.00089396   -0.0018098     0.010306      0.53456
Pancreas            COVAR   17165   -0.0083562     -0.01396    0.0086781       0.8322
Pituitary           COVAR   17165    0.0058836     0.010949    0.0082551      0.23801
Prostate            COVAR   17165    -0.011462    -0.021702     0.013802      0.79684
Salivary_Gland      COVAR   17165    -0.012023    -0.022335     0.010762      0.86802
Skin                COVAR   17165   -0.0038419   -0.0073123    0.0099445      0.65037
Small_Intestine     COVAR   17165   -0.0050815   -0.0093273     0.010812      0.68081
Spleen              COVAR   17165    -0.019796    -0.039178    0.0078232       0.9943
Stomach             COVAR   17165    0.0095841     0.017384     0.013498      0.23885
Testis              COVAR   17165     0.013063     0.022502    0.0055118       0.0089
Thyroid             COVAR   17165     0.005877      0.01162     0.010853      0.29407
Uterus              COVAR   17165     0.020234     0.041167     0.011938     0.045057
Vagina              COVAR   17165  -0.00054041   -0.0010314     0.012579      0.51713
