                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  0.8260  0.0358  23.0989  4.7471e-118  0.2901     0.0326  0.9954     0.0069    0.4744       0.0058
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  0.8936  0.0521  17.1543   5.8370e-66  0.1666     0.0242  0.9890     0.0059    0.3371       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.7562  0.0505  14.9870   8.9351e-51  0.1951     0.0262  0.9913     0.0061    0.2878       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.7988  0.0482  16.5615   1.3218e-61  0.2173     0.0318  0.9980     0.0065    0.3219       0.0055
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.8845  0.0851  10.3950   2.6130e-25  0.1026     0.0229  0.9931     0.0057    0.2652       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.8291  0.0664  12.4848   9.0388e-36  0.1397     0.0248  0.9943     0.0063    0.1996       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.6936  0.0586  11.8435   2.3260e-32  0.1825     0.0248  0.9941     0.0059    0.2065       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.7634  0.1093   6.9838   2.8735e-12  0.0813     0.0242  0.9995     0.0062    0.1890       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.7577  0.0528  14.3626   8.8799e-47  0.1719     0.0295  0.9954     0.0065    0.2496       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.8264  0.0645  12.8076   1.4858e-37  0.1463     0.0264  1.0044     0.0060    0.1952       0.0047
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.8245  0.0850   9.7050   2.8716e-22  0.1170     0.0254  0.9928     0.0062    0.1839       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  1.1244  0.3243   3.4675   5.2540e-04  0.0356     0.0229  1.0002     0.0056    0.1775       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.7849  0.0758  10.3544   3.9971e-25  0.1238     0.0242  0.9943     0.0065    0.1689       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  0.9316  0.1649   5.6493   1.6112e-08  0.0572     0.0217  1.0021     0.0061    0.1202       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.6858  0.0618  11.1048   1.1887e-28  0.1501     0.0233  0.9942     0.0063    0.1904       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.6687  0.0635  10.5368   5.8438e-26  0.1870     0.0284  1.0076     0.0067    0.0994       0.0046
