ind,I_I,I_IF,I_p-Value,I_Significance,D_D,D_DF,D_p-Value,D_Significance,F_F,F_FF,F_p-Value,F_Significance,label
1,2.12207271303974e-06,1.28287441081356,0.019018098190181,1,4.08606980348543e-05,24.862733824732,9.99900009999e-05,6,1.65354928367468e-06,58.96564978855,9.99900009999e-05,6,L bankssts
2,1.15191516495192e-06,2.32978513803829,9.99900009999e-05,6,1.83403261584534e-05,37.1198182681795,9.99900009999e-05,6,4.93033191190203e-07,21.2399808923667,9.99900009999e-05,6,L caudalanteriorcingulate
3,2.6360520829251e-06,1.29132523622085,0.0038996100389961,3,9.16592919633194e-06,4.45362746319728,0.00015998400159984,5,2.04451973258206e-06,80.7520058922906,9.99900009999e-05,6,L caudalmiddlefrontal
5,2.64569419450385e-06,1.63276575855153,9.99900009999e-05,6,9.52018869776569e-06,5.84007963162238,0.00025997400259974,5,1.62947767680936e-06,39.9007678524233,9.99900009999e-05,6,L cuneus
6,1.22213967580135e-06,1.73842317597866,9.99900009999e-05,6,1.03096855191656e-05,14.666574252074,9.99900009999e-05,6,7.05293340875526e-07,9.03205642669183,9.99900009999e-05,6,L entorhinal
7,2.14012629365081e-06,1.82645363947919,9.99900009999e-05,6,1.26973949041077e-05,10.8381980315221,9.99900009999e-05,6,1.17161525803483e-06,28.7246176230438,9.99900009999e-05,6,L fusiform
8,3.67011050905297e-06,1.37538806155085,9.99900009999e-05,6,3.30261768712845e-05,12.3931346601585,9.99900009999e-05,6,2.67307298811068e-06,73.8505271209688,9.99900009999e-05,6,L inferiorparietal
9,2.43036617385068e-06,1.53385744629756,9.99900009999e-05,6,3.64266485708588e-05,23.0512217873392,9.99900009999e-05,6,1.58387698617857e-06,39.1676439955556,9.99900009999e-05,6,L inferiortemporal
10,7.20141180907212e-07,2.29322666476816,9.99900009999e-05,6,6.99994825614517e-06,22.4451606311328,9.99900009999e-05,6,3.14926989350887e-07,12.7672553669483,9.99900009999e-05,6,L isthmuscingulate
11,3.13988031060188e-06,1.39752920183812,9.99900009999e-05,6,1.54543446911865e-05,6.88858324033106,9.99900009999e-05,6,2.24901280989038e-06,47.3728769043282,9.99900009999e-05,6,L lateraloccipital
12,8.91237213802101e-07,1.63144508530039,9.99900009999e-05,6,6.20845986652073e-06,11.3689589464454,9.99900009999e-05,6,5.48988750188511e-07,13.1242069381536,9.99900009999e-05,6,L lateralorbitofrontal
13,2.16696001022286e-06,1.74742487029353,9.99900009999e-05,6,9.23368149959356e-06,7.42325809436497,9.99900009999e-05,6,1.24315540398225e-06,28.3167069767162,9.99900009999e-05,6,L lingual
14,9.2633810358729e-07,1.55882773625449,9.99900009999e-05,6,6.49142400196554e-06,10.9545014003761,9.99900009999e-05,6,5.94601954420905e-07,6.37972496321548,9.99900009999e-05,6,L medialorbitofrontal
15,2.32573842682488e-06,1.3055590445538,0.0111188881111889,1,4.82949007679094e-05,27.2822181327478,9.99900009999e-05,6,1.78598004895627e-06,47.3779505148862,9.99900009999e-05,6,L middletemporal
16,7.5999923802487e-07,2.30314178540623,9.99900009999e-05,6,2.85787011977753e-06,8.66803796608048,9.99900009999e-05,6,3.32220098640911e-07,7.16246914510667,9.99900009999e-05,6,L parahippocampal
17,1.38667094501752e-06,1.73629716202674,9.99900009999e-05,6,5.33791984849319e-06,6.70665018144349,9.99900009999e-05,6,8.00669260370943e-07,39.2408181660596,9.99900009999e-05,6,L paracentral
18,1.84711891882978e-06,1.33510026374162,0.00687931206879312,2,1.07523240676825e-05,7.7698300882001,9.99900009999e-05,6,1.38454437065882e-06,53.947219325036,9.99900009999e-05,6,L parsopercularis
19,1.61553937328999e-06,1.41715827800411,0.0223577642235776,1,7.86005307886662e-06,6.8940552168985,0.00013998600139986,5,1.15067498166259e-06,33.0666676407145,9.99900009999e-05,6,L parsorbitalis
20,1.79218634275937e-06,1.25693317144229,0.0355564443555644,1,1.82848068605262e-05,12.7677267673798,9.99900009999e-05,6,1.43040252519538e-06,56.0215209315786,9.99900009999e-05,6,L parstriangularis
21,2.2863993441063e-06,1.9310209010457,9.99900009999e-05,6,9.83688011428744e-06,8.28352965271094,0.00011998800119988,5,1.18698343876238e-06,33.3075387457859,9.99900009999e-05,6,L pericalcarine
22,1.30423853916378e-06,1.4482667292828,9.99900009999e-05,6,1.59932165464056e-05,17.7027566029219,9.99900009999e-05,6,9.03241010325277e-07,53.8303373877272,9.99900009999e-05,6,L postcentral
