Var1 Var2 CHR
1 2 1
160396 479312 1
1 2 2
170571 525096 2
1 2 3
149609 440535 3
1 2 4
152523 456667 4
1 2 5
136363 401356 5
1 2 6
143623 422711 6
1 2 7
124687 369133 7
1 2 8
114155 346716 8
1 2 9
86433 272201 9
1 2 10
104877 319803 10
1 2 11
108116 307734 11
1 2 12
102288 298424 12
1 2 13
77378 228723 13
1 2 14
63745 209246 14
1 2 15
59081 176779 15
1 2 16
64162 193404 16
1 2 17
56826 165673 17
1 2 18
58866 179229 18
1 2 19
46816 148052 19
1 2 20
46514 138228 20
1 2 21
30747 84572 21
1 2 22
28746 87748 22
