                                                   p1                                                    p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par02.sumstats.gz  0.9067  0.0383  23.6517  1.1328e-123  0.2466     0.0246  0.9921     0.0059    0.4517       0.0057
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par03.sumstats.gz  0.8704  0.0421  20.6848   4.7498e-95  0.2120     0.0276  1.0053     0.0061    0.4200       0.0054
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par04.sumstats.gz  0.7940  0.0425  18.6924   5.7128e-78  0.2349     0.0261  0.9894     0.0061    0.2806       0.0048
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par05.sumstats.gz  0.9473  0.0724  13.0876   3.8766e-39  0.1285     0.0232  0.9993     0.0056    0.3100       0.0050
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par06.sumstats.gz  0.8408  0.0508  16.5545   1.4856e-61  0.1995     0.0279  1.0035     0.0062    0.3110       0.0054
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par07.sumstats.gz  0.9262  0.0893  10.3667   3.5135e-25  0.1076     0.0252  1.0032     0.0058    0.2540       0.0044
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par08.sumstats.gz  0.7753  0.0512  15.1381   9.0839e-52  0.2007     0.0248  0.9882     0.0064    0.2334       0.0046
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par09.sumstats.gz  0.7254  0.0578  12.5492   4.0132e-36  0.1818     0.0252  0.9993     0.0062    0.1395       0.0048
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par10.sumstats.gz  0.9419  0.1244   7.5719   3.6790e-14  0.0784     0.0247  0.9993     0.0064    0.2055       0.0047
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par11.sumstats.gz  1.0084  0.1149   8.7738   1.7281e-18  0.0858     0.0233  1.0019     0.0059    0.2287       0.0047
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par12.sumstats.gz  0.8502  0.0614  13.8490   1.2900e-43  0.1533     0.0273  1.0061     0.0066    0.2843       0.0053
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par13.sumstats.gz  0.7506  0.0497  15.0964   1.7091e-51  0.2237     0.0259  1.0054     0.0064    0.1148       0.0042
 ../results/ldsc/STAGE00DATA/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/munged/par14.sumstats.gz  0.9358  0.1143   8.1877   2.6627e-16  0.0813     0.0223  1.0054     0.0057    0.2235       0.0046
