                                                                               p1                                                                                p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  0.8258  0.0357  23.1111  3.5786e-118  0.2901     0.0326  0.9953     0.0069    0.4746       0.0058
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par03.sumstats.gz  0.8931  0.0519  17.1965   2.8194e-66  0.1668     0.0243  0.9889     0.0058    0.3372       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.7563  0.0506  14.9583   1.3742e-50  0.1951     0.0262  0.9914     0.0061    0.2879       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.7985  0.0481  16.5951   7.5565e-62  0.2174     0.0319  0.9980     0.0066    0.3220       0.0055
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.8839  0.0846  10.4433   1.5719e-25  0.1028     0.0229  0.9930     0.0057    0.2653       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.8289  0.0660  12.5504   3.9554e-36  0.1400     0.0248  0.9942     0.0063    0.1997       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.6935  0.0586  11.8336   2.6157e-32  0.1826     0.0249  0.9940     0.0059    0.2066       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.7642  0.1096   6.9704   3.1597e-12  0.0812     0.0242  0.9995     0.0062    0.1891       0.0048
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.7578  0.0527  14.3736   7.5820e-47  0.1718     0.0295  0.9954     0.0065    0.2497       0.0052
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.8257  0.0645  12.8067   1.5043e-37  0.1466     0.0264  1.0042     0.0061    0.1954       0.0047
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.8238  0.0849   9.7003   3.0072e-22  0.1172     0.0254  0.9927     0.0062    0.1841       0.0045
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par13.sumstats.gz  1.1237  0.3233   3.4757   5.0956e-04  0.0357     0.0229  1.0001     0.0056    0.1777       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.7844  0.0756  10.3738   3.2631e-25  0.1240     0.0242  0.9942     0.0065    0.1690       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par15.sumstats.gz  0.9311  0.1642   5.6716   1.4143e-08  0.0574     0.0217  1.0021     0.0061    0.1203       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.6855  0.0618  11.0945   1.3345e-28  0.1502     0.0233  0.9942     0.0063    0.1905       0.0041
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.6687  0.0635  10.5288   6.3671e-26  0.1869     0.0284  1.0076     0.0067    0.0995       0.0046
