                                                                               p1                                             p2       rg      se        z       p h2_obs h2_obs_se h2_int h2_int_se gcov_int gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par02.sumstats.gz  -0.9696   1.405    -0.69  0.4902   2405      1236   6065     392.2   -21.03       7.064
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par03.sumstats.gz  -0.6289  0.8518  -0.7382  0.4604   9661      2203   6546     514.6    -26.6       7.781
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par04.sumstats.gz  -0.7386   1.066  -0.6926  0.4886   1368     534.2   1721     137.4   -10.95       3.636
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par05.sumstats.gz   -1.226   1.837  -0.6675  0.5044   1004     827.6   3704     265.2   -15.67        5.51
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par06.sumstats.gz  -0.5238  0.6717  -0.7797  0.4355   6417      1546   2732     277.4   -18.42       5.029
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par07.sumstats.gz   -0.586  0.7378  -0.7942  0.4271   3426     971.4   4768     327.8   -20.32        6.52
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par08.sumstats.gz   -1.655   3.008  -0.5503  0.5821  300.2     315.8  690.8     111.9   -5.181       2.407
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par09.sumstats.gz  -0.5364  0.7754  -0.6918  0.4891   1121     347.1  925.1      70.1   -8.146       2.581
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par10.sumstats.gz   -0.999   1.688  -0.5917  0.5541  887.9     350.6  991.6     120.6   -8.601       3.171
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par11.sumstats.gz  -0.7501   1.113  -0.6742  0.5002  770.1     967.9   3341     322.7   -15.69        5.38
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par12.sumstats.gz  -0.8141    1.25  -0.6514  0.5148   2033     498.4   1215     113.3   -10.47       3.242
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par13.sumstats.gz  -0.3749  0.4507  -0.8317  0.4056   5717      1579   1298     242.5   -14.38       3.767
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par14.sumstats.gz  -0.5386  0.6554  -0.8218  0.4112  986.3     395.8   1824       158   -12.09       3.976
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par15.sumstats.gz  -0.9637    1.37  -0.7034  0.4818   1900     736.6   3641     247.5   -16.72       5.629
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par16.sumstats.gz       NA      NA       NA      NA -65.75     90.36  193.8     39.18   -2.311       1.345
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par17.sumstats.gz   -1.562     2.8   -0.558  0.5769  246.7     182.4  414.7     53.71   -4.004       1.661
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par18.sumstats.gz  -0.5646  0.9101  -0.6203  0.5351  662.3     343.2  597.1     68.19   -6.969       2.185
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par19.sumstats.gz    -1.12   1.751  -0.6396  0.5224  308.3     162.2  614.3     50.81   -5.728       2.021
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par20.sumstats.gz  -0.6931   1.227   -0.565  0.5721  733.7     218.4  268.7     43.06   -4.931       1.885
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par21.sumstats.gz  -0.9868    1.61  -0.6128    0.54  444.8     241.3  648.6      92.9   -6.101       2.485
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par22.sumstats.gz       NA      NA       NA      NA -826.9     629.1   2684     256.1   -14.46       4.585
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par23.sumstats.gz  -0.9882   1.834  -0.5388    0.59   1152       506  582.7     88.67   -5.866        2.43
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par24.sumstats.gz  -0.5684  0.7586  -0.7493  0.4537  994.1       272  856.9     64.01   -8.152       2.685
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par25.sumstats.gz  -0.9777   1.624  -0.6019  0.5473   1220     401.4  732.9     75.75   -8.158       2.513
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par26.sumstats.gz   -0.274  0.2866  -0.9559  0.3391   4354      1280  704.1       180   -11.52       2.906
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par27.sumstats.gz  -0.6744   1.067  -0.6321  0.5273   2068       868  744.1     148.5   -9.455       2.604
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par28.sumstats.gz  -0.4401  0.7743  -0.5683  0.5698  299.7     201.3  970.5      94.9   -8.775       2.908
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par29.sumstats.gz   -0.641  0.8655  -0.7406  0.4589  671.7     229.7  901.7     61.42   -8.428       2.753
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par30.sumstats.gz  -0.9499   1.457  -0.6519  0.5145   1490     420.5   1917     129.7   -11.55       4.067
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par31.sumstats.gz   -0.528  0.8435  -0.6259  0.5313  341.2       271   1206     79.38   -10.32       3.128
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par32.sumstats.gz       NA      NA       NA      NA -132.9       151    228     64.89   -2.398        1.55
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par33.sumstats.gz       NA      NA       NA      NA     NA        NA     NA        NA       NA          NA
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par34.sumstats.gz   -1.439   2.516   -0.572  0.5673  250.2     179.2  412.5     49.12   -4.507       1.611
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par35.sumstats.gz   -2.301   4.632  -0.4968  0.6194  43.63     61.21  177.2     18.88   -2.407       1.108
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par36.sumstats.gz  -0.6257   1.105  -0.5663  0.5712  207.9     213.8    350     60.01   -4.726       1.646
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par37.sumstats.gz  -0.4478  0.6758  -0.6626  0.5076  639.8     268.8  377.5     39.24   -5.356       1.621
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par38.sumstats.gz  -0.6003  0.8043  -0.7463  0.4555  313.1     142.6  393.2     33.87   -5.179       1.482
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par39.sumstats.gz       NA      NA       NA      NA -44.55     88.16  311.1     37.11   -3.681       1.545
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par40.sumstats.gz  -0.9855   1.851  -0.5323  0.5945  419.2     149.9  135.8     33.88   -3.404       1.484
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/ldsc/face/munged/par41.sumstats.gz   -1.466   2.966  -0.4941  0.6212  250.8     102.9  154.5     20.78   -2.759       1.332
