GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	50	9	19644	1.8747	0.030415	SAMD11
ENSG00000268179	1	861264	866445	16	3	19644	1.7467	0.040342	AL645608.1
ENSG00000188976	1	879584	894689	48	6	19644	1.0346	0.15042	NOC2L
ENSG00000187961	1	895967	901095	20	3	19644	1.0612	0.14431	KLHL17
ENSG00000187583	1	901877	911245	27	9	19644	1.7693	0.038426	PLEKHN1
ENSG00000187642	1	910579	917497	22	5	19644	0.86664	0.19307	C1orf170
ENSG00000188290	1	934342	935552	4	2	19644	0.16841	0.43313	HES4
ENSG00000187608	1	948803	949920	5	1	19644	0.93431	0.17507	ISG15
ENSG00000188157	1	955503	991496	96	9	19644	1.1637	0.12227	AGRN
ENSG00000237330	1	1006346	1009687	7	2	19644	0.97274	0.16534	RNF223
ENSG00000131591	1	1017198	1051741	114	10	19644	-0.23358	0.59234	C1orf159
ENSG00000162571	1	1109264	1133315	145	16	19644	-2.4987	0.99377	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	19644	-0.95508	0.83023	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	19644	-2.826	0.99764	TNFRSF4
ENSG00000078808	1	1152288	1167411	89	4	19644	-1.5204	0.93579	SDF4
ENSG00000176022	1	1167629	1170421	8	2	19644	-0.73617	0.76919	B3GALT6
ENSG00000184163	1	1177826	1182102	11	2	19644	-0.09792	0.539	FAM132A
ENSG00000160087	1	1189289	1209265	53	8	19644	-1.1214	0.86894	UBE2J2
ENSG00000162572	1	1215816	1227409	39	11	19644	-1.2732	0.89853	SCNN1D
ENSG00000131584	1	1227756	1244989	46	7	19644	-0.098186	0.53911	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	19644	0.80599	0.21013	PUSL1
ENSG00000127054	1	1246965	1260071	16	4	19644	1.1299	0.12925	CPSF3L
ENSG00000224051	1	1260136	1264277	10	2	19644	1.1264	0.13	GLTPD1
ENSG00000169962	1	1266694	1270686	12	4	19644	0.89072	0.18654	TAS1R3
ENSG00000107404	1	1270656	1284730	37	6	19644	0.78674	0.21572	DVL1
ENSG00000162576	1	1288069	1297157	24	4	19644	1.0425	0.14859	MXRA8
ENSG00000175756	1	1309110	1310875	9	3	19644	0.063973	0.4745	AURKAIP1
ENSG00000221978	1	1321091	1334708	18	5	19644	0.60152	0.27375	CCNL2
ENSG00000224870	1	1334902	1337426	9	3	19644	1.2868	0.099074	RP4-758J18.2
ENSG00000242485	1	1337288	1342693	14	5	19644	-0.2131	0.58437	MRPL20
