 p1 p2 rg se z p h2_obs h2_obs_se h2_int h2_int_se gcov_int gcov_int_se
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par01.sumstats.gz 1.648 1.034 1.594 0.111 1.085e+04 3.566e+04 3.976e+05 3.527e+04 833.6 131.9
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par02.sumstats.gz NA NA NA NA NA NA NA NA NA NA
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par03.sumstats.gz NA NA NA NA -1967 1.275e+04 1.358e+05 1.244e+04 499.2 78.23
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par04.sumstats.gz NA NA NA NA -430.7 2259 1.349e+04 2292 153 31.83
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par05.sumstats.gz 1.667 1.282 1.3 0.1936 3054 1.574e+04 1.142e+05 1.579e+04 439.2 84.7
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par06.sumstats.gz NA NA NA NA -7887 8274 3.304e+04 8478 245.3 60.28
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par07.sumstats.gz 1.21 0.2843 4.257 2.071e-05 7568 4368 6.735e+04 2938 329.7 33.26
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par08.sumstats.gz NA NA NA NA -767.5 964.6 3265 990.6 74.31 20.46
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par09.sumstats.gz 1.093 0.2206 4.956 7.197e-07 741.6 577.2 7085 521 105.8 16.05
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par10.sumstats.gz 1.256 0.2647 4.745 2.087e-06 5383 1625 2.636e+04 1324 196.6 21.95
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par11.sumstats.gz NA NA NA NA -7185 1.423e+04 5.755e+04 1.441e+04 310.8 78.3
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par12.sumstats.gz NA NA NA NA -2345 1875 7874 1913 120.5 28.55
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par13.sumstats.gz NA NA NA NA -5402 5605 1.879e+04 5753 184 49.45
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par14.sumstats.gz NA NA NA NA NA NA NA NA NA NA
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par15.sumstats.gz 1.186 0.2933 4.043 5.285e-05 5724 2539 3.349e+04 1869 225.8 21.67
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par16.sumstats.gz NA NA NA NA -190.7 299.8 1814 306.1 53.71 11.55
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par17.sumstats.gz NA NA NA NA -271.6 324.9 942.5 332.9 39.14 11.83
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par18.sumstats.gz NA NA NA NA -24.76 448.2 2614 447.3 64.61 14.04
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par19.sumstats.gz 1.171 0.2713 4.317 1.582e-05 456.8 170.4 3716 108.4 71.71 6.219
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par20.sumstats.gz 1.146 0.2224 5.154 2.546e-07 1719 927.6 1.105e+04 797.2 131.3 18.56
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par21.sumstats.gz 1.389 0.3583 3.876 0.0001062 3358 1073 1.467e+04 829.7 138.2 14.03
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par22.sumstats.gz 1.159 0.2525 4.59 4.43e-06 6256 2303 2.973e+04 2035 198.9 19.17
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par23.sumstats.gz NA NA NA NA -1.122e+04 1.105e+04 1.909e+04 1.123e+04 165.8 68.06
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par24.sumstats.gz NA NA NA NA -1083 806.5 2891 823.9 71.37 18.6
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par25.sumstats.gz NA NA NA NA -1025 713.5 3569 734.8 80.7 17.8
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par26.sumstats.gz NA NA NA NA -6948 6126 9856 6244 115.3 50.91
../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz ../results/ldsc/brain_shape/munged/par27.sumstats.gz 1.443 0.7787 1.853 0.06386 326.6 642.9 7673 579.7 114.7 16.96
