# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = GO_bp:go_regulation_of_anatomical_structure_morphogenesis (set)
# _SET1_  NGENES = 995
# _SET1_  P-VALUE = 3.11454e-06
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000107404     1    1220656    1334730    388      22  35986     -0.39065      0.65421    1.2212e-15     -0.39065
_SET1_   ENSG00000196581     1    4664792    4902594   1080     108  35986      0.48979      0.25554    1.2212e-15      0.48979
_SET1_   ENSG00000158286     1    6215535    6331359    303      33  35986     -0.24818      0.55402    1.2212e-15     -0.24818
_SET1_   ENSG00000198793     1   11116592   11372564    590      15  35986      -0.7664      0.73798    1.2212e-15      -0.7664
_SET1_   ENSG00000162490     1   11701786   11835914    453      73  35986     -0.98337      0.79444    1.2212e-15     -0.98337
_SET1_   ENSG00000120937     1   11867521   11968988    507      30  35986       1.3235     0.066026    1.3323e-15       1.3235
_SET1_   ENSG00000028137     1   12177060   12319285    416      54  35986     -0.43997      0.62289    1.2212e-15     -0.43997
_SET1_   ENSG00000162493     1   13859960   13994452    552      57  35986      -0.7782      0.73089    1.2212e-15      -0.7782
_SET1_   ENSG00000162458     1   16033102   16163089    461      42  35986        2.554    0.0032041    1.3323e-15        2.554
_SET1_   ENSG00000142627     1   16400832   16532582    409      30  35986       1.2178     0.077277    1.3323e-15       1.2178
_SET1_   ENSG00000142632     1   16474349   16589104    309      20  35986      0.17459      0.35302    1.2212e-15      0.17459
_SET1_   ENSG00000179051     1   17683256   17816220    517      25  35986   -0.0027821      0.41589    1.2308e-15   -0.0027821
_SET1_   ENSG00000077549     1   19615267   19862066    881      45  35986      0.63604      0.19401    1.2212e-15      0.63604
_SET1_   ENSG00000090432     1   20775943   20884654    276      23  35986      -1.5031      0.90854    1.3323e-15      -1.5031
_SET1_   ENSG00000158828     1   20909948   21028004    494      37  35986      -2.2965      0.98218    1.3323e-15      -2.2965
_SET1_   ENSG00000142798     1   22098738   22313790    900      62  35986      -2.7226      0.99485    1.3323e-15      -2.7226
_SET1_   ENSG00000070831     1   22329120   22469437    519      28  35986      0.64537      0.20511    1.2212e-15      0.64537
_SET1_   ENSG00000162552     1   22393798   22520462    421      46  35986     -0.03834       0.4512    1.2282e-15     -0.03834
_SET1_   ENSG00000133216     1   22987332   23291818    703      82  35986      0.89336      0.14161    1.2212e-15      0.89336
_SET1_   ENSG00000007968     1   23782922   23907712    334      34  35986      -0.5512      0.64841    1.2212e-15      -0.5512
