ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000150556	LYPD6B	2	149894621	150071776	1	protein_coding	130576	LYPD6B	0.00103350797846491	-0.240955936	152	19.74	4.72399896978e-14	rs12615999;rs2017673;rs11684511	1
ENSG00000044524	EPHA3	3	89156674	89531284	1	protein_coding	2042	EPHA3	0.0156859621990761	-0.110283635	15	22.3	1.86162307791e-10	rs12636275	2
ENSG00000164627	KIF6	6	39297766	39693181	-1	protein_coding	221458	KIF6	1.03952440427845e-16	5.668753748	63	21.3	2.64614974377e-08	rs6458117	4
ENSG00000119514	GALNT12	9	101569981	101612363	1	protein_coding	79695	GALNT12	0.0028256589510292	0.213659477	2	4.317	1.20240811247e-06	rs2900125	5
ENSG00000165617	DACT1	14	59100685	59115039	1	protein_coding	51339	DACT1	0.81659755259209	NA	4	16.46	1.11022302463e-16	rs191103;rs160468	6
ENSG00000204991	SPIRE2	16	89884587	89937727	1	protein_coding	84501	SPIRE2	1.1281776245309e-10	-0.545172322	11	8.932	1.6112888801e-11	rs9939914;rs11640500	8
ENSG00000141002	TCF25	16	89940000	89977792	1	protein_coding	22980	TCF25	0.0517782774404855	NA	24	13.19	1.6112888801e-11	rs9939914;rs11640500	8
ENSG00000258839	MC1R	16	89978527	89987385	1	protein_coding	4157	MC1R	3.24606043304287e-07	0.608794345	12	13.19	1.67362330106e-08	rs11640500;rs9939914	8
ENSG00000198211	TUBB3	16	89985573	90002500	1	protein_coding	10381	TUBB3	NA	0.14326531	28	13.19	7.81195497179e-10	rs11640500;rs9939914	8
ENSG00000258947	TUBB3	16	89987800	90005169	1	protein_coding	10381	TUBB3	0.960789307391211	0.14326531	36	13.19	7.81195497179e-10	rs9939914;rs11640500	8
ENSG00000140995	DEF8	16	90014333	90034468	1	protein_coding	54849	DEF8	0.389991487866254	1.457518434	61	10.72	7.81195497179e-10	rs11640500	8
ENSG00000177946	CENPBD1	16	90036206	90038942	-1	protein_coding	92806	CENPBD1	0.0200720946377584	-0.392978384	22	26.7	1.89327422073e-08	rs11640500	8
ENSG00000003249	DBNDD1	16	90071273	90086536	-1	protein_coding	79007	DBNDD1	0.000234996408377196	-0.663797933	29	7.965	5.1230784448e-08	rs11640500	8
ENSG00000141013	GAS8	16	90086037	90111383	1	protein_coding	2622	GAS8	8.03531596883606e-08	1.927189183	31	23.8	2.7879338782e-08	rs11640500	8
ENSG00000221819	C16orf3	16	90095316	90096309	-1	protein_coding	750	C16orf3	0.00279281097473673	0.390816122	10	23.8	8.95632988329e-08	rs11640500	8
ENSG00000126856	PRDM7	16	90122974	90158480	-1	protein_coding	11105	PRDM7	3.13626272886712e-10	0.817071391	39	13.86	7.22400011255e-07	rs11640500	8
ENSG00000186868	MAPT	17	43971748	44105700	1	protein_coding	4137	MAPT	4.68264962282433e-05	2.01024275	7	6.281	1.04764752429e-10	rs12452789	9
ENSG00000256762	STH	17	44076616	44077060	1	protein_coding	246744	STH	0.00444466614164462	0.274193181	2	6.281	2.90997481667e-09	rs12452789	9
ENSG00000120071	KANSL1	17	44107282	44302733	-1	protein_coding	284058	KANSL1	0.999733505943003	0.058945245	41	18.14	4.86615747697e-11	rs12452789	9
ENSG00000228696	ARL17B	17	44352150	44439130	-1	protein_coding	100506084	ARL17B	NA	-0.428243465	1	10.66	9.76366210104e-11	rs12452789	9
ENSG00000176681	LRRC37A	17	44370099	44415160	1	protein_coding	9884	LRRC37A	0.890487355591061	NA	1	10.66	9.76366210104e-11	rs12452789	9
ENSG00000073969	NSF	17	44668035	44834830	1	protein_coding	4905	NSF	0.713682130183303	-0.566246769	3	13.54	1.50399613874e-08	rs12452789	9
ENSG00000108379	WNT3	17	44839872	44910520	-1	protein_coding	7473	WNT3	0.946108101336536	-0.191110949	1	13.54	3.77738804125e-08	rs12452789	9
ENSG00000182871	COL18A1	21	46825052	46933634	1	protein_coding	80781	COL18A1	1.23766303264373e-05	-0.100298676	8	5.098	3.07143571687e-09	rs7283026	10
