# ALPHA = 0.05
# NUMBER_OF_TESTS = 15485

# _SET1_  VARIABLE = Curated_gene_sets:nikolsky_breast_cancer_16q24_amplicon (set)
# _SET1_  NGENES = 53
# _SET1_  P-VALUE = 3.68586e-07
_SET1_   GENE              CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000131149    16  85595015  85759810    309      40  16342       1.4331     0.054235   -2.2204e-16       1.4331
_SET1_   ENSG00000131153    16  85659804  85773679    310      31  16342       1.5565     0.042009   -2.2204e-16       1.5565
_SET1_   ENSG00000154102    16  85673690  85834735    431      46  16342        1.218     0.083144   -2.2204e-16        1.218
_SET1_   ENSG00000131148    16  85755364  85883214    361      36  16342      0.95451      0.13256   -2.2204e-16      0.95451
_SET1_   ENSG00000131143    16  85782239  85890650    286      24  16342     -0.12476      0.49635   -1.6653e-16     -0.12476
_SET1_   ENSG00000140941    16  87367601  87488385    401      39  16342     -0.27334      0.55128   -1.6653e-16     -0.27334
_SET1_   ENSG00000140948    16  87389852  87575651    597      30  16342     -0.22895      0.53781   -1.6653e-16     -0.22895
_SET1_   ENSG00000154118    16  87585441  87781762    886      91  16342      -1.3206      0.87618   -2.2204e-16      -1.3206
_SET1_   ENSG00000104731    16  87680091  87849598    755      64  16342      -0.4674      0.61952   -1.6653e-16      -0.4674
_SET1_   ENSG00000103257    16  87813629  87953094    694      57  16342        1.395     0.059497   -2.2204e-16        1.395
_SET1_   ENSG00000174990    16  87871625  88020135    822      57  16342       1.1117     0.099225   -2.2204e-16       1.1117
_SET1_   ENSG00000172530    16  87932850  88160924    992      50  16342      0.19141      0.35346   -1.6653e-16      0.19141
_SET1_   ENSG00000179588    16  88469725  88653424    696      81  16342       0.6797      0.20188   -2.2204e-16       0.6797
_SET1_   ENSG00000158545    16  88586789  88748374    655      66  16342       1.0816      0.10666   -2.2204e-16       1.0816
_SET1_   ENSG00000124391    16  88654999  88756881    342      51  16342       1.0943      0.10306   -2.2204e-16       1.0943
_SET1_   ENSG00000051523    16  88659691  88767560    368      53  16342      0.74203      0.18132   -2.2204e-16      0.74203
_SET1_   ENSG00000167508    16  88668343  88779569    402      59  16342      0.68436      0.19731   -2.2204e-16      0.68436
_SET1_   ENSG00000185669    16  88694090  88802901    437      57  16342       0.6854       0.1974   -2.2204e-16       0.6854
_SET1_   ENSG00000158717    16  88712903  88822829    496      57  16342      0.61193      0.21836   -2.2204e-16      0.61193
_SET1_   ENSG00000174177    16  88722871  88831794    489      57  16342       0.6692      0.20203   -2.2204e-16       0.6692
_SET1_   ENSG00000103335    16  88731751  88901619    779      81  16342       1.3031     0.071409   -2.2204e-16       1.3031
_SET1_   ENSG00000167513    16  88819621  88925666    509      44  16342       1.4265     0.058083   -2.2204e-16       1.4265
_SET1_   ENSG00000198931    16  88825747  88928352    490      50  16342       1.2821     0.077213   -2.2204e-16       1.2821
_SET1_   ENSG00000141012    16  88830142  88973378    684      52  16342       1.0774      0.11334   -2.2204e-16       1.0774
_SET1_   ENSG00000167515    16  88872628  88979094    580      42  16342       0.7933      0.18139   -2.2204e-16       0.7933
_SET1_   ENSG00000205022    16  88878034  88983068    575      41  16342      0.77443      0.18693   -2.2204e-16      0.77443
_SET1_   ENSG00000129993    16  88891266  89093612    824      66  16342      0.39179      0.29638   -1.6653e-16      0.39179
_SET1_   ENSG00000176715    16  89104783  89272254    776      39  16342      0.81752      0.16482   -2.2204e-16      0.81752
_SET1_   ENSG00000129910    16  89188175  89311900    559      28  16342       1.6411      0.03873   -2.2204e-16       1.6411
_SET1_   ENSG00000170100    16  89234118  89345363    473      36  16342        1.844     0.024693   -2.2204e-16        1.844
_SET1_   ENSG00000167522    16  89284038  89606969    827      48  16342         2.32    0.0062849             0         2.32
