GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000187634	1	860260	879955	50	9	19644	0.82307	0.20523	SAMD11
ENSG00000268179	1	861264	866445	16	3	19644	1.157	0.12363	AL645608.1
ENSG00000188976	1	879584	894689	48	6	19644	-0.34097	0.63344	NOC2L
ENSG00000187961	1	895967	901095	20	3	19644	-0.17231	0.5684	KLHL17
ENSG00000187583	1	901877	911245	27	9	19644	0.25088	0.40095	PLEKHN1
ENSG00000187642	1	910579	917497	22	5	19644	-2.0027	0.9774	C1orf170
ENSG00000188290	1	934342	935552	4	2	19644	-1.8941	0.9709	HES4
ENSG00000187608	1	948803	949920	5	1	19644	-1.5175	0.93543	ISG15
ENSG00000188157	1	955503	991496	96	9	19644	-1.6518	0.95071	AGRN
ENSG00000237330	1	1006346	1009687	7	2	19644	-1.7078	0.95616	RNF223
ENSG00000131591	1	1017198	1051741	114	10	19644	-1.7212	0.95739	C1orf159
ENSG00000162571	1	1109264	1133315	145	16	19644	0.18921	0.42496	TTLL10
ENSG00000186891	1	1138888	1142071	9	2	19644	1.001	0.15842	TNFRSF18
ENSG00000186827	1	1146706	1149518	7	2	19644	-1.3963	0.91869	TNFRSF4
ENSG00000078808	1	1152288	1167411	89	4	19644	0.40473	0.34284	SDF4
ENSG00000176022	1	1167629	1170421	8	2	19644	-0.59819	0.72514	B3GALT6
ENSG00000184163	1	1177826	1182102	11	2	19644	1.7893	0.03678	FAM132A
ENSG00000160087	1	1189289	1209265	53	8	19644	-0.44691	0.67253	UBE2J2
ENSG00000162572	1	1215816	1227409	39	11	19644	0.15112	0.43994	SCNN1D
ENSG00000131584	1	1227756	1244989	46	7	19644	-1.3226	0.90701	ACAP3
ENSG00000169972	1	1243947	1247057	4	2	19644	1.1099	0.13352	PUSL1
ENSG00000127054	1	1246965	1260071	16	4	19644	1.2983	0.097085	CPSF3L
ENSG00000224051	1	1260136	1264277	10	2	19644	0.80718	0.20978	GLTPD1
ENSG00000169962	1	1266694	1270686	12	4	19644	0.41738	0.3382	TAS1R3
ENSG00000107404	1	1270656	1284730	37	6	19644	0.59733	0.27515	DVL1
