#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:24275654	(2014) A direct interaction between leucine-rich repeat kinase 2 and specific Beta-tubulin isoforms regulates tubulin acetylation.	4	21	2.67	0.00048	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000336799,9606.ENSP00000340820	TUBA1A,TUBB3,TUBA1B,MAPT
PMID:27878758	(2017) Gender-Specific Expression of Ubiquitin-Specific Peptidase 9 Modulates Tau Expression and Phosphorylation: Possible Implications for Tauopathies.	4	35	2.45	0.0016	9606.ENSP00000301072,9606.ENSP00000320295,9606.ENSP00000336799,9606.ENSP00000340820	TUBA1C,TUBB3,TUBA1B,MAPT
PMID:29962938	(2018) The Role of the Microtubule Cytoskeleton in Neurodevelopmental Disorders.	4	46	2.33	0.0029	9606.ENSP00000233121,9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000340820	MAPRE3,TUBA1A,TUBB3,MAPT
PMID:30909607	(2019) Electrostatics of Tau Protein by Molecular Dynamics.	3	7	3.02	0.0045	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000340820	TUBA1A,TUBB3,MAPT
PMID:30087272	(2018) Clinical and Functional Characterization of the Recurrent TUBA1A p.(Arg2His) Mutation.	3	9	2.91	0.0050	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000336799	TUBA1A,TUBB3,TUBA1B
PMID:26725114	(2016) Microtubule-Dependent Mitochondria Alignment Regulates Calcium Release in Response to Nanomechanical Stimulus in Heart Myocytes.	3	8	2.96	0.0050	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000320295	TUBA1A,TUBA1C,TUBB3
PMID:22761654	(2012) Computational predictions of volatile anesthetic interactions with the microtubule cytoskeleton: implications for side effects of general anesthesia.	3	8	2.96	0.0050	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000340820	TUBA1A,TUBB3,MAPT
PMID:26775887	(2016) Reversal of axonal growth defects in an extraocular fibrosis model by engineering the kinesin-microtubule interface.	3	10	2.87	0.0054	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000336799	TUBA1A,TUBB3,TUBA1B
PMID:25837389	(2015) In vivo investigation of cilia structure and function using Xenopus.	3	11	2.82	0.0061	9606.ENSP00000233121,9606.ENSP00000301071,9606.ENSP00000340820	MAPRE3,TUBA1A,MAPT
PMID:28811865	(2017) Oxidative Biochemistry Disbalance and Changes on Proteomic Profile in Salivary Glands of Rats Induced by Chronic Exposure to Methylmercury.	3	12	2.79	0.0068	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
PMID:31235910	(2019) Structural basis of tubulin detyrosination by vasohibins.	3	13	2.75	0.0076	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000336799	TUBA1A,TUBB3,TUBA1B
PMID:30126203	(2018) Genetics and Expression Profile of the Tubulin Gene Superfamily in Breast Cancer Subtypes and Its Relation to Taxane Resistance.	3	14	2.72	0.0076	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000320295	TUBA1A,TUBA1C,TUBB3
PMID:23358242	(2013) Structural basis of tubulin tyrosination by tubulin tyrosine ligase.	3	13	2.75	0.0076	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000320295	TUBA1A,TUBA1C,TUBB3
PMID:12090300	(2002) Mutation analysis of 12 candidate genes for distal hereditary motor neuropathy type II (distal HMN II) linked to 12q24.3.	3	13	2.75	0.0076	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
PMID:26441521	(2015) Neurodegeneration and microtubule dynamics: death by a thousand cuts.	3	15	2.69	0.0082	9606.ENSP00000233121,9606.ENSP00000320295,9606.ENSP00000340820	MAPRE3,TUBB3,MAPT
PMID:28687665	(2017) Mutation of the Alfa-tubulin Tuba1a leads to straighter microtubules and perturbs neuronal migration.	3	16	2.66	0.0091	9606.ENSP00000233121,9606.ENSP00000301071,9606.ENSP00000336799	MAPRE3,TUBA1A,TUBA1B
PMID:28361918	(2017) Single-cell RNA sequencing identifies distinct mouse medial ganglionic eminence cell types.	4	110	1.95	0.0148	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000320295,9606.ENSP00000340820	TUBA1A,TUBA1C,TUBB3,MAPT
PMID:25754961	(2015) Coordinated interaction of Down syndrome cell adhesion molecule and deleted in colorectal cancer with dynamic TUBB3 mediates Netrin-1-induced axon branching.	3	24	2.49	0.0243	9606.ENSP00000233121,9606.ENSP00000320295,9606.ENSP00000340820	MAPRE3,TUBB3,MAPT
PMID:21046408	(2011) Role of cytoskeletal abnormalities in the neuropathology and pathophysiology of type I lissencephaly.	3	26	2.45	0.0288	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000340820	TUBA1A,TUBB3,MAPT
PMID:30305740	(2018) Genome-wide association studies of brain imaging phenotypes in UK Biobank.	3	27	2.43	0.0304	9606.ENSP00000320295,9606.ENSP00000336799,9606.ENSP00000340820	TUBB3,TUBA1B,MAPT
PMID:28432311	(2017) Enteric innervation combined with proteomics for the evaluation of the effects of chronic fluoride exposure on the duodenum of rats.	3	28	2.42	0.0320	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000320295	TUBA1A,TUBA1C,TUBB3
PMID:24278775	(2013) LIS1 and DCX: Implications for Brain Development and Human Disease in Relation to Microtubules.	3	29	2.4	0.0337	9606.ENSP00000233121,9606.ENSP00000301071,9606.ENSP00000340820	MAPRE3,TUBA1A,MAPT
PMID:20735813	(2010) Molecular analysis of ex-vivo CD133+ GBM cells revealed a common invasive and angiogenic profile but different proliferative signatures among high grade gliomas.	3	29	2.4	0.0337	9606.ENSP00000301071,9606.ENSP00000336799,9606.ENSP00000340820	TUBA1A,TUBA1B,MAPT
PMID:28542170	(2017) Human mutations in integrator complex subunits link transcriptome integrity to brain development.	3	32	2.36	0.0408	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000336799	TUBA1A,TUBB3,TUBA1B
PMID:22355234	(2011) Integrative analyses of conserved WNT clusters and their co-operative behaviour in human breast cancer.	3	33	2.35	0.0427	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000323867	TUBA1A,TUBA1C,PRKAG1
PMID:26760504	(2016) The cytoskeletal arrangements necessary to neurogenesis.	3	34	2.33	0.0447	9606.ENSP00000301071,9606.ENSP00000320295,9606.ENSP00000340820	TUBA1A,TUBB3,MAPT
