GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000269831	1	688532	789137	58	2	16342	1.4123	0.078927	AL669831.1
ENSG00000269308	1	768043	869983	214	25	16342	1.3765	0.084333	AL645608.2
ENSG00000187634	1	810260	929955	324	41	16342	0.69496	0.24354	SAMD11
ENSG00000268179	1	811264	916445	271	33	16342	0.77976	0.21777	AL645608.1
ENSG00000188976	1	829584	944689	368	44	16342	0.78059	0.21752	NOC2L
ENSG00000187961	1	845967	951095	332	40	16342	0.0075802	0.49698	KLHL17
ENSG00000187583	1	851877	961245	343	41	16342	0.5739	0.28302	PLEKHN1
ENSG00000187642	1	860579	967497	328	39	16342	0.74496	0.22815	C1orf170
ENSG00000188290	1	884342	985552	316	33	16342	0.82967	0.20336	HES4
ENSG00000187608	1	898803	999920	302	30	16342	1.2636	0.10319	ISG15
ENSG00000188157	1	905503	1041496	390	37	16342	1.6325	0.051283	AGRN
ENSG00000237330	1	956346	1059687	303	28	16342	2.2674	0.011684	RNF223
ENSG00000131591	1	967198	1101741	420	40	16342	1.8773	0.030236	C1orf159
ENSG00000162571	1	1059264	1183315	515	43	16342	-0.3535	0.63814	TTLL10
ENSG00000186891	1	1088888	1192071	445	37	16342	-0.63412	0.737	TNFRSF18
ENSG00000186827	1	1096706	1199518	425	34	16342	-0.49986	0.69141	TNFRSF4
ENSG00000078808	1	1102288	1217411	468	37	16342	-0.60608	0.72777	SDF4
ENSG00000176022	1	1117629	1220421	415	31	16342	-0.58263	0.71993	B3GALT6
ENSG00000184163	1	1127826	1232102	381	30	16342	-0.28652	0.61276	FAM132A
ENSG00000160087	1	1139289	1259265	389	31	16342	-0.25123	0.59918	UBE2J2
ENSG00000162572	1	1165816	1277409	313	32	16342	-0.42365	0.66409	SCNN1D
ENSG00000131584	1	1177756	1294989	313	29	16342	-0.67995	0.75173	ACAP3
ENSG00000169972	1	1193947	1297057	266	23	16342	-1.0975	0.86378	PUSL1
ENSG00000127054	1	1196965	1310071	338	27	16342	-0.44186	0.6707	CPSF3L
ENSG00000224051	1	1210136	1314277	335	25	16342	-0.44199	0.67075	GLTPD1
ENSG00000169962	1	1216694	1320686	325	23	16342	-0.39743	0.65447	TAS1R3
ENSG00000107404	1	1220656	1334730	331	22	16342	-0.40676	0.65791	DVL1
ENSG00000162576	1	1238069	1347157	322	20	16342	-0.46957	0.68067	MXRA8
ENSG00000175756	1	1259110	1360875	336	20	16342	-0.5958	0.72435	AURKAIP1
ENSG00000221978	1	1271091	1384708	339	21	16342	-0.29192	0.61483	CCNL2
ENSG00000224870	1	1284902	1387426	302	20	16342	-0.16434	0.56527	RP4-758J18.2
ENSG00000242485	1	1287288	1392693	304	21	16342	-0.012362	0.50493	MRPL20
ENSG00000235098	1	1303800	1407149	238	19	16342	-0.058004	0.52313	ANKRD65
ENSG00000205116	1	1311508	1413167	201	17	16342	-0.32894	0.6289	TMEM88B
