ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	98	18.97	1.51313717112e-09	rs12105356;rs7575465	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	51	15.81	1.04989883454e-09	rs7575465;rs12105356	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	12	15.81	8.84701290005e-09	rs7575465;rs12105356	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	22	16.07	1.13202025878e-11	rs7575465;rs12105356	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	14	16.07	1.13202025878e-11	rs7575465;rs12105356	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	20	18.13	1.13202025878e-11	rs7575465;rs12105356	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	22	19.29	8.80737496822e-11	rs7575465;rs12105356	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	30	19.29	8.35849583991e-11	rs7575465;rs12105356	2
ENSG00000143994	ABHD1	2	27346682	27353680	1	protein_coding	84696	ABHD1	1.06027288753589e-21	-0.251069432	9	8.668	8.35849583991e-11	rs7575465;rs12105356	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	2	6.143	5.46575506633e-07	rs7575465;rs12105356	2
ENSG00000119514	GALNT12	9	101569981	101612363	1	protein_coding	79695	GALNT12	0.0028256589510292	0.213659477	1	4.317	7.98446535555e-08	rs7023465	3
