ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000204929	AC074391.1	2	65663845	66311773	1	lincRNA	101927533	LOC101927533	NA	NA	2	15.55	0	NA	NA	NA	NA	No	NA	7.55023937011e-09	rs2860911	1
ENSG00000078018	MAP2	2	210288782	210598842	1	protein_coding	4133	MAP2	0.999983364970244	-1.176040338	3	15.67	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	4.56207729416e-08	rs2048249	2
ENSG00000144406	UNC80	2	210636717	210864024	1	protein_coding	285175	UNC80	0.139839110565612	-1.224725318	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex:Neural_Progenitor_Cell	1.73313092499e-07	rs2048249	2
ENSG00000181929	PRKAG1	12	49396057	49412980	-1	protein_coding	5571	PRKAG1	0.00163708742661498	-0.36111794	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	4.9420509669e-06	rs1057725	3
ENSG00000167548	KMT2D	12	49412758	49453557	-1	protein_coding	8085	KMT2D	0.999999999999995	-1.38903777	0	0	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	4.9420509669e-06	rs1057725	3
ENSG00000167550	RHEBL1	12	49458468	49463808	-1	protein_coding	121268	RHEBL1	3.29298900292704e-06	-0.739691541	0	0	5	3.4234e-08	5.87638587401446e-06	PsychENCODE_eQTLs:GTEx/v8/Brain_Putamen_basal_ganglia	NA	No	NA	1.66714732442e-08	rs1057725	3
ENSG00000139549	DHH	12	49483204	49488602	-1	protein_coding	50846	DHH	0.259714235022627	-0.226342192	1	14.78	0	NA	NA	NA	NA	Yes	Adult_Cortex:Fetal_Cortex	4.9420509669e-06	rs1057725	3
ENSG00000139636	LMBR1L	12	49490919	49504683	-1	protein_coding	55716	LMBR1L	2.18323454000279e-06	-0.977588306	1	14.78	6	3.19423e-08	1.35724e-06	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellum	NA	No	NA	1.66714732442e-08	rs1057725	3
ENSG00000123416	TUBA1B	12	49521565	49525180	-1	protein_coding	10376	TUBA1B	0.828418234696983	NA	2	20.8	2	5.78493e-05	0.0320425	GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia	NA	Yes	Adult_Cortex:Fetal_Cortex:Neural_Progenitor_Cell	1.66714732442e-08	rs1057725	3
ENSG00000167552	TUBA1A	12	49578579	49583107	-1	protein_coding	7846	TUBA1A	0.836535571093595	-0.472903371	1	15.53	8	2.76651e-06	0.000340269197671216	PsychENCODE_eQTLs:CMC_SVA_cis	NA	Yes	Promoter_anchored_loops:Fetal_Cortex:Hippocampus	8.81204321507e-09	rs1057725	3
