region2	reg_region	type	tissue/cell	genes
1:73080001-73120000	1:73088996-73089381	prom	E067	NA
1:73080001-73120000	1:73088996-73089381	prom	E068	NA
1:73080001-73120000	1:73088996-73089381	prom	E069	NA
1:73080001-73120000	1:73088996-73089381	prom	E071	NA
1:73080001-73120000	1:73088996-73089381	prom	E073	NA
1:73080001-73120000	1:73088996-73089381	prom	E074	NA
1:74800001-74840000	1:74823284-74823342	prom	E053	NA
1:74800001-74840000	1:74823284-74823342	prom	E054	NA
1:74800001-74840000	1:74823284-74823342	prom	E067	NA
1:74800001-74840000	1:74823284-74823342	prom	E068	NA
1:74800001-74840000	1:74823284-74823342	prom	E069	NA
1:74800001-74840000	1:74823284-74823342	prom	E070	NA
1:74800001-74840000	1:74823284-74823342	prom	E071	NA
1:74800001-74840000	1:74823284-74823342	prom	E072	NA
1:74800001-74840000	1:74823284-74823342	prom	E074	NA
1:74800001-74840000	1:74823284-74823342	prom	E082	NA
1:74800001-74840000	1:74823430-74823826	prom	E053	NA
1:74800001-74840000	1:74823430-74823826	prom	E054	NA
1:74800001-74840000	1:74823430-74823826	prom	E067	NA
1:74800001-74840000	1:74823430-74823826	prom	E068	NA
1:74800001-74840000	1:74823430-74823826	prom	E069	NA
1:74800001-74840000	1:74823430-74823826	prom	E070	NA
1:74800001-74840000	1:74823430-74823826	prom	E071	NA
1:74800001-74840000	1:74823430-74823826	prom	E072	NA
1:74800001-74840000	1:74823430-74823826	prom	E074	NA
1:74800001-74840000	1:74823430-74823826	prom	E081	NA
1:74800001-74840000	1:74823430-74823826	prom	E082	NA
1:75160001-75200000	1:75197954-75198007	prom	E053	NA
1:75160001-75200000	1:75197954-75198007	prom	E054	NA
1:75160001-75200000	1:75197954-75198007	prom	E067	NA
1:75160001-75200000	1:75197954-75198007	prom	E068	NA
1:75160001-75200000	1:75197954-75198007	prom	E070	NA
1:75160001-75200000	1:75197954-75198007	prom	E071	NA
1:75160001-75200000	1:75197954-75198007	prom	E072	NA
1:75160001-75200000	1:75197954-75198007	prom	E073	NA
1:75160001-75200000	1:75197954-75198007	prom	E074	NA
1:75160001-75200000	1:75197954-75198007	prom	E082	NA
1:75160001-75200000	1:75198061-75199794	prom	E053	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E054	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E067	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E068	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E069	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E070	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E071	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E072	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E073	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E074	ENSG00000116791:ENSG00000162623
1:75160001-75200000	1:75198061-75199794	prom	E082	ENSG00000116791:ENSG00000162623
14:58790000-58800000	14:58798725-58798775	prom	E053	NA
14:58790000-58800000	14:58798725-58798775	prom	E054	NA
14:58790000-58800000	14:58798725-58798775	prom	E067	NA
14:58790000-58800000	14:58798725-58798775	prom	E068	NA
14:58790000-58800000	14:58798725-58798775	prom	E069	NA
14:58790000-58800000	14:58798725-58798775	prom	E070	NA
14:58790000-58800000	14:58798725-58798775	prom	E071	NA
14:58790000-58800000	14:58798725-58798775	prom	E072	NA
14:58790000-58800000	14:58798725-58798775	prom	E073	NA
14:58790000-58800000	14:58798725-58798775	prom	E074	NA
14:58790000-58800000	14:58798725-58798775	prom	E081	NA
14:58790000-58800000	14:58798725-58798775	prom	E082	NA
14:58790000-58800000	14:58798850-58798955	prom	E053	NA
14:58790000-58800000	14:58798850-58798955	prom	E054	NA
14:58790000-58800000	14:58798850-58798955	prom	E067	NA
14:58790000-58800000	14:58798850-58798955	prom	E068	NA
14:58790000-58800000	14:58798850-58798955	prom	E069	NA
14:58790000-58800000	14:58798850-58798955	prom	E070	NA
14:58790000-58800000	14:58798850-58798955	prom	E071	NA
14:58790000-58800000	14:58798850-58798955	prom	E072	NA
14:58790000-58800000	14:58798850-58798955	prom	E073	NA
14:58790000-58800000	14:58798850-58798955	prom	E074	NA
14:58790000-58800000	14:58798850-58798955	prom	E081	NA
14:58790000-58800000	14:58798850-58798955	prom	E082	NA
14:58790000-58800000	14:58799013-58799063	prom	E053	NA
14:58790000-58800000	14:58799013-58799063	prom	E054	NA
14:58790000-58800000	14:58799013-58799063	prom	E067	NA
14:58790000-58800000	14:58799013-58799063	prom	E068	NA
14:58790000-58800000	14:58799013-58799063	prom	E069	NA
14:58790000-58800000	14:58799013-58799063	prom	E070	NA
14:58790000-58800000	14:58799013-58799063	prom	E071	NA
14:58790000-58800000	14:58799013-58799063	prom	E072	NA
14:58790000-58800000	14:58799013-58799063	prom	E073	NA
14:58790000-58800000	14:58799013-58799063	prom	E074	NA
14:58790000-58800000	14:58799013-58799063	prom	E081	NA
14:58790000-58800000	14:58799013-58799063	prom	E082	NA
14:58790000-58800000	14:58799119-58799163	prom	E053	NA
14:58790000-58800000	14:58799119-58799163	prom	E054	NA
14:58790000-58800000	14:58799119-58799163	prom	E067	NA
14:58790000-58800000	14:58799119-58799163	prom	E068	NA
14:58790000-58800000	14:58799119-58799163	prom	E069	NA
14:58790000-58800000	14:58799119-58799163	prom	E070	NA
14:58790000-58800000	14:58799119-58799163	prom	E071	NA
14:58790000-58800000	14:58799119-58799163	prom	E072	NA
14:58790000-58800000	14:58799119-58799163	prom	E073	NA
14:58790000-58800000	14:58799119-58799163	prom	E074	NA
14:58790000-58800000	14:58799119-58799163	prom	E081	NA
14:58790000-58800000	14:58799119-58799163	prom	E082	NA
14:58790000-58800000	14:58799265-58799443	prom	E053	NA
14:58790000-58800000	14:58799265-58799443	prom	E054	NA
14:58790000-58800000	14:58799265-58799443	prom	E067	NA
14:58790000-58800000	14:58799265-58799443	prom	E068	NA
14:58790000-58800000	14:58799265-58799443	prom	E069	NA
14:58790000-58800000	14:58799265-58799443	prom	E070	NA
14:58790000-58800000	14:58799265-58799443	prom	E071	NA
14:58790000-58800000	14:58799265-58799443	prom	E072	NA
14:58790000-58800000	14:58799265-58799443	prom	E073	NA
14:58790000-58800000	14:58799265-58799443	prom	E074	NA
14:58790000-58800000	14:58799265-58799443	prom	E081	NA
14:58790000-58800000	14:58799265-58799443	prom	E082	NA
14:58790000-58800000	14:58799588-58799748	prom	E053	NA
14:58790000-58800000	14:58799588-58799748	prom	E054	NA
14:58790000-58800000	14:58799588-58799748	prom	E067	NA
14:58790000-58800000	14:58799588-58799748	prom	E068	NA
14:58790000-58800000	14:58799588-58799748	prom	E069	NA
14:58790000-58800000	14:58799588-58799748	prom	E070	NA
14:58790000-58800000	14:58799588-58799748	prom	E071	NA
14:58790000-58800000	14:58799588-58799748	prom	E072	NA
14:58790000-58800000	14:58799588-58799748	prom	E073	NA
14:58790000-58800000	14:58799588-58799748	prom	E081	NA
14:58790000-58800000	14:58799588-58799748	prom	E082	NA
14:58860000-58870000	14:58861962-58863524	prom	E053	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E054	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E067	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E068	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E069	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E070	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E071	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E072	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E073	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E074	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E082	ENSG00000196860
14:59080001-59120000	14:59103579-59107219	prom	E053	NA
