#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:25970163	(2015) The Shepherds Tale: A Genome-Wide Study across 9 Dog Breeds Implicates Two Loci in the Regulation of Fructosamine Serum Concentration in Belgian Shepherds.	17	33	2.23	3.22e-25	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000289805,9606.ENSP00000320295,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000374037,9606.ENSP00000376807,9606.ENSP00000380998,9606.ENSP00000393854,9606.ENSP00000396732,9606.ENSP00000415836,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	TCF25,DEF8,GAS8,SPATA2L,TUBB3,CDK10,SPIRE2,FANCA,VPS9D1,DPEP1,CHMP1A,CENPBD1,PRDM7,ZNF276,MC1R,DBNDD1,SPATA33
PMID:29739929	(2018) Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.	9	37	1.91	1.79e-08	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000380998,9606.ENSP00000396732,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,CHMP1A,PRDM7,MC1R,DBNDD1,SPATA33
PMID:32829096	(2020) Screening non-MAPT genes of the Chr17q21 H1 haplotype in Parkinsons disease.	6	9	2.34	3.10e-06	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	KANSL1,LRRC37A,SPPL2C,MAPT,CRHR1,ARL17B
PMID:20465587	(2010) Detection of recombinant haplotypes in wild mice (Mus musculus) provides new insights into the origin of Japanese mice.	5	6	2.44	7.85e-05	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000457625	TCF25,DEF8,SPIRE2,FANCA,DBNDD1
PMID:24649381	(2014) A case of 17q21.31 microduplication and 7q31.33 microdeletion, associated with developmental delay, microcephaly, and mild dysmorphic features.	5	8	2.32	0.00017	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
PMID:21992658	(2011) Cerebellum-specific and age-dependent expression of an endogenous retrovirus with intact coding potential.	5	8	2.32	0.00017	9606.ENSP00000263346,9606.ENSP00000268699,9606.ENSP00000367494,9606.ENSP00000451605,9606.ENSP00000457625	TCF25,GAS8,SPIRE2,MC1R,DBNDD1
PMID:23544013	(2013) Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	6	26	1.88	0.00023	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	WNT3,KANSL1,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:29588463	(2018) Combining targeted panel-based resequencing and copy-number variation analysis for the diagnosis of inherited syndromic retinopathies and associated ciliopathies.	6	27	1.87	0.00025	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	KANSL1,SPPL2C,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:24603599	(2014) An epigenetic signature in peripheral blood associated with the haplotype on 17q21.31, a risk factor for neurodegenerative tauopathy.	5	10	2.22	0.00025	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000403323	WNT3,KANSL1,MAPT,CRHR1,ARHGAP27
PMID:27115769	(2016) Gene expression, methylation and neuropathology correlations at progressive supranuclear palsy risk loci.	5	13	2.11	0.00057	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	KANSL1,LRRC37A,MAPT,CRHR1,ARL17B
PMID:30323283	(2018) Gene expression imputation identifies candidate genes and susceptibility loci associated with cutaneous squamous cell carcinoma.	6	35	1.75	0.00071	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,MC1R,SPATA33
PMID:28588437	(2017) Molecular Characterization of Koolen De Vries Syndrome in Two Girls with Idiopathic Intellectual Disability from Central Brazil.	4	4	2.52	0.0014	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,SPPL2C,MAPT,CRHR1
PMID:15459824	(2004) Linkage disequilibrium and haplotype tagging polymorphisms in the Tau H1 haplotype.	4	4	2.52	0.0014	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,MAPT,CRHR1,STH
PMID:28738163	(2018) A local duplication of the Melanocortin receptor 1 locus in Astyanax.	5	18	1.96	0.0016	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000320295,9606.ENSP00000451605	TCF25,DEF8,GAS8,TUBB3,MC1R
PMID:21685912	(2011) Identification of common variants influencing risk of the tauopathy progressive supranuclear palsy.	5	19	1.94	0.0019	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000404247	KANSL1,MAPT,CRHR1,PLEKHM1,ARL17B
PMID:27899424	(2017) Genetic architecture of sporadic frontotemporal dementia and overlap with Alzheimers and Parkinsons diseases.	5	21	1.9	0.0027	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333	WNT3,KANSL1,LRRC37A,MAPT,CRHR1
PMID:27358065	(2016) Epigenetic regulation in Parkinsons disease.	6	53	1.57	0.0044	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323,9606.ENSP00000404247	KANSL1,MAPT,CRHR1,PLEKHM1,ARHGAP27,ARL17B
PMID:12735795	(2003) The gene structure and expression of human ABHD1: overlapping polyadenylation signal sequence with Sec12.	5	26	1.8	0.0061	9606.ENSP00000260599,9606.ENSP00000260643,9606.ENSP00000264705,9606.ENSP00000326491,9606.ENSP00000385452	KHK,PREB,CAD,ABHD1,CGREF1
PMID:22950410	(2012) Common inversion polymorphism at 17q21.31 affects expression of multiple genes in tissue-specific manner.	4	8	2.22	0.0063	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913	LRRC37A,MAPT,CRHR1,PLEKHM1
PMID:19317893	(2009) Copy number variation in African Americans.	4	8	2.22	0.0063	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	LRRC37A,MAPT,CRHR1,ARL17B
PMID:19165922	(2008) Evolutionary toggling of the MAPT 17q21.31 inversion region.	4	8	2.22	0.0063	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,LRRC37A,MAPT,CRHR1
PMID:25998059	(2015) Human inversions and their functional consequences.	5	28	1.77	0.0070	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913	KANSL1,LRRC37A,MAPT,CRHR1,PLEKHM1
PMID:35092859	(2022) Genome-wide detection of selective signals for fecundity traits in goats (Capra hircus).	4	9	2.17	0.0075	9606.ENSP00000263346,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000415836	TCF25,SPIRE2,FANCA,ZNF276
PMID:26632684	(2015) Genome-wide Meta-analysis on the Sense of Smell Among US Older Adults.	4	9	2.17	0.0075	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000443168	KANSL1,LRRC37A,MAPT,STH
PMID:23535648	(2013) Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31.	5	31	1.73	0.0096	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	KANSL1,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:21292315	(2011) Imputation of sequence variants for identification of genetic risks for Parkinsons disease: a meta-analysis of genome-wide association studies.	5	31	1.73	0.0096	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000389913,9606.ENSP00000404247	KANSL1,LRRC37A,MAPT,PLEKHM1,ARL17B
PMID:15690355	(2005) Investigations of the genomic region that contains the clf1 mutation, a causal gene in multifactorial cleft lip and palate in mice.	4	10	2.12	0.0096	9606.ENSP00000225512,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000381333	WNT3,MAPT,NSF,CRHR1
PMID:28586827	(2017) Genome-wide Pleiotropy Between Parkinson Disease and Autoimmune Diseases.	4	12	2.04	0.0156	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333	WNT3,KANSL1,MAPT,CRHR1
PMID:27498889	(2016) A Highly Polymorphic Copy Number Variant in the NSF Gene is Associated with Cocaine Dependence.	4	12	2.04	0.0156	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000404247	LRRC37A,MAPT,NSF,ARL17B
PMID:15329828	(2004) A digenic cause of cleft lip in A-strain mice and definition of candidate genes for the two loci.	4	12	2.04	0.0156	9606.ENSP00000225512,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000381333	WNT3,MAPT,NSF,CRHR1
PMID:32063841	(2020) Differences Between Human and Murine Tau at the N-terminal End.	4	15	1.95	0.0297	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,MAPT,CRHR1,STH
PMID:26404086	(2015) A genome-wide association study for colorectal cancer identifies a risk locus in 14q23.1.	4	15	1.95	0.0297	9606.ENSP00000267484,9606.ENSP00000337439,9606.ENSP00000378557,9606.ENSP00000450749	RTN1,DACT1,DAAM1,JKAMP
PMID:27818178	(2016) Molecular Genetic Contributions to Social Deprivation and Household Income in UK Biobank.	4	16	1.92	0.0348	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913	KANSL1,MAPT,CRHR1,PLEKHM1
PMID:27030133	(2016) An evolutionary roadmap to the microtubule-associated protein MAP Tau.	5	45	1.57	0.0387	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
PMID:31630191	(2020) Functional annotation of melanoma risk loci identifies novel susceptibility genes.	4	18	1.87	0.0489	9606.ENSP00000268676,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,MC1R,DBNDD1,SPATA33
PMID:27956742	(2017) 17q21.31 duplication causes prominent tau-related dementia with increased MAPT expression.	3	3	2.52	0.0489	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,MAPT,CRHR1
PMID:27852077	(2016) Koolen-de Vries Syndrome: Clinical Report of an Adult and Literature Review.	3	3	2.52	0.0489	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,MAPT,CRHR1
PMID:19447831	(2009) Phenotypic expansion and further characterisation of the 17q21.31 microdeletion syndrome.	3	3	2.52	0.0489	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,MAPT,CRHR1
PMID:18509094	(2008) Haplotypes and gene expression implicate the MAPT region for Parkinson disease: the GenePD Study.	3	3	2.52	0.0489	9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000443168	KANSL1,MAPT,STH
PMID:15115761	(2004) The structure of the tau haplotype in controls and in progressive supranuclear palsy.	3	3	2.52	0.0489	9606.ENSP00000225512,9606.ENSP00000340820,9606.ENSP00000381333	WNT3,MAPT,CRHR1
