# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:nikolsky_breast_cancer_16q24_amplicon (set)
# _SET1_  NGENES = 53
# _SET1_  P-VALUE = 1.78828e-07
_SET1_   GENE              CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000131149    16  85645015  85709810    181      36  35986      0.31302      0.30335    2.8311e-15      0.31302
_SET1_   ENSG00000131153    16  85709804  85723679     44       6  35986     -0.33772       0.5485    2.8311e-15     -0.33772
_SET1_   ENSG00000154102    16  85723690  85784735    233      20  35986    -0.020992       0.3994    2.8172e-15    -0.020992
_SET1_   ENSG00000131148    16  85805364  85833214     92      10  35986       0.4011      0.29256    2.8311e-15       0.4011
_SET1_   ENSG00000131143    16  85832239  85840650     18       5  35986      0.67026      0.21637    2.7756e-15      0.67026
_SET1_   ENSG00000140941    16  87417601  87438385     78      16  35986       0.5988      0.21842    2.7756e-15       0.5988
_SET1_   ENSG00000140948    16  87439852  87525651    328      13  35986       1.1976     0.086948    2.8866e-15       1.1976
_SET1_   ENSG00000154118    16  87635441  87731762    524      50  35986      -1.3586      0.86821    2.8866e-15      -1.3586
_SET1_   ENSG00000104731    16  87730091  87799598    372      26  35986     0.081759      0.38483    2.8172e-15     0.081759
_SET1_   ENSG00000103257    16  87863629  87903094    201      28  35986       1.3455     0.056845    2.8866e-15       1.3455
_SET1_   ENSG00000174990    16  87921625  87970135    258      39  35986      0.63129      0.20664    2.7756e-15      0.63129
_SET1_   ENSG00000172530    16  87982850  88110924    660      21  35986    -0.023822      0.37366    2.8172e-15    -0.023822
_SET1_   ENSG00000179588    16  88519725  88603424    372      37  35986     -0.18701       0.4919    2.8311e-15     -0.18701
_SET1_   ENSG00000158545    16  88636789  88698374    235      32  35986       2.1716    0.0084453    2.6645e-15       2.1716
_SET1_   ENSG00000124391    16  88704999  88706881      4       2  35986      0.09733      0.40993    2.8172e-15      0.09733
_SET1_   ENSG00000051523    16  88709691  88717560     33       9  35986     0.018154      0.39265    2.8172e-15     0.018154
_SET1_   ENSG00000167508    16  88718343  88729569     40      10  35986     -0.15048      0.47832    2.8311e-15     -0.15048
_SET1_   ENSG00000185669    16  88744090  88752901     18       6  35986     0.041652      0.41303    2.8172e-15     0.041652
_SET1_   ENSG00000158717    16  88762903  88772829     55      15  35986      0.24293      0.31735    2.8311e-15      0.24293
_SET1_   ENSG00000174177    16  88772871  88781794     60      11  35986       1.3843     0.056159    2.8866e-15       1.3843
_SET1_   ENSG00000103335    16  88781751  88851619    415      46  35986       1.4244     0.048616    2.8866e-15       1.4244
_SET1_   ENSG00000167513    16  88869621  88875666     25       4  35986       1.0899      0.11572    2.8866e-15       1.0899
_SET1_   ENSG00000198931    16  88875747  88878352      8       4  35986      0.63903      0.22168    2.7756e-15      0.63903
_SET1_   ENSG00000141012    16  88880142  88923378    294      20  35986      0.56803      0.22038    2.7756e-15      0.56803
_SET1_   ENSG00000167515    16  88922628  88929094     27       4  35986      0.15772      0.40596    2.8311e-15      0.15772
_SET1_   ENSG00000205022    16  88928034  88933068     23       7  35986      0.90491      0.14549    2.7756e-15      0.90491
_SET1_   ENSG00000129993    16  88941266  89043612    477      38  35986    -0.034066      0.43423    2.8172e-15    -0.034066
_SET1_   ENSG00000176715    16  89154783  89222254    353      20  35986    -0.030468      0.42088    2.8172e-15    -0.030468
_SET1_   ENSG00000129910    16  89238175  89261900     91      12  35986     -0.16193      0.48791    2.8311e-15     -0.16193
_SET1_   ENSG00000170100    16  89284118  89295363     59       5  35986     0.075719      0.43966    2.8172e-15     0.075719
_SET1_   ENSG00000167522    16  89334038  89556969    464      28  35986       2.3819    0.0037606    2.6645e-15       2.3819
_SET1_   ENSG00000197912    16  89557325  89624176    225      11  35986       1.0491     0.090279    2.8866e-15       1.0491
_SET1_   ENSG00000167526    16  89627065  89630950     17       2  35986       1.4697     0.060783    2.8866e-15       1.4697
_SET1_   ENSG00000178773    16  89642176  89663654    113      22  35986        1.756     0.024914    2.8866e-15        1.756
_SET1_   ENSG00000015413    16  89679716  89704839     86      14  35986        1.488     0.041362    2.8866e-15        1.488
_SET1_   ENSG00000131165    16  89710839  89724253     71      13  35986       1.7842      0.02136    2.8866e-15       1.7842
_SET1_   ENSG00000167523    16  89724210  89737680     54      11  35986       1.5758     0.036079    2.8866e-15       1.5758
_SET1_   ENSG00000185324    16  89747145  89762772     67      11  35986       1.5939     0.036627    2.8866e-15       1.5939
_SET1_   ENSG00000158792    16  89762751  89768113     15       4  35986        3.947    1.781e-05    2.6645e-15        3.947
_SET1_   ENSG00000075399    16  89773542  89787394     45      14  35986       2.4114    0.0044448    2.6645e-15       2.4114
_SET1_   ENSG00000158805    16  89786808  89807311    113      15  35986       5.3369   1.2441e-08    2.6645e-15       5.3369
_SET1_   ENSG00000187741    16  89803957  89883065    467      17  35986       6.0929   9.8636e-11    2.6645e-15       6.0929
_SET1_   ENSG00000204991    16  89884587  89937727    201      18  35986       6.2929   3.2568e-11    2.6645e-15       6.2929
_SET1_   ENSG00000141002    16  89940000  89977792    163      10  35986       6.7711   2.8146e-12    2.6645e-15       6.7711
_SET1_   ENSG00000258839    16  89978527  89987385     40       7  35986       6.8913   2.4109e-13    2.6645e-15       6.8913
_SET1_   ENSG00000198211    16  89985573  90002500     69      14  35986       6.9388   8.9374e-15    2.6645e-15       6.9388
_SET1_   ENSG00000258947    16  89987800  90005169     76      13  35986       6.8938   8.3786e-13    2.6645e-15       6.8938
