#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
STRING clusters	CL:10948	Mixed, incl. kinesins, and crmps in sema3a signaling	6	75	1.29	0.0044	9606.ENSP00000233121,9606.ENSP00000260599,9606.ENSP00000288699,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	MAPRE3,KHK,DPYSL5,TUBA1A,TUBA1C,TUBA1B
STRING clusters	CL:10949	Mixed, incl. post-chaperonin tubulin folding pathway, and microtubule plus-end binding	5	50	1.39	0.0052	9606.ENSP00000233121,9606.ENSP00000260599,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	MAPRE3,KHK,TUBA1A,TUBA1C,TUBA1B
STRING clusters	CL:32721	Mixed, incl. pdcd5-like, and hermansky-pudlak syndrome 7	3	6	2.09	0.0061	9606.ENSP00000374037,9606.ENSP00000393854,9606.ENSP00000457625	VPS9D1,CENPBD1,DBNDD1
STRING clusters	CL:5389	Fanconi anaemia nuclear complex	3	6	2.09	0.0061	9606.ENSP00000229769,9606.ENSP00000267430,9606.ENSP00000373952	FANCE,FANCM,FANCA
STRING clusters	CL:10954	Tubulin/FtsZ, C-terminal domain superfamily, and Vasohibin	3	18	1.61	0.0414	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
KEGG	hsa05010	Alzheimer disease	8	355	0.74	0.0385	9606.ENSP00000225512,9606.ENSP00000264634,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000323901,9606.ENSP00000336799,9606.ENSP00000340820,9606.ENSP00000363939	WNT3,WNT5A,TUBA1A,TUBA1C,FZD2,TUBA1B,MAPT,PPP3R2
Reactome	HSA-9619483	Activation of AMPK downstream of NMDARs	4	27	1.56	0.0160	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000340820	TUBA1A,TUBA1C,TUBA1B,MAPT
Reactome	HSA-190861	Gap junction assembly	4	36	1.43	0.0226	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000411528	TUBA1A,TUBA1C,TUBA1B,GJC1
Reactome	HSA-190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	3	18	1.61	0.0264	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
Reactome	HSA-199977	ER to Golgi Anterograde Transport	6	152	0.98	0.0264	9606.ENSP00000260643,9606.ENSP00000263354,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000381293	PREB,NAPA,TUBA1A,TUBA1C,TUBA1B,NSF
Reactome	HSA-373080	Class B/2 (Secretin family receptors)	5	94	1.11	0.0264	9606.ENSP00000225512,9606.ENSP00000264634,9606.ENSP00000266991,9606.ENSP00000296099,9606.ENSP00000323901	WNT3,WNT5A,DHH,UCN,FZD2
Reactome	HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	3	24	1.49	0.0264	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
Reactome	HSA-389977	Post-chaperonin tubulin folding pathway	3	21	1.54	0.0264	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
Reactome	HSA-442755	Activation of NMDA receptors and postsynaptic events	5	92	1.12	0.0264	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000340820,9606.ENSP00000355155	TUBA1A,TUBA1C,TUBA1B,MAPT,GRIN3A
Reactome	HSA-6807878	COPI-mediated anterograde transport	5	100	1.09	0.0264	9606.ENSP00000263354,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000381293	NAPA,TUBA1A,TUBA1C,TUBA1B,NSF
Reactome	HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	5	97	1.1	0.0264	9606.ENSP00000263354,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000381293	NAPA,TUBA1A,TUBA1C,TUBA1B,NSF
Reactome	HSA-8955332	Carboxyterminal post-translational modifications of tubulin	4	43	1.36	0.0264	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000353249	TUBA1A,TUBA1C,TUBA1B,AGBL5
Reactome	HSA-9609736	Assembly and cell surface presentation of NMDA receptors	4	42	1.37	0.0264	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000355155	TUBA1A,TUBA1C,TUBA1B,GRIN3A
Reactome	HSA-112314	Neurotransmitter receptors and postsynaptic signal transmission	6	203	0.86	0.0269	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000340820,9606.ENSP00000355155,9606.ENSP00000381293	TUBA1A,TUBA1C,TUBA1B,MAPT,GRIN3A,NSF
Reactome	HSA-112316	Neuronal System	8	406	0.68	0.0320	9606.ENSP00000257981,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799,9606.ENSP00000340820,9606.ENSP00000355155,9606.ENSP00000381293,9606.ENSP00000411528	KCNH3,TUBA1A,TUBA1C,TUBA1B,MAPT,GRIN3A,NSF,GJC1
Reactome	HSA-5626467	RHO GTPases activate IQGAPs	3	30	1.39	0.0353	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
Reactome	HSA-9668328	Sealing of the nuclear envelope (NE) by ESCRT-III	3	30	1.39	0.0353	9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000336799	TUBA1A,TUBA1C,TUBA1B
WikiPathways	WP2059	Alzheimers disease and miRNA effects	8	258	0.88	0.0079	9606.ENSP00000225512,9606.ENSP00000264634,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000323901,9606.ENSP00000336799,9606.ENSP00000340820,9606.ENSP00000363939	WNT3,WNT5A,TUBA1A,TUBA1C,FZD2,TUBA1B,MAPT,PPP3R2
WikiPathways	WP5124	Alzheimers disease	8	255	0.88	0.0079	9606.ENSP00000225512,9606.ENSP00000264634,9606.ENSP00000301071,9606.ENSP00000301072,9606.ENSP00000323901,9606.ENSP00000336799,9606.ENSP00000340820,9606.ENSP00000363939	WNT3,WNT5A,TUBA1A,TUBA1C,FZD2,TUBA1B,MAPT,PPP3R2
