# ALPHA = 0.05
# NUMBER_OF_TESTS = 15481

# _SET1_  VARIABLE = Curated_gene_sets:reactome_crmps_in_sema3a_signaling (set)
# _SET1_  NGENES = 15
# _SET1_  P-VALUE = 2.4932e-07
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000076356     1  208145587  208467665    934      87  35986      0.40201      0.29081    1.3323e-15      0.40201
_SET1_   ENSG00000157851     2   27020615   27223219    437      16  35986       6.3519   2.8445e-11    8.8818e-16       6.3519
_SET1_   ENSG00000082701     3  119490170  119863264    735      44  35986      0.25333      0.32755    1.3323e-15      0.25333
_SET1_   ENSG00000114554     3  126657437  126806235    512      34  35986      0.76301      0.17595    1.3323e-15      0.76301
_SET1_   ENSG00000072832     4    5699811    5944785   1271     116  35986      0.96567      0.13881    1.3323e-15      0.96567
_SET1_   ENSG00000113657     5  146720374  146939619    316      35  35986       2.6588    0.0020968    1.3323e-15       2.6588
_SET1_   ENSG00000010810     6  111931535  112244655    955      45  35986      0.45149      0.24851    1.3323e-15      0.45149
_SET1_   ENSG00000075213     7   83535093   84172040   2096      74  35986       1.5425     0.030126    1.3323e-15       1.5425
_SET1_   ENSG00000221866     7  131758091  132383447   1831     142  35986       2.0332     0.015645    1.3323e-15       2.0332
_SET1_   ENSG00000164885     7  150700899  150805617    252      32  35986    0.0053237      0.41459    1.3132e-15    0.0053237
_SET1_   ENSG00000092964     8   26321791   26565694   1093      43  35986       3.4399   0.00011395    1.3323e-15       3.4399
_SET1_   ENSG00000099250    10   33416420   33675190   1008      70  35986       1.7465     0.026629    1.3323e-15       1.7465
_SET1_   ENSG00000151640    10  133950404  134069280    544      40  35986       1.2575     0.071979    1.3323e-15       1.2575
_SET1_   ENSG00000182511    15   91376925   91489006    309      40  35986      0.11214      0.37808    1.3184e-15      0.11214
_SET1_   ENSG00000176749    17   30763637   30868274    162      29  35986     0.053953      0.38881    1.3115e-15     0.053953
