#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:25970163	(2015) The Shepherds Tale: A Genome-Wide Study across 9 Dog Breeds Implicates Two Loci in the Regulation of Fructosamine Serum Concentration in Belgian Shepherds.	15	33	2.14	3.73e-20	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000268720,9606.ENSP00000320295,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000374037,9606.ENSP00000380998,9606.ENSP00000393854,9606.ENSP00000415836,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	TCF25,DEF8,GAS8,CPNE7,TUBB3,CDK10,SPIRE2,FANCA,VPS9D1,CHMP1A,CENPBD1,ZNF276,MC1R,DBNDD1,SPATA33
PMID:32829096	(2020) Screening non-MAPT genes of the Chr17q21 H1 haplotype in Parkinsons disease.	9	9	2.48	2.14e-12	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000332488,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551,9606.ENSP00000464535	KANSL1,LRRC37A,SPPL2C,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A2,LRRC37A3
PMID:27115769	(2016) Gene expression, methylation and neuropathology correlations at progressive supranuclear palsy risk loci.	7	13	2.21	2.62e-07	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000464535	KANSL1,LRRC37A,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A3
PMID:29739929	(2018) Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.	8	37	1.81	1.52e-06	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000380998,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,CHMP1A,MC1R,DBNDD1,SPATA33
PMID:27899424	(2017) Genetic architecture of sporadic frontotemporal dementia and overlap with Alzheimers and Parkinsons diseases.	7	21	2.0	2.05e-06	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000459551,9606.ENSP00000464535	WNT3,KANSL1,LRRC37A,MAPT,CRHR1,LRRC37A2,LRRC37A3
PMID:22950410	(2012) Common inversion polymorphism at 17q21.31 affects expression of multiple genes in tissue-specific manner.	6	8	2.35	2.05e-06	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000459551,9606.ENSP00000464535	LRRC37A,MAPT,CRHR1,PLEKHM1,LRRC37A2,LRRC37A3
PMID:27498889	(2016) A Highly Polymorphic Copy Number Variant in the NSF Gene is Associated with Cocaine Dependence.	6	12	2.18	8.98e-06	9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381293,9606.ENSP00000404247,9606.ENSP00000459551,9606.ENSP00000464535	LRRC37A,MAPT,NSF,ARL17B,LRRC37A2,LRRC37A3
PMID:21292315	(2011) Imputation of sequence variants for identification of genetic risks for Parkinsons disease: a meta-analysis of genome-wide association studies.	7	31	1.83	1.53e-05	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000389913,9606.ENSP00000404247,9606.ENSP00000464535	KANSL1,LRRC37A,ARL17A,MAPT,PLEKHM1,ARL17B,LRRC37A3
PMID:25139666	(2014) Family based genome-wide copy number scan identifies complex rearrangements at 17q21.31 in dyslexics.	5	5	2.48	3.16e-05	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000337478,9606.ENSP00000404247,9606.ENSP00000464535	KANSL1,LRRC37A,ARL17A,ARL17B,LRRC37A3
PMID:20465587	(2010) Detection of recombinant haplotypes in wild mice (Mus musculus) provides new insights into the origin of Japanese mice.	5	6	2.4	5.20e-05	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000457625	TCF25,DEF8,SPIRE2,FANCA,DBNDD1
PMID:21685912	(2011) Identification of common variants influencing risk of the tauopathy progressive supranuclear palsy.	6	19	1.98	5.35e-05	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000404247	KANSL1,ARL17A,MAPT,CRHR1,PLEKHM1,ARL17B
PMID:24649381	(2014) A case of 17q21.31 microduplication and 7q31.33 microdeletion, associated with developmental delay, microcephaly, and mild dysmorphic features.	5	8	2.27	0.00012	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
PMID:21992658	(2011) Cerebellum-specific and age-dependent expression of an endogenous retrovirus with intact coding potential.	5	8	2.27	0.00012	9606.ENSP00000263346,9606.ENSP00000268699,9606.ENSP00000367494,9606.ENSP00000451605,9606.ENSP00000457625	TCF25,GAS8,SPIRE2,MC1R,DBNDD1
PMID:26632684	(2015) Genome-wide Meta-analysis on the Sense of Smell Among US Older Adults.	5	9	2.22	0.00016	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000443168,9606.ENSP00000464535	KANSL1,LRRC37A,MAPT,STH,LRRC37A3
PMID:23544013	(2013) Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	6	26	1.84	0.00020	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	WNT3,KANSL1,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:29588463	(2018) Combining targeted panel-based resequencing and copy-number variation analysis for the diagnosis of inherited syndromic retinopathies and associated ciliopathies.	6	27	1.83	0.00021	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	KANSL1,SPPL2C,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:27358065	(2016) Epigenetic regulation in Parkinsons disease.	7	53	1.6	0.00021	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323,9606.ENSP00000404247	KANSL1,ARL17A,MAPT,CRHR1,PLEKHM1,ARHGAP27,ARL17B
PMID:24603599	(2014) An epigenetic signature in peripheral blood associated with the haplotype on 17q21.31, a risk factor for neurodegenerative tauopathy.	5	10	2.18	0.00021	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000403323	WNT3,KANSL1,MAPT,CRHR1,ARHGAP27
PMID:25998059	(2015) Human inversions and their functional consequences.	6	28	1.81	0.00023	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000464535	KANSL1,LRRC37A,MAPT,CRHR1,PLEKHM1,LRRC37A3
PMID:30136084	(2018) Divergent brain gene expression patterns associate with distinct cell-specific tau neuropathology traits in progressive supranuclear palsy.	6	30	1.78	0.00031	9606.ENSP00000262419,9606.ENSP00000337478,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247,9606.ENSP00000459551	KANSL1,ARL17A,MAPT,CRHR1,ARL17B,LRRC37A2
PMID:23535648	(2013) Identification and molecular characterization of a new ovarian cancer susceptibility locus at 17q21.31.	6	31	1.77	0.00036	9606.ENSP00000262419,9606.ENSP00000329219,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	KANSL1,FMNL1,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:28271184	(2017) Shared genetic risk between corticobasal degeneration, progressive supranuclear palsy, and frontotemporal dementia.	5	13	2.06	0.00043	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000340820,9606.ENSP00000402020,9606.ENSP00000464535	KANSL1,LRRC37A,MAPT,C17orf58,LRRC37A3
PMID:30323283	(2018) Gene expression imputation identifies candidate genes and susceptibility loci associated with cutaneous squamous cell carcinoma.	6	35	1.71	0.00062	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000451605,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,MC1R,SPATA33
PMID:26404086	(2015) A genome-wide association study for colorectal cancer identifies a risk locus in 14q23.1.	5	15	2.0	0.00071	9606.ENSP00000254286,9606.ENSP00000267484,9606.ENSP00000337439,9606.ENSP00000378557,9606.ENSP00000378588	ACTR10,RTN1,DACT1,DAAM1,TIMM9
PMID:28588437	(2017) Molecular Characterization of Koolen De Vries Syndrome in Two Girls with Idiopathic Intellectual Disability from Central Brazil.	4	4	2.48	0.0010	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333	KANSL1,SPPL2C,MAPT,CRHR1
