GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000186092	1	19091	120008	30	6	35986	0.64272	0.2602	OR4F5
ENSG00000235249	1	317640	418634	1	1	35986	0.69483	0.24358	OR4F29
ENSG00000185097	1	571059	672053	9	4	35986	0.1088	0.45668	OR4F16
ENSG00000187634	1	810260	929955	391	43	35986	1.3275	0.092165	SAMD11
ENSG00000188976	1	829584	944689	426	46	35986	1.7743	0.038007	NOC2L
ENSG00000187961	1	845967	951095	381	39	35986	1.918	0.027554	KLHL17
ENSG00000187583	1	851877	961245	394	42	35986	2.0878	0.018408	PLEKHN1
ENSG00000187642	1	860579	967497	385	41	35986	2.0231	0.02153	C1orf170
ENSG00000188290	1	884342	985552	357	31	35986	1.915	0.027749	HES4
ENSG00000187608	1	898803	999920	344	27	35986	2.083	0.018625	ISG15
ENSG00000188157	1	905503	1041496	449	35	35986	2.4384	0.0073764	AGRN
ENSG00000237330	1	956346	1059687	354	28	35986	1.8536	0.031899	RNF223
ENSG00000131591	1	967198	1101741	498	38	35986	1.3593	0.087032	C1orf159
ENSG00000162571	1	1059264	1183315	589	44	35986	-0.49806	0.69078	TTLL10
ENSG00000186891	1	1088888	1192071	498	38	35986	-1.0604	0.85551	TNFRSF18
ENSG00000186827	1	1096706	1199518	476	34	35986	-0.9771	0.83574	TNFRSF4
ENSG00000078808	1	1102288	1217411	520	29	35986	-0.70655	0.76008	SDF4
ENSG00000176022	1	1117629	1220421	453	27	35986	-0.67799	0.75111	B3GALT6
ENSG00000184163	1	1127826	1232102	424	26	35986	-0.42948	0.66621	FAM132A
ENSG00000160087	1	1139289	1259265	438	29	35986	-0.050388	0.52009	UBE2J2
ENSG00000162572	1	1165816	1277409	358	28	35986	0.42143	0.33672	SCNN1D
ENSG00000131584	1	1177756	1294989	359	26	35986	0.49612	0.30991	ACAP3
ENSG00000169972	1	1193947	1297057	304	21	35986	0.65566	0.25602	PUSL1
