ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	17	18.97	6.9090027921e-08	rs7575465	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	50	15.81	2.20005098583e-08	rs7575465	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	12	15.81	1.21493678762e-06	rs7575465	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	22	16.07	6.09990530309e-12	rs7575465	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	14	16.07	6.09990530309e-12	rs7575465	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	20	18.13	6.09990530309e-12	rs7575465	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	22	19.29	1.51773715817e-09	rs7575465	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	30	19.29	1.51773715817e-09	rs7575465	2
ENSG00000143994	ABHD1	2	27346682	27353680	1	protein_coding	84696	ABHD1	1.06027288753589e-21	-0.251069432	9	8.668	2.43765096997e-09	rs7575465	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	2	6.143	0.000379544275347	rs7575465	2
ENSG00000044524	EPHA3	3	89156674	89531284	1	protein_coding	2042	EPHA3	0.0156859621990761	-0.110283635	15	22.3	7.44512729245e-10	rs6771054	3
ENSG00000107902	LHPP	10	126150403	126306457	1	protein_coding	64077	LHPP	1.59687423011584e-06	-0.162296447	1	0.23	0.00219073076732	rs12218394	5
ENSG00000258539	RP11-12J10.3	10	126305649	126480296	-1	protein_coding	NA	NA	NA	NA	39	21.1	2.46593803155e-08	rs12218394	5
ENSG00000189319	FAM53B	10	126307861	126432838	-1	protein_coding	9679	FAM53B	0.40047960162071	-1.160769929	16	21.1	2.69883191351e-08	rs12218394	5
ENSG00000203791	METTL10	10	126436718	126480439	-1	protein_coding	399818	METTL10	0.371286245054088	-0.118741812	32	21.1	2.46593803155e-08	rs12218394	5
ENSG00000165660	FAM175B	10	126490354	126525239	1	protein_coding	23172	FAM175B	0.0868521973405688	-0.360084231	18	8.336	2.46593803155e-08	rs12218394	5
ENSG00000165617	DACT1	14	59100685	59115039	1	protein_coding	51339	DACT1	0.81659755259209	NA	2	6.602	5.02068497887e-10	rs160459;rs311814	6
ENSG00000100592	DAAM1	14	59655364	59838123	1	protein_coding	23002	DAAM1	0.999990849460485	1.582359631	16	16.92	2.00711339909e-11	rs893516;rs74826997	7
ENSG00000015413	DPEP1	16	89679716	89704839	1	protein_coding	1800	DPEP1	0.000136492958599163	-0.167373086	3	1.602	2.17091358223e-08	rs34019730	8
ENSG00000131165	CHMP1A	16	89710839	89724253	-1	protein_coding	5119	CHMP1A	0.252036809419505	0.228699745	2	8.503	8.0177153805e-09	rs34019730	8
ENSG00000167523	SPATA33	16	89724210	89737680	1	protein_coding	124045	SPATA33	2.72892869796854e-06	0.42595794	3	8.503	7.11527903263e-09	rs34019730	8
ENSG00000185324	CDK10	16	89747145	89762772	1	protein_coding	8558	CDK10	2.3367075460824e-10	-0.209287955	3	7.147	3.18985879377e-11	rs34019730	8
ENSG00000260259	RP11-368I7.4	16	89749028	89752977	-1	protein_coding	105371416	LINC02166	NA	NA	3	7.147	3.18985879377e-11	rs34019730	8
ENSG00000158792	SPATA2L	16	89762751	89768113	-1	protein_coding	124044	SPATA2L	0.0469218644980502	1.088727464	2	7.147	3.18985879377e-11	rs34019730	8
ENSG00000075399	VPS9D1	16	89773542	89787394	-1	protein_coding	9605	VPS9D1	0.00176648362917067	NA	8	8.611	6.64099775172e-10	rs34019730;rs72813432	8
ENSG00000158805	ZNF276	16	89786808	89807311	1	protein_coding	92822	ZNF276	0.000257274838666869	NA	13	8.611	3.71434610499e-12	rs34019730;rs72813432	8
ENSG00000187741	FANCA	16	89803957	89883065	-1	protein_coding	2175	FANCA	2.08124711168363e-34	NA	34	14.61	3.71434610499e-12	rs72813432;rs34019730;rs1558151;rs111398992	8
ENSG00000204991	SPIRE2	16	89884587	89937727	1	protein_coding	84501	SPIRE2	1.1281776245309e-10	-0.545172322	18	14.61	2.69548137066e-13	rs72813432;rs111398992;rs34019730;rs9939914;rs1558151	8
