ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	eqtlMapSNPs	eqtlMapminP	eqtlMapminQ	eqtlMapts	eqtlDirection	ciMap	ciMapts	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000162368	CMPK1	1	47799469	47844511	1	protein_coding	51727	CMPK1	0.319273509909851	-0.042960407	0	0	1	5.11714e-07	7.22819435379925e-05	PsychENCODE_eQTLs:CMC_SVA_cis	NA	No	NA	5.94737450003e-15	rs6658111	1
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	1	18.97	10	9.71651e-17	4.17288883224736e-14	PsychENCODE_eQTLs:CMC_SVA_cis:CMC_NoSVA_cis:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Substantia_nigra	NA	No	NA	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	4	15.81	10	3.33014e-09	6.6132540942876e-07	PsychENCODE_eQTLs:CMC_SVA_cis	NA	No	NA	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	2	15.81	0	NA	NA	NA	NA	No	NA	1.79322057647e-07	rs7575465;rs4665930	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	3	16.07	0	NA	NA	NA	NA	No	NA	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	2	16.07	0	NA	NA	NA	NA	No	NA	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	3	18.13	0	NA	NA	NA	NA	No	NA	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	2	18.13	10	1.15046e-09	4.20626e-06	PsychENCODE_eQTLs:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia	NA	No	NA	1.57452935239e-12	rs7575465;rs4665930	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	2	18.13	2	1.90486e-10	4.43692441725326e-08	PsychENCODE_eQTLs	NA	No	NA	1.49234657965e-09	rs7575465;rs4665930	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	0	0	1	0.000552028	0.0358430845148736	PsychENCODE_eQTLs	NA	No	NA	1.79322057647e-07	rs7575465;rs4665930	2
ENSG00000115226	FNDC4	2	27714750	27718112	-1	protein_coding	64838	FNDC4	0.759219015798597	NA	0	0	3	NA	0.049	CMC_SVA_cis	NA	No	NA	1.11882136888e-09	rs7575465;rs4665930	2
ENSG00000115808	STRN	2	37070783	37193615	-1	protein_coding	6801	STRN	0.969336393172942	-1.219211598	1	12.57	1	NA	0.049	CMC_SVA_cis	NA	No	NA	2.27473401537e-06	rs2691112	3
ENSG00000115828	QPCT	2	37571717	37600465	1	protein_coding	25797	QPCT	1.87382648510695e-08	0.303395255	0	0	1	0.000358201	0.025065096768479	PsychENCODE_eQTLs	NA	No	NA	2.27473401537e-06	rs2691112	3
ENSG00000044524	EPHA3	3	89156674	89531284	1	protein_coding	2042	EPHA3	0.0156859621990761	-0.110283635	1	22.3	1	1.48256e-06	0.000131411	GTEx/v8/Brain_Cerebellum	NA	No	NA	2.70549915804e-10	rs35124509	5
ENSG00000123243	ITIH5	10	7601232	7708961	-1	protein_coding	80760	ITIH5	5.63852864594726e-13	NA	1	25.7	0	NA	NA	NA	NA	No	NA	3.66056282508e-11	rs41298373	10
ENSG00000100592	DAAM1	14	59655364	59838123	1	protein_coding	23002	DAAM1	0.999990849460485	1.582359631	1	16.92	2	NA	0.049	CMC_SVA_cis	NA	Yes	Fetal_Cortex	2.57083896263e-17	rs76341705;rs160459:rs76341705	11:12
ENSG00000126790	L3HYPDH	14	59927081	59951148	-1	protein_coding	112849	L3HYPDH	1.52384322492068e-07	0.127956451	0	0	2	9.86387e-06	1.15213e-16	GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum	NA	No	NA	4.88125273534e-09	rs76341705	12
ENSG00000139970	RTN1	14	60062694	60337684	-1	protein_coding	6252	RTN1	0.959599485657203	-0.243475752	0	0	0	NA	NA	NA	NA	Yes	Fetal_Cortex	3.17305166391e-05	rs76341705	12
ENSG00000137801	THBS1	15	39873280	39891667	1	protein_coding	7057	THBS1	0.999073127290828	0.270686341	0	0	0	NA	NA	NA	NA	Yes	Neural_Progenitor_Cell	1.607319291e-07	rs12591944	13
ENSG00000131165	CHMP1A	16	89710839	89724253	-1	protein_coding	5119	CHMP1A	0.252036809419505	0.228699745	0	0	1	8.09833e-06	0.000902199316219571	PsychENCODE_eQTLs	NA	No	NA	3.70553664197e-07	rs111398992;rs17232491	14
ENSG00000167523	SPATA33	16	89724210	89737680	1	protein_coding	124045	SPATA33	2.72892869796854e-06	0.42595794	0	0	2	2.17711e-06	6.7357e-10	PsychENCODE_eQTLs:CMC_SVA_cis:GTEx/v8/Brain_Cortex	NA	No	NA	3.23232889343e-08	rs111398992;rs17232491;rs200955819	14
ENSG00000185324	CDK10	16	89747145	89762772	1	protein_coding	8558	CDK10	2.3367075460824e-10	-0.209287955	0	0	3	4.86728e-29	4.56031380404756e-26	PsychENCODE_eQTLs:CMC_SVA_cis:BRAINEAC/CRBL:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Brain_Spinal_cord_cervical_c-1:GTEx/v8/Brain_Substantia_nigra	NA	No	NA	2.29301519994e-08	rs111398992;rs17232491;rs74837667	14
ENSG00000260259	RP11-368I7.4	16	89749028	89752977	-1	protein_coding	105371416	LINC02166	NA	NA	0	0	2	4.50233e-07	6.42277164949974e-05	PsychENCODE_eQTLs	NA	No	NA	2.29301519994e-08	rs111398992;rs17232491;rs74837667	14
ENSG00000075399	VPS9D1	16	89773542	89787394	-1	protein_coding	9605	VPS9D1	0.00176648362917067	NA	0	0	2	NA	0.049	CMC_SVA_cis	NA	Yes	Promoter_anchored_loops	3.23232889343e-08	rs200955819;rs111398992;rs74837667;rs17232491	14
