#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:25970163	(2015) The Shepherds Tale: A Genome-Wide Study across 9 Dog Breeds Implicates Two Loci in the Regulation of Fructosamine Serum Concentration in Belgian Shepherds.	17	33	2.22	6.21e-25	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000268699,9606.ENSP00000289805,9606.ENSP00000320295,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000374037,9606.ENSP00000376807,9606.ENSP00000380998,9606.ENSP00000393854,9606.ENSP00000396732,9606.ENSP00000415836,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	TCF25,DEF8,GAS8,SPATA2L,TUBB3,CDK10,SPIRE2,FANCA,VPS9D1,DPEP1,CHMP1A,CENPBD1,PRDM7,ZNF276,MC1R,DBNDD1,SPATA33
PMID:29739929	(2018) Genome-wide association study in 176,678 Europeans reveals genetic loci for tanning response to sun exposure.	9	37	1.89	2.46e-08	9606.ENSP00000268676,9606.ENSP00000338673,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000380998,9606.ENSP00000396732,9606.ENSP00000451605,9606.ENSP00000457625,9606.ENSP00000462996	DEF8,CDK10,SPIRE2,FANCA,CHMP1A,PRDM7,MC1R,DBNDD1,SPATA33
PMID:32829096	(2020) Screening non-MAPT genes of the Chr17q21 H1 haplotype in Parkinsons disease.	6	9	2.33	3.82e-06	9606.ENSP00000262419,9606.ENSP00000326324,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000404247	KANSL1,LRRC37A,SPPL2C,MAPT,CRHR1,ARL17B
PMID:26756355	(2016) Epigenetics of the myotonic dystrophy-associated DMPK gene neighborhood.	7	29	1.89	1.28e-05	9606.ENSP00000221538,9606.ENSP00000245934,9606.ENSP00000270223,9606.ENSP00000316842,9606.ENSP00000345997,9606.ENSP00000402674,9606.ENSP00000410007	RSPH6A,SYMPK,DMWD,SIX5,DMPK,BHMG1,FBXO46
PMID:20465587	(2010) Detection of recombinant haplotypes in wild mice (Mus musculus) provides new insights into the origin of Japanese mice.	5	6	2.43	7.48e-05	9606.ENSP00000263346,9606.ENSP00000268676,9606.ENSP00000367494,9606.ENSP00000373952,9606.ENSP00000457625	TCF25,DEF8,SPIRE2,FANCA,DBNDD1
PMID:24649381	(2014) A case of 17q21.31 microduplication and 7q31.33 microdeletion, associated with developmental delay, microcephaly, and mild dysmorphic features.	5	8	2.3	0.00017	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000443168	KANSL1,SPPL2C,MAPT,CRHR1,STH
PMID:21992658	(2011) Cerebellum-specific and age-dependent expression of an endogenous retrovirus with intact coding potential.	5	8	2.3	0.00017	9606.ENSP00000263346,9606.ENSP00000268699,9606.ENSP00000367494,9606.ENSP00000451605,9606.ENSP00000457625	TCF25,GAS8,SPIRE2,MC1R,DBNDD1
PMID:23544013	(2013) Genome-wide association study in BRCA1 mutation carriers identifies novel loci associated with breast and ovarian cancer risk.	6	26	1.87	0.00025	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	WNT3,KANSL1,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:29588463	(2018) Combining targeted panel-based resequencing and copy-number variation analysis for the diagnosis of inherited syndromic retinopathies and associated ciliopathies.	6	27	1.85	0.00027	9606.ENSP00000262419,9606.ENSP00000332488,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000389913,9606.ENSP00000403323	KANSL1,SPPL2C,MAPT,CRHR1,PLEKHM1,ARHGAP27
PMID:24603599	(2014) An epigenetic signature in peripheral blood associated with the haplotype on 17q21.31, a risk factor for neurodegenerative tauopathy.	5	10	2.21	0.00027	9606.ENSP00000225512,9606.ENSP00000262419,9606.ENSP00000340820,9606.ENSP00000381333,9606.ENSP00000403323	WNT3,KANSL1,MAPT,CRHR1,ARHGAP27
