                                                                               p1                                                                                  p2      rg      se       z       p  h2_obs  h2_obs_se  h2_int  h2_int_se    gcov_int  gcov_int_se
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0736  0.0346  2.1313  0.0331  0.2373     0.0156  1.0318     0.0105 -1.5981e-02       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz -0.0145  0.0428 -0.3395  0.7342  0.1938     0.0167  1.0088     0.0096 -4.8538e-03       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz -0.0360  0.0245 -1.4701  0.1415  0.0700     0.0029  1.0323     0.0112  6.6359e-05       0.0042
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0709  0.0528  1.3432  0.1792  0.0126     0.0016  1.0322     0.0072 -7.2554e-04       0.0035
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz -0.0100  0.0293 -0.3395  0.7343  1.5206     0.0828  1.0095     0.0082  3.3601e-03       0.0035
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz -0.1070  0.0334 -3.2067  0.0013  0.3859     0.0265  1.0110     0.0078 -1.7206e-02       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz -0.0324  0.0589 -0.5500  0.5823  0.3121     0.0494  0.9951     0.0067 -7.2818e-03       0.0037
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par01.sumstats.gz                   ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Schizophrenia/munged.sumstats.gz -0.0498  0.0222 -2.2404  0.0251  0.4422     0.0180  1.0398     0.0124  4.4622e-03       0.0046
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz                            ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ADHD/munged.sumstats.gz  0.0664  0.0394  1.6879  0.0914  0.2373     0.0156  1.0318     0.0105   -0.0257       0.0047
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/ASD/munged.sumstats.gz  0.0665  0.0456  1.4582  0.1448  0.1938     0.0167  1.0088     0.0096   -0.0224       0.0049
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz              ../SAMPLE_DATA/OTHER_TRAITS_GWAS/BipolarDisorderAll/munged.sumstats.gz  0.0398  0.0277  1.4384  0.1503  0.0700     0.0029  1.0323     0.0112   -0.0248       0.0047
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz                      ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Handedness/munged.sumstats.gz  0.0645  0.0564  1.1436  0.2528  0.0126     0.0016  1.0322     0.0072   -0.0014       0.0035
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz                    ../SAMPLE_DATA/OTHER_TRAITS_GWAS/Intelligence/munged.sumstats.gz -0.0040  0.0311 -0.1299  0.8966  1.5206     0.0828  1.0095     0.0082    0.0041       0.0038
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz  ../SAMPLE_DATA/OTHER_TRAITS_GWAS/LanguageFunctionalConnectivity/munged.sumstats.gz  0.0360  0.0462  0.7807  0.4350  0.3859     0.0265  1.0110     0.0078   -0.0858       0.0039
 ../results/ldsc/STAGE00DATA/mean_imputed/not_subsampled/munged/par02.sumstats.gz                             ../SAMPLE_DATA/OTHER_TRAITS_GWAS/OCD/munged.sumstats.gz  0.0312  0.0619  0.5043  0.6141  0.3121     0.0494  0.9951     0.0067   -0.0101       0.0038
