ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000157851	DPYSL5	2	27070615	27173219	1	protein_coding	56896	DPYSL5	0.998332100766402	-1.359535382	98	18.97	3.15383663629e-10	rs4665930;rs7575465	2
ENSG00000084764	MAPRE3	2	27193480	27250064	1	protein_coding	22924	MAPRE3	0.799864407370243	-0.767319281	51	15.81	1.1070520195e-10	rs7575465;rs4665930	2
ENSG00000119777	TMEM214	2	27255778	27264563	1	protein_coding	54867	TMEM214	0.00116735534958103	-0.517227915	12	15.81	1.41499057804e-07	rs7575465;rs4665930	2
ENSG00000084693	AGBL5	2	27265232	27293490	1	protein_coding	60509	AGBL5	0.0206948513459665	-0.378650928	22	16.07	4.16992395474e-12	rs7575465;rs4665930	2
ENSG00000228474	OST4	2	27293340	27294641	-1	protein_coding	100128731	OST4	NA	NA	14	16.07	4.16992395474e-12	rs7575465;rs4665930	2
ENSG00000138080	EMILIN1	2	27301435	27309271	1	protein_coding	11117	EMILIN1	0.00521656081419512	NA	20	18.13	4.16992395474e-12	rs7575465;rs4665930	2
ENSG00000138030	KHK	2	27309615	27323640	1	protein_coding	3795	KHK	5.36079485314004e-05	NA	22	19.29	4.07455402751e-10	rs7575465;rs4665930	2
ENSG00000138028	CGREF1	2	27321757	27341995	-1	protein_coding	10669	CGREF1	5.50290788195318e-08	0.491986309	30	19.29	1.59781285425e-10	rs7575465;rs4665930	2
ENSG00000143994	ABHD1	2	27346682	27353680	1	protein_coding	84696	ABHD1	1.06027288753589e-21	-0.251069432	9	8.668	5.07395736538e-10	rs7575465;rs4665930	2
ENSG00000138073	PREB	2	27353624	27357543	-1	protein_coding	10113	PREB	0.0018983627682706	-0.154458724	2	6.143	4.58240720036e-06	rs7575465;rs4665930	2
ENSG00000268688	AC007382.1	2	37068327	37068530	-1	protein_coding	NA	NA	NA	NA	7	10.39	1.37906273068e-08	rs2691112	3
ENSG00000115808	STRN	2	37070783	37193615	-1	protein_coding	6801	STRN	0.969336393172942	-1.219211598	62	14.17	4.45783676639e-09	rs2691112	3
ENSG00000008869	HEATR5B	2	37195526	37311485	-1	protein_coding	54497	HEATR5B	8.10479286093348e-10	-0.120441572	17	14.17	1.76831704835e-07	rs2691112	3
