GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
1	rs6658111	1	 47974123	rs61784835	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		10110	41745	rs61784835-?	rs61784835	0	61784835	intergenic_variant	1	NR	7E-10	9.15490195998574	(right parahippocampal)	NA		NR [9227495] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1	NR	1E-10	10	(CSF)	NA		NR [9227495] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1	NR	3E-19	18.5228787452803	(X4th ventricle)	NA		NR [9227495] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1	NR	5E-10	9.30102999566398	(left lingual)	NA		NR [9227495] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1	NR	1E-9	9	(right lingual)	NA		NR [9227495] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1	NR	1E-17	17	(left parahippocampal)	NA		NR [9227495] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2021-05-04	32963231	Hofer E	2020-09-22	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32963231	Genetic correlations and genome-wide associations of cortical structure in general population samples of 22,824 adults.	Cortical volume	22,824 European and African American ancestry individuals	NA	1p33	FOXD2	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		8E-10	9.09691001300806	(Fusiform)	NA		Affymetrix, Illumina [NR] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2021-05-04	32963231	Hofer E	2020-09-22	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32963231	Genetic correlations and genome-wide associations of cortical structure in general population samples of 22,824 adults.	Cortical volume	22,824 European and African American ancestry individuals	NA	1p33	FOXD2	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		4E-11	10.397940008672	(Pericalcarine)	NA		Affymetrix, Illumina [NR] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Brain morphology (MOSTest)	26,502 European ancestry individuals	NA	1p33	STIL, CMPK1, FOXE3, FOXD2	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		2E-103	102.698970004336		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Cortical thickness (MOSTest)	26,502 European ancestry individuals	NA	1p33	PRKCZ	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		7E-44	43.1549019599857		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Cortical surface area (MOSTest)	26,502 European ancestry individuals	NA	1p33	CAPZB, MINOS1-NBL1, MINOS1, NBL1	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		2E-44	43.698970004336		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2021-03-30	33723403	Sha Z	2021-03-15	Nat Hum Behav	www.ncbi.nlm.nih.gov/pubmed/33723403	The genetic architecture of structural left-right asymmetry of the human brain.	Left–right brain asymmetry	32,256 European ancestry individuals	NA	1p33	AL356458.1	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-G	rs6658111	0	6658111	intergenic_variant	1	0.37	1E-10	10		NA		NR [9312144] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Cortical thickness (min-P)	26,502 European ancestry individuals	NA	1p33	PRKCZ	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		2E-10	9.69897000433602		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Brain morphology (min-P)	26,502 European ancestry individuals	NA	1p33	PRDM16	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		2E-19	18.698970004336		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Subcortical volume (MOSTest)	26,502 European ancestry individuals	NA	1p33	PRDM16	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		1E-35	35		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Cortical surface area (min-P)	26,502 European ancestry individuals	NA	1p33	PRKCZ	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		4E-20	19.397940008672		NA		NR [7428630] (imputed)	N
1	rs6658111	1	 47980916	rs6658111	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Subcortical volume (min-P)	26,502 European ancestry individuals	NA	1p33	PRDM16	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		16903	34952	rs6658111-?	rs6658111	0	6658111	intergenic_variant	1		9E-20	19.0457574905607		NA		NR [7428630] (imputed)	N
1	rs7523969	1	 47984143	rs12118339	2020-01-28	31676860	Zhao B	2019-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31676860	Genome-wide association analysis of 19,629 individuals identifies variants influencing regional brain volumes and refines their genetic co-architecture with cognitive and mental health traits.	Brain region volumes	19,629 British ancestry individuals	NA	1p33	NR	RPL21P24 - ATP6V0E1P4	ENSG00000229554	ENSG00000227883		20130	31725	rs12118339-?	rs12118339	0	12118339	intergenic_variant	1	NR	6E-9	8.22184874961636	(left parahippocampal)	NA		NR [9227495] (imputed)	N
2	rs893789	2	 27128529	rs509047	2020-10-23	32665545	van der Meer D	2020-07-14	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/32665545	Understanding the genetic determinants of the brain with MOSTest.	Subcortical volume (MOSTest)	26,502 European ancestry individuals	NA	2p23.3	NR	DPYSL5			ENSG00000157851	NA	NA	rs509047-?	rs509047	0	509047	intron_variant	0		5E-9	8.30102999566398		NA		NR [7428630] (imputed)	N
