                                                                                            p1                                                                                             p2      rg      se        z            p  h2_obs  h2_obs_se  h2_int  h2_int_se  gcov_int  gcov_int_se
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par02.sumstats.gz  0.8823  0.0300  29.3752  1.1407e-189  0.2221     0.0201  0.9917     0.0074    0.4523       0.0071
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par03.sumstats.gz  0.7723  0.0496  15.5586   1.3904e-54  0.0969     0.0150  0.9952     0.0061    0.2932       0.0060
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par04.sumstats.gz  0.8490  0.0392  21.6754  3.5045e-104  0.1437     0.0156  0.9978     0.0067    0.2870       0.0055
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par05.sumstats.gz  0.8906  0.0417  21.3672  2.6987e-101  0.1673     0.0183  0.9882     0.0065    0.2784       0.0066
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par06.sumstats.gz  0.9042  0.0921   9.8214   9.1109e-23  0.0520     0.0136  1.0018     0.0058    0.2286       0.0055
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par07.sumstats.gz  0.7867  0.0644  12.2117   2.6909e-34  0.0813     0.0145  0.9950     0.0068    0.1880       0.0051
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par08.sumstats.gz  0.7529  0.0466  16.1586   9.8780e-59  0.1347     0.0148  1.0005     0.0067    0.1787       0.0050
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par09.sumstats.gz  0.8905  0.0802  11.1004   1.2493e-28  0.0705     0.0137  1.0043     0.0064    0.1882       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par10.sumstats.gz  0.8385  0.0491  17.0896   1.7753e-65  0.1288     0.0181  0.9911     0.0068    0.2171       0.0061
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par11.sumstats.gz  0.8374  0.0547  15.3193   5.6850e-53  0.1107     0.0146  0.9985     0.0063    0.1824       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par12.sumstats.gz  0.7906  0.0734  10.7690   4.8208e-27  0.0641     0.0138  0.9988     0.0059    0.1535       0.0046
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par13.sumstats.gz  1.3174  0.4944   2.6645   7.7109e-03  0.0149     0.0123  1.0009     0.0057    0.1767       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par14.sumstats.gz  0.7995  0.0731  10.9386   7.5360e-28  0.0757     0.0145  0.9950     0.0067    0.1526       0.0052
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par15.sumstats.gz  1.0296  0.2276   4.5246   6.0505e-06  0.0257     0.0121  1.0065     0.0060    0.1139       0.0042
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par16.sumstats.gz  0.7436  0.0587  12.6601   9.8414e-37  0.0933     0.0140  1.0047     0.0070    0.1789       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par17.sumstats.gz  0.6559  0.0443  14.8091   1.2800e-49  0.1552     0.0151  1.0014     0.0064    0.0804       0.0048
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par18.sumstats.gz  0.8133  0.0749  10.8534   1.9211e-27  0.0670     0.0132  1.0022     0.0064    0.1575       0.0045
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par19.sumstats.gz  0.8714  0.1354   6.4353   1.2325e-10  0.0408     0.0135  1.0039     0.0059    0.1181       0.0049
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par20.sumstats.gz  0.7613  0.0459  16.6000   6.9704e-62  0.1454     0.0172  0.9957     0.0070    0.1235       0.0050
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par21.sumstats.gz  0.9203  0.0909  10.1222   4.4050e-24  0.0587     0.0153  0.9938     0.0063    0.1785       0.0055
 ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par01.sumstats.gz  ../results/asymmetry/ldsc/joinedDatasets/mean_imputed/not_subsampled/munged/par22.sumstats.gz  0.7056  0.0410  17.2129   2.1261e-66  0.1553     0.0150  0.9963     0.0064    0.0902       0.0044
