region2	reg_region	type	tissue/cell	genes
1:48160001-48200000	1:48174506-48176030	prom	E068	NA
1:48160001-48200000	1:48174506-48176030	prom	E074	NA
14:58790000-58800000	14:58798725-58798775	prom	E053	NA
14:58790000-58800000	14:58798725-58798775	prom	E054	NA
14:58790000-58800000	14:58798725-58798775	prom	E067	NA
14:58790000-58800000	14:58798725-58798775	prom	E068	NA
14:58790000-58800000	14:58798725-58798775	prom	E069	NA
14:58790000-58800000	14:58798725-58798775	prom	E070	NA
14:58790000-58800000	14:58798725-58798775	prom	E071	NA
14:58790000-58800000	14:58798725-58798775	prom	E072	NA
14:58790000-58800000	14:58798725-58798775	prom	E073	NA
14:58790000-58800000	14:58798725-58798775	prom	E074	NA
14:58790000-58800000	14:58798725-58798775	prom	E081	NA
14:58790000-58800000	14:58798725-58798775	prom	E082	NA
14:58790000-58800000	14:58798850-58798955	prom	E053	NA
14:58790000-58800000	14:58798850-58798955	prom	E054	NA
14:58790000-58800000	14:58798850-58798955	prom	E067	NA
14:58790000-58800000	14:58798850-58798955	prom	E068	NA
14:58790000-58800000	14:58798850-58798955	prom	E069	NA
14:58790000-58800000	14:58798850-58798955	prom	E070	NA
14:58790000-58800000	14:58798850-58798955	prom	E071	NA
14:58790000-58800000	14:58798850-58798955	prom	E072	NA
14:58790000-58800000	14:58798850-58798955	prom	E073	NA
14:58790000-58800000	14:58798850-58798955	prom	E074	NA
14:58790000-58800000	14:58798850-58798955	prom	E081	NA
14:58790000-58800000	14:58798850-58798955	prom	E082	NA
14:58790000-58800000	14:58799013-58799063	prom	E053	NA
14:58790000-58800000	14:58799013-58799063	prom	E054	NA
14:58790000-58800000	14:58799013-58799063	prom	E067	NA
14:58790000-58800000	14:58799013-58799063	prom	E068	NA
14:58790000-58800000	14:58799013-58799063	prom	E069	NA
14:58790000-58800000	14:58799013-58799063	prom	E070	NA
14:58790000-58800000	14:58799013-58799063	prom	E071	NA
14:58790000-58800000	14:58799013-58799063	prom	E072	NA
14:58790000-58800000	14:58799013-58799063	prom	E073	NA
14:58790000-58800000	14:58799013-58799063	prom	E074	NA
14:58790000-58800000	14:58799013-58799063	prom	E081	NA
14:58790000-58800000	14:58799013-58799063	prom	E082	NA
14:58790000-58800000	14:58799119-58799163	prom	E053	NA
14:58790000-58800000	14:58799119-58799163	prom	E054	NA
14:58790000-58800000	14:58799119-58799163	prom	E067	NA
14:58790000-58800000	14:58799119-58799163	prom	E068	NA
14:58790000-58800000	14:58799119-58799163	prom	E069	NA
14:58790000-58800000	14:58799119-58799163	prom	E070	NA
14:58790000-58800000	14:58799119-58799163	prom	E071	NA
14:58790000-58800000	14:58799119-58799163	prom	E072	NA
14:58790000-58800000	14:58799119-58799163	prom	E073	NA
14:58790000-58800000	14:58799119-58799163	prom	E074	NA
14:58790000-58800000	14:58799119-58799163	prom	E081	NA
14:58790000-58800000	14:58799119-58799163	prom	E082	NA
14:58790000-58800000	14:58799265-58799443	prom	E053	NA
14:58790000-58800000	14:58799265-58799443	prom	E054	NA
14:58790000-58800000	14:58799265-58799443	prom	E067	NA
14:58790000-58800000	14:58799265-58799443	prom	E068	NA
14:58790000-58800000	14:58799265-58799443	prom	E069	NA
14:58790000-58800000	14:58799265-58799443	prom	E070	NA
14:58790000-58800000	14:58799265-58799443	prom	E071	NA
14:58790000-58800000	14:58799265-58799443	prom	E072	NA
14:58790000-58800000	14:58799265-58799443	prom	E073	NA
14:58790000-58800000	14:58799265-58799443	prom	E074	NA
14:58790000-58800000	14:58799265-58799443	prom	E081	NA
14:58790000-58800000	14:58799265-58799443	prom	E082	NA
14:58790000-58800000	14:58799588-58799748	prom	E053	NA
14:58790000-58800000	14:58799588-58799748	prom	E054	NA
14:58790000-58800000	14:58799588-58799748	prom	E067	NA
14:58790000-58800000	14:58799588-58799748	prom	E068	NA
14:58790000-58800000	14:58799588-58799748	prom	E069	NA
14:58790000-58800000	14:58799588-58799748	prom	E070	NA
14:58790000-58800000	14:58799588-58799748	prom	E071	NA
14:58790000-58800000	14:58799588-58799748	prom	E072	NA
14:58790000-58800000	14:58799588-58799748	prom	E073	NA
14:58790000-58800000	14:58799588-58799748	prom	E081	NA
14:58790000-58800000	14:58799588-58799748	prom	E082	NA
14:58860000-58870000	14:58861962-58863524	prom	E053	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E054	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E067	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E068	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E069	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E070	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E071	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E072	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E073	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E074	ENSG00000196860
14:58860000-58870000	14:58861962-58863524	prom	E082	ENSG00000196860
14:59080001-59120000	14:59103579-59107219	prom	E053	NA
14:59080001-59120000	14:59103579-59107219	prom	E054	NA
14:59080001-59120000	14:59103579-59107219	prom	E067	NA
14:59080001-59120000	14:59103579-59107219	prom	E068	NA
14:59080001-59120000	14:59103579-59107219	prom	E069	NA
14:59080001-59120000	14:59103579-59107219	prom	E070	NA
14:59080001-59120000	14:59103579-59107219	prom	E071	NA
14:59080001-59120000	14:59103579-59107219	prom	E072	NA
14:59080001-59120000	14:59103579-59107219	prom	E073	NA
14:59080001-59120000	14:59103579-59107219	prom	E074	NA
14:59080001-59120000	14:59103579-59107219	prom	E081	NA
14:59080001-59120000	14:59103579-59107219	prom	E082	NA
14:59100000-59110000	14:59103579-59107219	prom	E053	NA
14:59100000-59110000	14:59103579-59107219	prom	E054	NA
14:59100000-59110000	14:59103579-59107219	prom	E067	NA
14:59100000-59110000	14:59103579-59107219	prom	E068	NA
14:59100000-59110000	14:59103579-59107219	prom	E069	NA
14:59100000-59110000	14:59103579-59107219	prom	E070	NA
14:59100000-59110000	14:59103579-59107219	prom	E071	NA
14:59100000-59110000	14:59103579-59107219	prom	E072	NA
14:59100000-59110000	14:59103579-59107219	prom	E073	NA
14:59100000-59110000	14:59103579-59107219	prom	E074	NA
14:59100000-59110000	14:59103579-59107219	prom	E081	NA
14:59100000-59110000	14:59103579-59107219	prom	E082	NA
14:59650000-59660000	14:59654373-59657609	prom	E053	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E054	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E067	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E068	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E069	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E070	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E071	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E072	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E073	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E074	ENSG00000100592
14:59650000-59660000	14:59654373-59657609	prom	E082	ENSG00000100592
14:60330000-60340000	14:60335930-60336040	prom	E053	NA
14:60330000-60340000	14:60335930-60336040	prom	E054	NA
14:60330000-60340000	14:60335930-60336040	prom	E067	NA
14:60330000-60340000	14:60335930-60336040	prom	E068	NA
14:60330000-60340000	14:60335930-60336040	prom	E069	NA
14:60330000-60340000	14:60335930-60336040	prom	E071	NA
14:60330000-60340000	14:60335930-60336040	prom	E072	NA
14:60330000-60340000	14:60335930-60336040	prom	E073	NA
14:60330000-60340000	14:60335930-60336040	prom	E074	NA
14:60330000-60340000	14:60335930-60336040	prom	E082	NA
14:60330000-60340000	14:60336043-60336261	prom	E053	NA
14:60330000-60340000	14:60336043-60336261	prom	E054	NA
14:60330000-60340000	14:60336043-60336261	prom	E067	NA
14:60330000-60340000	14:60336043-60336261	prom	E068	NA
14:60330000-60340000	14:60336043-60336261	prom	E069	NA
14:60330000-60340000	14:60336043-60336261	prom	E071	NA
14:60330000-60340000	14:60336043-60336261	prom	E072	NA
14:60330000-60340000	14:60336043-60336261	prom	E073	NA
14:60330000-60340000	14:60336043-60336261	prom	E074	NA
14:60330000-60340000	14:60336043-60336261	prom	E082	NA
14:60330000-60340000	14:60336425-60336516	prom	E053	NA
14:60330000-60340000	14:60336425-60336516	prom	E054	NA
14:60330000-60340000	14:60336425-60336516	prom	E067	NA
14:60330000-60340000	14:60336425-60336516	prom	E068	NA
14:60330000-60340000	14:60336425-60336516	prom	E069	NA
14:60330000-60340000	14:60336425-60336516	prom	E071	NA
14:60330000-60340000	14:60336425-60336516	prom	E072	NA
14:60330000-60340000	14:60336425-60336516	prom	E073	NA
14:60330000-60340000	14:60336425-60336516	prom	E074	NA
14:60330000-60340000	14:60336425-60336516	prom	E082	NA
14:60330000-60340000	14:60336521-60338071	prom	E053	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E054	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E067	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E068	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E069	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E070	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E071	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E072	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E073	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E074	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E081	ENSG00000139970
14:60330000-60340000	14:60336521-60338071	prom	E082	ENSG00000139970
15:39840001-39880000	15:39870847-39876709	prom	E068	ENSG00000137801
15:39840001-39880000	15:39870847-39876709	prom	E071	ENSG00000137801
15:39840001-39880000	15:39870847-39876709	prom	E073	ENSG00000137801
15:39840001-39880000	15:39870847-39876709	prom	E082	ENSG00000137801
16:89000000-89010000	16:89004935-89009399	prom	E067	ENSG00000205018
16:89000000-89010000	16:89004935-89009399	prom	E068	ENSG00000205018
16:89000000-89010000	16:89004935-89009399	prom	E069	ENSG00000205018
16:89000000-89010000	16:89004935-89009399	prom	E070	ENSG00000205018
16:89000000-89010000	16:89004935-89009399	prom	E072	ENSG00000205018
16:89000000-89010000	16:89004935-89009399	prom	E073	ENSG00000205018
16:89000000-89010000	16:89004935-89009399	prom	E082	ENSG00000205018
16:89280000-89290000	16:89282681-89284658	prom	E053	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E054	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E067	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E068	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E069	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E070	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E071	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E072	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E073	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E074	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E081	ENSG00000170100
16:89280000-89290000	16:89282681-89284658	prom	E082	ENSG00000170100
